,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0751196586663285,0,0,0.599100008186945,0,0,0.122926015300769,0,-2.71050543121376e-20,0,0,0,0.031979793831465,-0.0480559537973568,0,0,0.144648460877327,0,0,0,0,0,0,0,0.0223695702023468,0,0,0.0119007308993198,0,-0.0129087880997736
X601398.CH.EQUITY,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.0326613501154397,0,0.22371082029697,0,0,-0.0681235010935716,-0.117328258867741,0.0805244097583653,0,0,0,0,0,0,0,0,0.0264861710859286,0,0.027508060956436,0.00399178577371384,0,-0.00938760347057113
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0898807561951255,0.0695961770242585,0,0,0,0.166215115642914,0.0266736176612617,0,0,0,0,0,0,0,0,0,0,0.0317629423526776,0,0,0.00727095286822157,-0.00366920281880371,0.0172447794510065,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.141888494324091,0,0,0.162223630291194,0.0337303695261079,0,0,0,0,0,0,0.0319636629035362,0,0,0,0,0.273987284547707,0,0,0,0.000443547301578887,0.0250230844266115,0
X939.HK.EQUITY,0.414118597791254,0,0,0,0,0,0,0.0235975267204592,0,0,0,0,0.173654241950953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248620007582271,-0.00629045809997399
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.151965583872114,0,0,0,0,0.386514737711726,0,0,0,0,0,0,0,0,-0.00949701005816412,0,0.0170350980156669,-0.00882526795370992,4.33680868994202e-19,0.0161658527091059
X601288.CH.EQUITY,0,0,0,0,0,0.0818667670620648,0,0,-0.0490766704812151,0,0.197805897909175,0.00333066851915938,0.0140910011852305,0,0,0,0.24569320911952,0,0.103528870108953,0,0,0,0,0,0,0,0,0.00197120163900392,0.00601901385130633,-0.0265881745335011,0.0261685426605326
X2628.HK.EQUITY,0.528375439708441,0,0,0,0.0358576838232662,0,0,0,0.156480689190368,0.305306558506021,0,0,0.249913382952317,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0,-0.0276015825491603,0,-0.0366910967681136,-0.0110900455361979,0,-0.0508690955217109
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.223591558889002,0,-0.0547470617851443,0.175025726988127,0,0,0,0,0,0,0,0,0.464544783391079,0,0,0,-2.71050543121376e-20,-0.0295114392172575,0.113505485840003
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.267691543715124,-0.124372097522257,0,0,0,0,0.0453902434818359,0,0,0,0,0,0.00676731959426241,0,0.0719756837246037,0,0,0,-0.0199831718026888,0,-0.00259525353375617,-0.0103166331333613,0.00381438393434036,0
