,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0271484175245658,0,0,0,0,0.0758732202939092,0,0,0,-0.0296612424082434,0.0471507057672108,0,0,0,0.369563670543244,0,0,-0.0240284771390542,0,0,0,0,0,0,-0.000563678177903666,-0.00423120918522019,0.0192790299018071,0.052309737187728
X1398.HK.EQUITY,0,0,0,0,0,0.518442327475697,0,0.0796249429369184,0.0514345832040853,0,0,0,0.0757335774633267,0,0,0,0.160292604309825,0,0,0,0.0346549717077492,0,0,0,0,0,0,0.00384443669939074,0.0157970410626726,0,0
X2318.HK.EQUITY,0,0,0,0.733888974298569,0,0.0327816890975255,0,0,0,0,0,0,0,0.0279620339349299,0.0153335116970487,0,0,0,0,0,0,0,0,0.123627011766729,0,-0.0363250145618567,0,0.00615179251648352,0.00585778256754787,0,0
X601318.CH.EQUITY,0,0.177634374855509,0.193853117684911,0,0,0,0,0,0,0,0,0,0.0986698259503477,0,0.0700404656510328,0,0,0.106370605167051,0,0.133209422353814,0,0,0,-0.0150366764676064,0,0,0,0.0172822674089187,-0.0127433067487532,-0.0356208743987431,-8.67361737988404e-19
X601939.CH.EQUITY,0.0715142416624416,0,0,0,0,0.0809407694327535,0.25501801351316,0,0,0,0,0,0,0,0,0,0,0.0457041046048439,0,0.0753395103775373,0.0234792449515635,0,0,0,0,0,0,-0.0105940247135802,0.0148157729495507,-0.0561351080603632,0
X939.HK.EQUITY,0,0.387071123536102,0,0,0,0,0,0,0.158878904524442,0,0,0,0.0106605015319552,0,0,0,0,0,0,0.056958631124815,0,0.126452921250314,0,0,0,0,0,0.0106479550544619,-8.67361737988404e-19,0,0.0849295600254635
X601288.CH.EQUITY,0.13735618552289,0.007867457140938,0,0,0.320174435259167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705731876352862,0,0,0,-0.023087756875687,0,-0.000193235945534274,0.00552918672781,0,0.0331078151199493
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.220540780731686,0.0567772558980547,0,0,0,0,0.25045913564013,0,0,0,0,0,0,0.595294607566326,0,-0.0173951522678263,0,0.0082443170551473,0,0
X3988.HK.EQUITY,0,0.451339619361531,0,0,0,0,0,0,0,0,0,0,0,0,0.0515748360542212,0,0,0,0,0,0.0201383691346141,0,0,0.139177775713011,0,0,0,-0.00155446265474809,-0.010555969896543,0.0326595202866345,-0.0102665772897091
X601988.CH.EQUITY,0,0,0.0117804388336072,0,0.299695882630993,0.0374589347497095,0,0,0,0,0,0,0.0819259478091503,0,0,0,0,0.0295260204703254,-0.00707012083857485,0.0114652514314254,0,0,0,0,0,0,0,0,0,0,0.057217792607607
