,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.147939687413807,0,0,0,0,0,0,-0.0698386371209479,0,0,0,0,0,0.154849542413567,0,-0.0437745293935237,0,0,0,0,0.144803453292288,0,0,0.0022770950433432,0.00443121955003323,0,0
X1398.HK.EQUITY,0,0,0,0,0.314247087032023,0,0,0,0.0112806466580357,0,0,0.140842812624898,0.00778585797009802,0.10055356457325,0,0,0,0,0,0,0.075385566323523,0,0,0,0,0,0,0.00872424970537173,0.00773503524792285,-0.0290488039212968,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0287722357431199,0,0.0607913800579805,0,0,0.0140407774905886,0,0.0284625712962787,0,0,0,0.336528634864155,0,0,0.0542855152435309,0.0058197055300222,0,0.0131223731240167,0,0,0
X2318.HK.EQUITY,0,0,0.180908875510273,0,0,0,0,0,0,0,0.0628178346614878,0.216460429505733,0,0.221928453259538,0,0,0,0,0,0,0,0.0435240090185052,0,0,0,0.0227951412388611,0,0,-0.0126866581795688,0,0
X939.HK.EQUITY,0.0833265656177475,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.149834800332523,0,0.00392137204411547,0,0.061023259361107,0,0.0999042064109639,0,0,0,0,0.0871931118545499,0,0,0,0.0129399984220016,0.00987904243309662,0
X601939.CH.EQUITY,0.260449228714728,0,0,0,0,0,0,0,0,0,0,0,0.0966984950580198,0.0768731569463464,0,0,0,0,0,0.0311385899916715,0,0,0,0,0,0,0,0.0114565196728668,-0.0103389293607686,0,-0.0459437323235716
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909992566499416,0,0.0484465116343551,0,0.114034395145935,0,0.0196467385895813,0,0,0,0,0,0,0,0,0.00180779912492892,0.0160050467070977,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985039553404167,0,-0.0861451378482097,0,0,0.0768355277352903,0.205836753029188,0.0387647408262324,0,0,0.000477104572267547,0.0629599355522887,0,0.0285266299451589
X3988.HK.EQUITY,0,0.225295231922862,0,0,0,0,0,0,0,0,0,0,0,0.103755167050585,0,0.00684669791650131,0,0,0,0.12718284556082,0,0.0288392641265942,0,0,0,0,0,0,-0.00250021345350425,0.0345403054304405,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293986253341278,0,0,0.0452347717733287,0.185228125073549,0,0.0322545611553105,0,0,0,0,0,-0.0310299886121211,0,-7.4009647077244e-05,0,0.00107336857535713,0
X600036.CH.EQUITY,0,0,0.391477122329069,0,0,0,0,0,0,0,0,0,0,0.0266900757821922,0,0,0,0,0,0.175195448487732,0,0,0,0,0,0,0,0.0286975655834496,-0.02347029708545,0,-0.0695861319537042
X1299.HK.EQUITY,0,0,0.0782619836302051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191300576431427,0.366359709511285,0,0,0,-0.054446439886524,0,0,-0.00519916072844388,0.0314992267459428,0.0402015954004708,-0.16323659689375
