,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0.0992038094074068,0,0,0.239294835906741,0,0,0,0,0,0,0,0,0,0,0,0.109695407136702,0.127238016821113,0,0,0,0.00405355754872895,0,0,-0.0358226185309126,-0.0430595945061493,0,0.018545312785695,0.00428808031199796,0.000269474901544142,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.171015489260742,0,0.185996652516944,0,0.143187061063345,0,0,0,0,0,0,0,0,0,0,0.0256314668778555,0,0,0.00170748935482542,0,-0.0160553091277577,0
X2318.HK.EQUITY,-0.324111868351455,0,0,0.523659731034722,0,0,0,0.012777226619165,0,0,0,0,0.0691932293947316,0,0,0,0,0,0,0,0,0,0,0,0.275921261712744,0,0,-0.000784350610002767,-0.0130708892384969,0,0.0220908117419383
X601318.CH.EQUITY,0,0,0.221556082484422,0,0,0,0,0,0,0,0,0,0,0.106038987664131,0,0,0,0.135239572390185,0.123348162869158,0.0372844443878414,-0.0425158580022849,0,0.192124370520329,0,0,0,0,0.0247299856357322,-0.00427632343422764,0.0103655277602173,0
X601939.CH.EQUITY,0.257456352490362,0,0,0,0,0,0,0.0488583436371488,0,0,0,0,0.00680622065765208,0,0,0,0,0,0.00231281840559725,0.124560684031445,0,0,0.102997824149958,0,0,0.0226089397940096,0,0,0,-1.73472347597681e-18,-0.005261266702016
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.130868671757788,0.0998866107261547,0,0,0.0182796637628163,0,0.015122723211043,0,0.144685803530631,0,0,0,0,0.0354022656216186,-0.00805901532400221,0,-0.00622385764614886,0.0239298245506509,0,0
X601288.CH.EQUITY,0,0.0992523453540721,0,0,0.0519816654765589,0,0,0.0646869632654717,0.270907842735223,0,0,0,0,0.0686436201232661,0,0,0,0,0.0622231972790787,0,0,0,0,0,0,-0.0330721803269385,0,0.00333480899511449,0.00324248440044334,0,0
X5.HK.EQUITY,0,0,0,-0.158947209457473,0,0,0,0,0,0,0.688947332030889,-0.0459501786059107,0,0,0,0,0,0,0,-0.0318295600331034,0,0.0697271140205523,0,0.0156389112324085,0,0.0700761509225366,0,-0.00680990256997341,0,0,0
X601988.CH.EQUITY,0.0765804080392565,0,0,0,0,0,0,0.0298158537886045,0,0,0,0,0.136782590219627,0,0.0854623359970186,0,0,0,0.036868181705253,0,0.0159656269509563,0,0,0,0,0,0,-0.00827731593964347,0,0,0
X3988.HK.EQUITY,0,0.279948753325237,0,0,0,0.162744232358208,0,0,0,0,0,0,0,0,0,0,0,0,0.02327171113372,0,0,0.0343451984259509,0,0,0,0,0.0510934960618563,0,-0.00469526450772067,0.0438871208692459,0
