,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650255678925307,0,0,0,0,0.057292658116352,0,0.095671837153477,0.024315128844059,0.00171807313818954,-0.0143563027113313,0,0,0.00137909388686161,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.672971404162337,0.00392248360843467,0,0,0,0,0,0,0,-0.097739852466721,0,-0.00143614177604165,0,0,0,0,0.224913712558559,0,0,0,0,0,-0.00752761918717608,0,0.00122554036226767,-0.0555500082689752
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340214865870566,0,0,0.101670258522108,0.0712906592421513,0,0,0,0.155816886682015,0,0.126897016479034,0.017380872035445,0,-0.0798904557580964,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.00947201731024745,0.142815845705483,0,0,0,0,0.0272915277860127,0.0351163082682183,0,0,0.00257502721094361,0,0,0,0,0,0,0,0,0,0,0,-0.00300678216498188,0.00229772794970427,-0.0171415071523316
X601939.CH.EQUITY,0,0,0,0,0,0,0.0772589678053629,0,0,0,0,0,0,0,0.0467755769239708,0.116359880391946,0.0296293088339855,0,0,0,0,0,0.0821657389084871,0,0.0334825819078685,0,0,0,0,0,0
X939.HK.EQUITY,0,0.667566358566483,0,0,0,0,0.0119715937848226,0,0,0,0,0,0,0,0,0,0,0.0441949130421066,0,0,0,0,0,0,0,0.00271931105505296,0,0.0181188519758504,0.000319662811955713,0,-0.00589027970194288
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.853594060048086,0,0,0,0,0,-0.180402450856345,0.0391338068015003,0,0.286644796214089,0,0,0,0,0,0.401705793655394,0,0,-0.054559159578674,0,0,0.0322289270204921,0,0
X2628.HK.EQUITY,0,0,0.0571243444947632,0,0,0,0.146639607375123,0,0,0,0,0,0,0,0.155587889040847,0,0,0.0137520075359186,0.0288709405734232,0,0.040836173997837,0,0.431377287934883,0,0,0,0,-0.075791155196711,0,0.017162090169679,-0.128924036211362
X601288.CH.EQUITY,0,0,0.0142907257414198,0,0,0,-0.0039094766809246,0,0,0,0,0,0,0,0,0.0543838691137687,0,0.0440794433222225,0,0,0.030018887665317,0,0,0,0.159533957699774,-0.00687946357507151,0,0,0.00391941459676811,0,0
X600036.CH.EQUITY,0,0.00184191788395654,0.210162048650472,0,0,0,0.130207644082506,0,0,0,0,0,0,0,0,0,0,0.279715278460531,0,0,0,0.0478926959181646,0,0.0285783471729161,0,-0.0136508695765559,0,-0.0211195908515118,0.0161055157340847,0,0
