,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.00367443373432543,0,0.0799652758938418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588403250411324,0,0.0464464320201694,0.0436713905056296,-0.00712905294358286,0,-0.0116970261325379,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.65809322979092,0,0,0,0,0,0,0,0,-0.0905195809134128,0,0,0,0,0,0.221114155318314,0,0,0,0,0,0,-0.00754213434409435,0.000392512997889497,0.000764580502636154,-0.0537291752846829
X601318.CH.EQUITY,0,0,0,0,0,0,0.0177211469601336,0,0,0,0,0,0,0,-0.0362727662934365,0,0.125244651250852,0,0,0,0,0.238456776862687,0,0,0.136846363408157,0.0295789395173873,0,-0.0816904428723256,0,-0.00263671334117803,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.15869435098984,0,0.0324591562368493,0,0,0.0224206762125387,0.025050001700885,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183970128966417,0.000854116688521853,0.00840469614431496,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.00126426472703635,0,0,0,0,0.214773278773052,0,0,0,0,0,0,0,0,0,0.0801850675257163,0.056841169934192,0.0714933063691495,0,0.0553661445482378,0,-0.0547503514854809,0.0127088023926124,0,0
X939.HK.EQUITY,0,0.647048453629888,0,0,0,0,0.0253900651341815,-6.93889390390723e-18,0,0,0,0,0.111506157259202,0,0,0,0.0159590273998163,0,0,0,0.07527712538865,0,0,0,0,0.00689232312319027,0,0.0263867247874655,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.127117359978318,0,0,0,0,0,0,0,0,0,0.327913222579954,0,0,0,0.306642379290545,0.218329997511976,0,0,-1.73472347597681e-18,0,-0.140746118165404,0.0128087996530242,-0.029265304180073,0.210904370048461
X2628.HK.EQUITY,0,0,0,0,0,0,0.125170476268955,0,0,0,0,0,0.242987202980508,0,0.322718401155587,0,0,0,0,0,0,0.281647863739796,0,0,0,0,0,-0.0591759353437888,0.00822082886788549,0.0767651960121421,0
X601288.CH.EQUITY,0,0,0.0260364348855284,0,0.0461022373197044,0,0,0,0,0,0,0,0,0,0,0,0.0090834422404863,0,0,0,0,0.168523603251651,0,0,0,0,0,0,-0.00121531637721045,-0.0111913011368255,0
X600036.CH.EQUITY,0,0,0.191784394235623,0,0,0,0.144433480254615,0,0,0,0,0,0,0.0470739188384509,-0.0138564744937932,0,0.23927885396981,0,0.0170130062247044,0,0.0836823876339328,0,0,0.0343678658656635,0,-0.0112006478725555,0,0,0.0125221782970821,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.233106462000046,0,0,0,0,0,0,0,0,0,0,0,0.0706192710815494,0,0.0317969798393776,0.0712929141631428,0,0,0.0133815467454043,0.0044325044729467,-0.0154262667274052,0.0238362073101521
