,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.0826588172324792,0,0,0.584033230936027,0,0,0,0,0,0,0.0915406690694888,0,0.0336050556099291,0,0,0,0.00946172777900165,0,0.0133327516115742,0,0,0.00805868000408493,0,0.00322597672188967,0,0.0045185860877886,-0.000367126492888348,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.139051183614397,0,0,0,0,0,0,0,0.00941582368556229,0.22919540870213,0,0,0,0.0187332350618332,0,-0.00205214359693193,0,0,0.0277823056246295
X2318.HK.EQUITY,0,0,0,0,0,0.0207389551417341,0,0,0,0,0.064832941027258,0.0429321655160185,0.2909441081305,0,0,0,0,0,0,0,0,0.237444051695225,0,0,0,0.033650244309776,0.0169944307563219,0,-0.00511856155636845,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.200618723662207,0.160340093929719,0,0,0,0,0,0,0,0.198565053400512,0,0,0,0.0608288967564778,0,0.00858371085593877,0.00714640415606145,0,0
X601939.CH.EQUITY,0,0.130631593333894,0,0,0,0,0,0,0,0,0,0,0,0.106390065984566,0,0,0,0.332372755144015,0,0,0,0.0727501459219743,0,0,0,0,0,-0.00157727334398868,0.000599222144593343,0,0
X939.HK.EQUITY,0.640623324055628,0,0,0,0,0,0,0,0,0,0,0.0263875702922768,0.0873420685073697,0,0,0,0,0,0,0,5.42101086242752e-20,0.107077711442226,0,0,0,0,0.0213465855161773,0,0.00345393567820944,0,0.0208659311375268
X601288.CH.EQUITY,0,0,0,0,0.167975905123391,0,0,0,0,0,0,0,0,0.030665468293694,0,0,0,0.00976896032611589,0,0,0.0780143460880677,0.165240902308179,0,0,0,0.0262785638289645,0,0,-0.00271342933688418,0,0.0479829764724071
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.143599947116827,0,0,0,0,0,0,0,0.208590912761748,0,0,0.0243694327865975,0,0,0,0.000351935602289749,0.00318427272292254,0,0
X601988.CH.EQUITY,0,0,0,0,0.112620663327409,0,0,0,0,0,0,0,0,0.0118374435901104,0,0,0.00459310599127718,0,0,0,0.21742131854167,0.124894491947407,0,0,0,0,0,0,-0.00066443988590598,0,0.00570195355582548
X3988.HK.EQUITY,0.249334505821672,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0876576771207709,0,0,0,0,0,0,0.0854276401059425,0,0,0.157491256793919,0,0,0,0.00317106295078468,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.240072419001033,0,-0.034105973143249,0,0,0.0102069408140533,0,0.0895312869997894,0,0,0.295472891233466,0,0.0465952085094079,0,2.16840434497101e-19,0,0.007341973068592,-0.000545071632885435,-0.00294791196937506,0
X1299.HK.EQUITY,0.283043160811763,0,0,0,0,0,0,0,0,0,0,0,0,0.0409545353103361,0,0,0,0,0,0.113590775137736,0.0512297477706767,0,0,0.163453229729857,0,0,0.0428202091826451,0,0.0161477510323953,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.00490085990159986,0,0,0,0,0,0,0,0.367269416668391,0,0,0,0.179104592087131,0,0,0.171842065689847,0,0,0,0,0.0880269868386322,0,0,-0.0508245985617759,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.546860733997124,0,0,0,0,0.048088532650804,0,0,0,0.231046992817542,0,0,0,-2.71050543121376e-20,0,0.032238964754723,0.00705924670886462,0.022201830078204,0.0602506762077486
X3328.HK.EQUITY,0.140696008371626,0,0,0,0,0.120780095143509,0,0,0,0,0,0.164550295834223,0.156268501916263,0,0,0,0,0,0,0,0.0883870198122104,0.0420387767237011,0,0,0,0,0,0.00758971708656781,0.00033114049158039,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.100692297147481,0,0,0,0,0.0842448654504062,0,0,0,0.248007995499128,0,0,0,0.0568671320300512,0,0.00716757851390514,-0.0004060760067883,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.140269616312481,-8.67361737988404e-19,0,0,0,0,0,0,0,0.170960722007012,0,0.182208936619079,0,0.113402214268695,0,0.00751837266378262,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117527861433353,0,0,0,0,0,0,0,0.294651309272416,0,0,0,0.223192576621802,0,0.0232955867412067,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0681116761726606,0,0,0,0,0.0857271699965974,0,0,0,0.177940410197421,0,0.159623624772446,0,0.00216741205327268,0,2.71050543121376e-20,-0.053706006146139,0,0
X388.HK.EQUITY,0,0,0,0,0,0.126506730103501,0,0,0,0,0,0.267267995306415,0.0660556988635106,0,0,0,0,0,0,0,0.147444430759296,0,0.0154663097720511,0,0,0,0,0.000452544619512217,-0.0106126703460521,0.0280252058619426,0
X16.HK.EQUITY,0,0,0.0751201328039226,0,0,0,0,0,0,0,0,0,0.426163620060747,0,0,0,0,0,0,0,0,0,0.390428261706999,0,0,0,0,0,-0.00266366924540588,0.0351687155733429,0.071566722053012
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.131066325818695,0,0,0,0,0,0,0.649188371718056,0,0,0,0,0,0,0,0.0840986354426382,0,0.0250145890414847,0.00280873068361981,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.282639587257859,0.0166650714658063,0,0,0,0,0,0,0.129722569730016,0.2345751905716,0,0,0.066259027200694,0,1.73472347597681e-18,0,-0.000795695816595373,-0.00436938489652601,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.189002360330659,0,0.254258235334471,0,0.319034276464248,0,0,0,0,0,0,0,0.167495542417638,0,0,0.110402851916676,0,0,0,-0.00263407539546839,0.0262694130647853,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.040181649196605,0,0,0,0,0,0.449271018391247,0,0,0,0,0,0,0.267429898144838,0,0.00540458873131973,0.019197056427275,0.0029511391660497,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.523761871637742,0,0,0,0,0.245548602957581,0.243778355163327,0,0,0.145767456274941,0,0,0.1054378980525,0,0,0.00255066044902506,-0.0243383262173124,-0.825074109862411,-0.316621423444144
FXI.US.EQUITY,0,0,0,0,0,0.200826626270294,0,0,0,0,0,0.215221069670279,0,-0.235201302075614,0,0,0,0,0,0,0,0,0,0,-0.192630506726242,0.0180768908837789,0,-0.200176803802125,0.0167958747465553,0,-0.0397150173730022
VXFXI.INDEX,1.21834947442587,0,0,0,0,0.81486834572657,0,0,0,0,0,0.309785283753457,0,-0.873775353432131,0,0,0,0,0,0,0,0,0,-0.601766206018435,-0.823139112077745,0,-4.88530381819782,0,0.0561690602373365,-0.0773154750918022,-0.018409129772293
TED.SP,0,0,0,0,1.96471186454046,0,0,0,0,0,0,0,0,-1.30051837338355,0,0,-0.520500483841514,0,0,0,0,0,0,-1.20638704487665,0.75887840078338,-1.38919171616927,0,-0.117653290549879,0,0,-0.103393489157001
CN3M10YSLOPE,0,0,0,0.235680483051377,0,0,0,0,0,0,0,0,0.361876590679601,0.0817578907753126,0,0,0,0,0.124235357436768,0,0,0,0,0,0,-0.836711890010206,-0.0613528477319038,-0.0151119507035778,-0.0240885148015532,0,-0.806668932950085
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127123711114884,0,0,0,0,-0.0945978377683351,-0.112431683073968,-0.265898422471744,0,0.0480793619885943,0,-0.435445652209854,0
