,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.14134055174246,0,0,0,0,0,0,0.138798451708271,0,0,0.0689555731645454,0,0,0,0,0.104197752975436,0,0,0,0,0,0,0,0,0,0.00368240723705829,-0.000137721311476762,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0414600103705115,0,0,0,0,0,0,0,0.233183726101885,0,0,0,-0.0298875897785508,-0.0199123519060734,0,-0.0205980164746313
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.165726429830144,0,0,0,0,0,0,0,0.182549222804382,0,0,0,0,0,0.0439342549904502,0,0,0,0.00903427510432928,-0.0134260562595413,0,0
X939.HK.EQUITY,0,0.310830181191832,0,0,0,0,0,0,0,0,0.12595751291792,0.0240971320684287,0,0,0,0,0,0,0,0,0,0,0,0.0929601739236102,0,0,0,0,0,0.0052812296590362,-0.0893524088623746
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.344024332835881,0,0,0.15374296872738,0.0163498672668057,0,0,0,0,0,0.0745111985023441,0,0,0,0,0,0,0,0.00267883654051451,-0.0151844071718253,0.061725399453847,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.247730327070176,0,0,0.108073469143539,0,0,0.0568816161215928,0,0,0,0,0,0,0.0157056494771947,0,0.0434451063025399,0,-0.0114908143536785,-0.0196566809096048,0,0
X601288.CH.EQUITY,0,0,0.0391583458629422,0,0,0,0,0,0,0,0,0.0249304994550421,0.058750711588541,0,0,0,0,0.246667798512575,0,0,0,0,0,0,0,0.0251424616220955,0,4.33680868994202e-19,0.0026412993869868,0.00830074806500861,0
X601988.CH.EQUITY,0,0,0.185091516179302,0,0,0,0,0,0.0803178171969345,0,0,0,0,0,0,0,0,0,0,0.0337494639252846,0,0,0,0,0,0.023643194939642,0,-0.00299098911646896,-0.0051479077164011,0.0148656739030876,-0.0565174634167044
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0810127995612282,0.0680160240978545,0,0,0,0.0799719640596604,0,0,0,0,0,0,0.0614583558069877,0.227403334578704,0,0.0125594208669708,0,-0.00779171383767638,-0.0197515715365131,0,-0.0460426626051579
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.076157558896565,0,0,0.217083100495038,0,0,0.00200993027937564,0.15872752476923,0,0,0,0,0.215793601071013,0,0,-3.46944695195361e-18,0,-0.0326146065862771,0.00477110747644427,-0.0640253120088052,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500802818205132,0,0,0,0,0,0,0,0.371191895974641,0.264071173291393,0,0,0,0,0,0,0.0519747777920502,0
X5.HK.EQUITY,0,0,0,0.16653315022439,0,0,0,0,0,0,0.185437282865242,0,0.26007766286221,0,0,0,0.0588273585743279,0,0,0,0,0,0,0,0,0,0,-0.0169260768153787,0,-0.0270308997612372,-0.350463829654432
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0586207494666185,0,0,0.370170593982761,0,0,0,0,0,0,0,0.0474207487306652,0,0,0,0,0,0,0,-0.0802205854708703,0.0214698786732824
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.123822033389426,0,0.348588738342238,0,0,0,0,0,0,0,0,0,0.0401213299382633,0.487846194488056,0,0,0,-0.0328240334617241,-0.00363931165866892,0,-0.120814840594663
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.140968721538676,3.46944695195361e-18,0,0,0,0,0,0,0.0504535979283153,0,0.102041525751947,0.0035427403428801,0,0,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0.013247214477865,0,0.0399000298627918,0,0,0,0,0,0.0514397722121677,0.0411330578613677,0,0,0,0,0,0.150536996410366,0,0,-1.38777878078145e-17,0,0,0,0.278702847361454,0,0,0,0,-0.0189947264706797,0.00924859235729433,-0.0719763999139441
X388.HK.EQUITY,0,0,0,0,0.288165845615003,0,0,0,0,0,0.19919411502084,0,0,0,0,0,0,0,0,0,0,0,0,0.124043337961279,0,-0.0955749066556295,0.0208592251758174,0,-0.00493377679950031,-0.0763140397015805,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.555565288424141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196495582181112,0,0.00526470978444478,0.00241991084329165,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0461138803404266,0,0,0,0,0.361738337384848,0,0,0,0,0,0.074597580179453,0,0.0352478881641443,0,-0.011859239821288,-0.00308186216827355,0.0281465252941905,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0382345704205277,0,0,0.0259515248610737,0,0,0,0,0,0,0,0,0.298515597303941,0.250054028149896,0,0,0,-0.0451561933851152,0.00300805873080399,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.12816736083449,8.67361737988404e-19,0.108688184476543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180472160505822,0,-0.0218100766451226,0,-0.0516800737532761
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.568041306849294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669944787142991,0,-1.73472347597681e-18,0.00433718188362855,0.0205624004470001,-0.0748426060686421
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.232885900907477,0,0,0,0.347124889091532,0,0,0,0,0,0.0102113384532884,0,0,0,0,0,0.0201549369042165,0,0,-0.0137467987531073,0,-0.0901400247240855
X688.HK.EQUITY,0,0.586704857385994,0,0,0,0,0,0,0.223443991430284,0,0.0499913594454497,0,0,0.530489580477346,0,0,0,0,0,0.0612277676518956,0,0,0,0,0,0.0124835164888011,0,0.0357816868921351,-2.16840434497101e-19,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0378028260947764,0.124672487526648,0,0,0,0,0,0,0.0348539535341064,0,0,0,0,0.0358948977140094,0,0,0,0,-0.00865591505399445,0.00785508141641862,-0.0145136493114164,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.371570363289208,0,0,0,-0.126136374976818,0,0,0,0,0,0,0.603307213957736,-0.212855608308335,0,0,0,-0.100980186456403,-0.0977541941997546,-0.883105440350102,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.264276301967933,-0.0105718828800615,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0.272579721742274,0,0,0,0,0,1.13035753788362,0,0,0,0,0,0,-0.43743026763106,0,0.181161709680549,-3.04604724518541,0,-0.0161235117704477,0,0.459305590944128
TED.SP,0,0,0,0,0,0,0,0,0,2.6599651247295,0,3.0166533955826,-2.19143436108551,-2.41708428360123,0,0,-5.35551247218988,0,0,0,-1.35261965179459,0,0,2.03461409664763,0,-0.986393697061982,0,-0.0481256264945822,0,0,0
CN3M10YSLOPE,0,0,0,-0.199967949729997,0,0,0,0,0,-0.248154052321319,0.188887898927161,0,0,0,0,0,0.320580512480701,0,0,-0.0215811621818583,0,0,0,0,0,-0.729126269845197,0,-0.115132819914527,0.0742753741821047,0,-0.479140728266896
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.403265107561617,0,-8.67361737988404e-19,0,0,-0.556545632610059,0,0,0,0,0,0,0,0,-0.337897666700194,0,-0.0287994501308795,-0.0371553770198501,-0.246265564253098,0
