,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0.100784046860623,0,0,0,0.229392725208351,0,0,0,0,0,0,0,0,0.117595025019075,0,0,0.129459145887452,0,0,0,0,0,0,-0.0359118810084014,-0.0404954304088145,0,0.0173418880266646,0.00534785292639335,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.321111980786104,0,0.170658985445738,0.0980624166167151,0,0,0,0,0,0,0,0,0,0,0,0.0273811493595472,0,0,0.0171240200794198,-0.0130777750542543,-0.000676363527182543,0
X601318.CH.EQUITY,0,0,0,0.233241704257726,0,0,0,0,0,0,0,0,0.0680405297022796,0,0,0,0,0.111744376904647,0.139217202636965,0.0776252011968422,-0.0158746207861297,0,0.206904964917786,0,-0.0574693104021183,0,0,0.0249962798420396,0,0.00961348091086863,0
X2318.HK.EQUITY,0,0,0.367130218915864,0,0,0,0,0,0,0,0,0.0363932064402162,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.301452409595148,-0.0230751382697902,0,0,-0.0141818129445603,0.0032346179164529,0
X939.HK.EQUITY,0,0.312305071692849,0,0.0439341431763973,0,0,0,0,0,0,0,0.0391342250338642,0,0.0904267129461083,0,0,0,0,0.0362320852915361,0.0837923105315107,0.0570517741431429,0,0,0,0.0284376086734759,-0.00968954220713014,0,0.000239264864681245,0.0239685995916641,2.16840434497101e-19,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994495895122762,0.0479205409488082,0.117372134157914,0,0,0.0687102568800268,0,0,0.0115487975555818,0,0,-0.00119327598005689,0,0
X601288.CH.EQUITY,0,0.0542108894047907,0,0,0,0.054201720340297,0,0.00938152083585932,0.225006913216787,0,0,0,0,0.0200069445739293,0,0,0,0,0.15467364827634,0,0,0,0,0,0,-0.0349921990563324,0,0.00158039277583559,0.000729657977115938,0,0
X5.HK.EQUITY,0,0,-0.0703516944573229,0,0,0,0,0,0,0,0.701838153293945,-0.0262768458799488,0,0,0,0,0,0,0,0,0,0,-0.106366040987441,8.67361737988404e-19,0,0.0543990420765477,0,-0.00370040225594023,0.0100794671692141,0,0
X601988.CH.EQUITY,0.0705064555753327,0,0,0,0,0,0,0.0234676743747953,0,0,0,0,0,0.139655343718068,0,0,0.10992265314595,0.0033598509947869,0.0401252828510383,0,0,0,0,0,0,0,0,-0.0114014787948728,0,-0.00223086337034516,0
X3988.HK.EQUITY,0,0.272841188718309,0,0,0.272257779069852,0,0,0,0,0,0,0,0,0.0266957736033783,0,0,0,0,0,0,0.0438732624971757,0.0459231799823245,0,0,0,0,0,-0.00706918329995973,0,0.0159737366714023,0
