,X600958.CH.EQUITY,X601288.CH.EQUITY,X600837.CH.EQUITY,X600816.CH.EQUITY,X601318.CH.EQUITY,X3056.TT.EQUITY,X601108.CH.EQUITY,X600919.CH.EQUITY,X600369.CH.EQUITY,X000002.CH.EQUITY,X2905.TT.EQUITY,X3040.TT.EQUITY,X600061.CH.EQUITY,X600848.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X601155.CH.EQUITY,X6005.TT.EQUITY,X001979.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600958.CH.EQUITY,0,0,0.0870999745062148,0,0,0,0.193788235061598,0,0,0,0,0,0.206548659220921,0,0,0,0.154329693317128,0,0,0,0,0,0,0,0,0,0,0.0143873859719321,0.000174054221873085,0.000634815453940439,0
X601288.CH.EQUITY,0,0,0,0,0.0994173019104263,0,0,0,0,0.000200402027468627,0,0,0,0,0,0,0,0,0,0.292061521978057,0.0258028623650779,0,3.46944695195361e-18,0,0,0.00604190223324656,0,0.00511585783139715,0.00168358606376423,-0.0108848080958848,0
X600837.CH.EQUITY,0,0,0,0,0,0,0.154639548546936,0,0,0,0,0,0.363727560285206,0,0,0.0777325722667351,0.046428076006041,0,0,0,0,0,0,0,0,0.0437328034261349,0,0,0.0297200895960892,-0.0180055876870564,0
X600816.CH.EQUITY,0,0,0,0,0,0.113413987732153,0,0,0,0,0.044514724982802,0.0265441726021202,0,0,0,0,0,0,0,0,0,-0.361408231076892,0.0188950741713083,0,-0.10244174480032,0,0,0.000953965277712275,0.0788944033948729,0.0169351178766492,0.0670771604123374
X601318.CH.EQUITY,0,0,0,0,0,0,0.0224752924529104,0,0,0,0,0,0,0.104628854066563,0.0642777401512388,0.0785343268341118,0,0,0,0,0.0147208402566053,-8.67361737988404e-19,0.170569104510296,0,0,0,0,0,0.00249199159181521,0.0488538543977591,0
X3056.TT.EQUITY,0,0,0,-0.0199954859863176,0,0,0,0,0,0.104638844112786,0.142308017939479,0.0512433592829922,-0.0486488413568469,0,0,0,0,0,0,0,0,0.34540155124944,0.0775567712707227,0,0,-0.00432026210917403,0,0,0.00223867281444447,0,0
X601108.CH.EQUITY,0.19835951943626,0,0,0,0,0,0,0,0,0,0,-0.0919733562280261,0.541210624718813,0.0682760313306585,0,0,0,0,0,0,0,0,0,0,0,-0.0598459578608047,0,0.0359699952570433,0,0,0.0646638431468409
X600919.CH.EQUITY,0,0,0,-0.0562817226320044,0,0,0.0852727535926178,0,0,0,0,0,0.0719762075614506,0,0,0.0740505803134939,0.0387503152014077,0,0,0,0,0,0,0,0,0.00125416126547413,0,-0.033458563323825,0,0,0
X600369.CH.EQUITY,0,0,0,0,0,0,0.102490101704211,0,0,0.0722967212166029,-0.0391607511444341,0,0.180709024729624,0,0,0.0609251792788354,0,0,0,0,0.0588543277755759,0,0,0,0,0.0167323369352874,0,0.0117593313237903,0.00338520194326974,0,-0.0400915582430584
X000002.CH.EQUITY,0.0392948336863419,0,0,0,0,0,0,0,0,0,-0.039547935333632,-0.0376144253544724,0,-0.0139272985471026,0,0,0.128626517858191,0,0,0,0.0281954335694347,0,0.389192992483599,0,0,0,0,0.021512962753021,-0.00279135391450942,4.33680868994202e-19,0
