,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.216341449331107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143811288649043,0,-0.0685739194412116,-0.102891891090985,0,0,0,0,0,0,0.00630505735861685,0.042309715394442,0.0322443665841054
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0156318720773132,0.0545316509362743,0,0,0,0.569532545857748,0,0,0,0,0,0,0.0519551502896424,0,0.0683548961047972,0.00357448706712636,0,2.71050543121376e-20,0,-0.0127157901794344,0
X2318.HK.EQUITY,0,0,0,0.186133218435662,0,0,0,0,0,0,0,0.233461235605082,0,0.229757950958639,0,0,0,0,0,-1.38777878078145e-17,0,0.0308172890724656,0,0.0252717890355854,0,0.0230805619191692,0,0.0041978573646133,-0.0176383677684904,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0296135808746503,0.0168312674324639,0.0657854517828124,0,0,0,0,0,0,0.357930614696487,0,0,0,0,0,0.00480726979432339,0,0.0118365368277435,0,0,0
X939.HK.EQUITY,0.125937640698088,0.0588457618725102,0.0503820575576501,0,0,0,0,0,0,0,0,0.0174106070433083,0,0.0811962090901244,0,0,0,0,0.0356932911949774,0.0740905760039647,0.0777354693399098,0,0,0.108769252308693,0,0,0,0,0,0.0185112739592476,0
X601939.CH.EQUITY,0.141955373739608,0,0,0,0,0,0,0,0,0,0.267149842396681,0,0.0170955074918058,0,0,0,0,0,0,0,0.126234084531521,0,0.00729001979284015,0,0,-0.00792099979308192,0.147435202719189,0.0406645825601981,-0.0150515277635262,0,0
X601288.CH.EQUITY,0,0,-0.171320918434648,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.102298569977558,0,0,0,0.252290048385347,0,0,0,0.0740329193738256,0,0,0,0,0.00782536507865469,0,0.014535915294814,0.00540590795664187,0,-0.0679076754008659
X5.HK.EQUITY,-0.0520580058628415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227689143767441,0,0.0372161290317564,0.076649813168406,0.0331235046735296,0,0,0.0377757492072386,0,-8.67361737988404e-19
X3988.HK.EQUITY,0,0.0396363640887138,0,0,0,0,0,0,0,0,0,0.0825729690033266,0,0.139463660917115,0,0,0,0,0,0,0.124528780587615,0,0.07132224867248,-3.46944695195361e-18,0.00127090366455656,0,0,0.00299667445202838,0.00505543348349649,0.0214114666966223,0
X601988.CH.EQUITY,0,0,0,0,0,0.118844011332283,0,0.173020278851591,0,0,0,0,0,0,0,0.179755405218239,0.010842205044491,0,0,0,0.0765197480670077,0,0,0.0722710184464668,0,0,0,0.0111884086778316,0,0,-0.0525438298027303
X600036.CH.EQUITY,0,0,0,0.51442825172467,0,0,0,0,0,0,0,0,0,0,0,0.292522930159911,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0199753704804849,0,0.034193763368511,-0.00509759533230432,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.26320543901683,0,0,0,-0.0710750470635619,0,0,0,0.300875869110247,0,0,0,0.309830378333243,0.00540643265506761,0,-0.00688941436935337,-2.16840434497101e-19,0,-0.0878137398841292
X601628.CH.EQUITY,0,0,0,0.20214316817871,0,0,0,0,0,0,0,0.0281259815527122,0,0,0,0,0.153028672840762,0,0,0.279500747598063,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0683094980419163,0
X2628.HK.EQUITY,0,0,0.304337259660609,0,0,0.214035022617954,0,0,0,0,0,0,0.107271559723439,0,0,0,0,0,0.234973861184345,0,0,0,0,0,0.262332197947695,0,0,0.0155950976780451,0,0.00192945940176874,0
