,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0535047537583944,0.181187888875688,0,0,0,0,0.049130642645111,0,0,0,0.0703670016361919,0.104289828691215,0,0,0.0553004725484314,0,0,0,0,-0.0648086377824209
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00687945269415061,0.0872937017397008,0,0,0,0,0,0,0,0.0268323235937201,0,0,0.105715550873656,0.080999247277558,0,0.00532302122128967,-0.00758302710134163,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1329271755424,0,0,0,0.207824790075993,0,0,0,0,0,0,0.0797355874579583,0.0684618952021794,0,0.00938354856967299,-0.00194931154282705,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.220838739837447,0,0,0,0,0,0,0,0,0.15495175848281,0.0381226826240513,0,0,0.057448190030175,0,-0.009194520968232,0,0,-0.0345841909719241
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.402304483749294,0,0,0,0,0,0,0,0,0.0719824391512802,0.0571535248890988,0,0.0421132986118141,0.0346572044388108,0,0,-0.000664698403393225,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102823943634579,0.169011570292345,0,0,0.13705562474135,0,0,0,0,0.0542377243377857,0.0710737490293379,0,0.148744670259002,0.0236754114849144,0,0.00648347984578775,0.0069232407838671,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340708365880686,0,0,0.0171618018394633,0.0579626999646582,0,0,0,0.0878129088917589,0,0,0.098789480356806,0.047389648844993,0,0.00676135795923713,-0.000799153963056864,0,0
X601988.CH.EQUITY,0,0,0.102657505145449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486361471742004,0,0.0338532362243728,0,0,0.113911808734511,0,0,0.104930399820694,0.010608266992399,0,0.00101188574072903,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.313247184982797,0,0,0.0713331755861968,0,0,0,0,0,0,0,0.0553016385277504,0.15652580773305,0,0,0,0,0.00651189112558757,-0.0051820092441328,0,-0.0909479078206228
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.215796237102939,0,0.135795406531276,0,0,0,0.307717349958741,0,0.0157699600162086,0,0,0.0428373463263066,0,0,0.0441681218601139,0,0.037841541049174,0,0.0153267810832415,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.365003433463558,0,0,0,0,0,0,0,0,0,0.263321147647155,0,0,0.0412303009185308,0,-0.00936076295333315,0.0238892169050223,-0.0149285285289499,0
X5.HK.EQUITY,0.388877794024606,0,0,0,0,0,0,0,0,0,0.229377818913569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00703001677310927,0.0535758141827737,0.043751031015737,-0.0945314384315372
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113777639171258,0,0,0,0,0,0,0,0.331892632149912,0.542576636786226,0,1.38777878078145e-17,0.00185912968239569,0,-0.0103475283680887,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.423925885387298,0,0,0,0,0,0,0,0,0.175850529730457,0,0,0.168554161952399,0,0,0.0248468598206096,-0.0095178352049842,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0466710716306227,0,0,0,0.016269808146699,0.401364186005935,0,0,0,0.0636390893461593,0,0,0.0314673331091427,0.016787193013125,0,-0.0057372811879658,0.00876650627426107,0,0
