,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.207464177701803,0,0,0,0,0,0,0,0,0,0,0,0,0.169629164969084,0,0,-0.0781031268677379,-0.120146293044631,0,0,0,-0.0320265922727094,0,-0.00366730666381536,0.00610964802336962,0.0075849823864088,0
X1398.HK.EQUITY,0,0,0,0,0.0383360878460995,0,0,0,0,0,0.0249071011647317,0.247736123963352,0,0,0.550688391391517,0,0,0,0,0,0,0,0,0,-0.0449068572276721,0,0,0.00787882561164549,-0.0174824505052208,-0.00502562709843823,0
X601318.CH.EQUITY,0,0,0,0.012458464541098,0,0,0,0,0,0,0.0997713505807995,0,0.0513867327567974,0,0,0,0,0,0,0.357946699278329,0.00699600680570269,0,0,0,0.0247734990928628,0,0,0.01325373652744,-0.00984726868594426,0,0
X2318.HK.EQUITY,0,0,0.181411362483283,0,0,0,0,0,0,0,0,0.211794518889214,0,0.263090025102072,0,0,0,0,0,0,0,0.0117216379178073,0,0,0.00609863161678312,0.0256624713301116,0,0,-0.0171049945402781,0,0
X939.HK.EQUITY,0.0580133482622069,0.00481466039374393,0,0,0,0,0,0,0,0,0,0,0,0.00782611769877799,0,0,0,0,0,0.0806447596869329,0.108515307101207,0,0,0.0854176726300129,0.116262170075881,0,0,0.00350106066745897,0.0165003075959033,0.0107356833456632,0
X601939.CH.EQUITY,0.124391032569506,0,0,0,0,0,0,0,0,0,0.318386625954423,0,0.066343990778439,0,0,0,0,0,0,0,0.11374662813353,0,0,0,0,0,0,0.0144510949568366,-0.0120811035867929,-0.00281102381548187,0
X601288.CH.EQUITY,0,0,0,-0.194791083049107,0,0,0,0,0,0,0,0,0,0,0,0,0.283122037558658,0.0871222852422661,0,0,0.06650675590482,0,0,0,0,0,0,0.0130819188563457,-0.00547135705919607,0,-0.0667637230456913
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235098337229669,0,0.141770901602482,0,0.0196443988091405,0,-1.73472347597681e-18,0.0356030277243498,0,0
X3988.HK.EQUITY,0,0.0784048687509006,0,0,0,0,0,0,0,0,0,0.112274200659876,0,0.0855712987090379,0,0.0244860518908416,0,0,0,0,0.103883389889821,0,0.0259622047503924,0,0.0549798289615971,-0.0205882060648561,0,0.00124875322729696,0,0.010503172095994,0
X601988.CH.EQUITY,0,0,0,0,0,0.0197400862654606,0,0,0,0,0.105924719917195,0,0,0.00545371666786381,0,0,0.0664469980686109,0,0.0151497611346244,0,0.020864935493064,0,0.0830066898228786,0.0833526054381421,0,-0.0184354466977651,0,0.00322012165525098,0,0,0
X600036.CH.EQUITY,0,0,0.484266144194436,0,0,0,0,0,0,0,0,0,0,0,0.289416096908372,0,0,0,0,0,0.107814073318274,0,0,0,0,0,0,0.0272105336947896,-0.00387190555368568,0,0
X1299.HK.EQUITY,0,0.0221757860890693,0,0,0,0,0,0,0,0,0,0,0.309180788481533,0,0,0,0,0,0,0.00864874327464459,0.384142656297235,0,0,0.0524560069593441,0.0305688481109174,0.0554424535993608,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235942647705129,0,0,0.305791713769081,0,0,0,0,0.293420152662761,0,0,0.000906920983704464,-0.00475620346357553,0.0367937614686104,0
X2628.HK.EQUITY,0,0,0,0,0,0.207128199886993,0,0.395917544178714,0,0,0,0,0,0,0,0,0,0.0656775924846908,0,0,0,0,0.161085135808905,0,0.282943121583318,0,0,0.00362082074269731,0.020759050127223,1.73472347597681e-18,0
X3328.HK.EQUITY,0,1.16136813057412,0,0,0,0,0,0,0,0,0,0,0,-0.103071283640087,0,0,0.224437598005213,-0.043660547126676,0,0.0824894305993237,0.0867511558222085,0,0,0,0,0,0,0,0,0.0551524140277005,0
X601328.CH.EQUITY,0,0.259522877583042,0,0,0,0.0199274985692902,0,0,0,0,0,0,0,0,0.0189882793515467,0,0,0,0.0726524556480565,0.109511714158933,0,0.0891165205083149,0.0566318433894872,0,0.0559112940347875,0.0449240428038153,0,-0.00463396987421305,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.307414158765513,0,0,0,0,0,0.209139698894504,0,0.0275764616162116,0,0,0,0,0.210458063609601,0,0,0,0,0,0,0,-0.00499480465044587,0.0216850384930363,-0.0259580158337773,0
X601319.CH.EQUITY,0.0559689280682737,0,0,0,0,0,0,0,0,0,0,0,0,0.25804865150755,0,0,0,0,0,0.11813072187423,0,0,0,0.0672402112242536,0.330120867336479,-0.119755134163404,0,-0.00579266658950539,-0.0406877353474184,0,0.107406937959747
