,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0.0409654450685725,0,0,0,0,0,0,0,0.051857066939056,0,0.143962216318864,0,0,0,0,0,0,0,0,0,0.170512642453801,0,0.00473080901912179,0,-0.0116807650275627,-0.0169812982158758,0,-0.0327074088480536
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.295641063322998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120517736183407,0,0.00976446815786951,0,0.00435389934084694,-0.00282191769108272,0,0
X601939.CH.EQUITY,0,0.141558688346077,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.224680722707209,0.273648425919112,0,0,0,0,0,0,0,0,0.0139918769281994,-0.0059344470830383,0.00428580156893308,0
X939.HK.EQUITY,0.209183776949782,0,0,0,0,0,0,0,0,0,0.142343077934936,0,0,0,0,0,0,0,0,0,0,0,0,0.157319183768597,0,0.0170095224419658,0,0,0.000322553107523046,0,-0.112723469761971
X2318.HK.EQUITY,0,0,0,0,0,0.0465606016733669,0,0,0,0,0.217429442830932,0,0,0.138389446816851,0,0,0.0682747240072596,0,0,0.033438135176922,0,0,0,0.051428200596157,0,0.0205465062797889,0.0250651136865096,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.309629036358907,0,0,0,0.0759375172022051,0,0,0,0,0,0,0,0,0,0.0859177162838759,0,2.16840434497101e-19,0,0,-0.0169119747594377,0.0178330279398539,0
X601288.CH.EQUITY,0,0,0.0421744356508097,0,0,0,0,0,0,0,0,0,0.0845161774609342,0,0,0,0,0,0,0.104587324689638,0,0,0,0.0179859907719179,0,0.0297275690198065,0,-0.0130550510821497,0.00361968611608812,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.0684162509943024,0,0,0,0,-0.0246967579733712,0,0,0,0.158757340129865,0,0.0528885486979958,0,0,0,0,0,0.030805467254849,0,0.00454841417893982,-0.00379131233207732,0.0175138142490468,-0.061627780283216
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.221664631477198,0.0314419805302758,0,0,0,0,0,0,0,0,0,0.065548606026316,0,0.204542370071633,0,0.0129721840706837,0,0,-0.00734842315138471,0,-0.0808994682671359
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0238501512692803,0,0.210617875336214,0.155123001101461,0,0,0,0.243596440894445,0,0,0,0.288114256171247,0,0,0,0,0.0477370407706725,-0.00991646745629035,0.0106536093879192,-0.0309246796285985,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267115068138235,0,0,0,0,0,0.0764182569686472,0,0,0.785786224725874,0,0,0,0.0611633977869397,0.0162846676092111,-0.0157101589737251,0.0181363036136295,0
X5.HK.EQUITY,3.46944695195361e-18,0,0,0.220917943683562,0,0,0,0,0,0,0.237558312176181,0,0.0812792047431376,0,0.197818169201649,0,0,0,0,0,0,0,0,0,0,0.0236298014803054,0,-0.0147080017904305,0.00179348400393679,0,-0.220145333038221
