,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.605654362254312,0,0,0,0,0,0,0.123951285293694,0,0,0.0368217220738281,0,0,0,0,0.00722401711125244,0,0.030993889455643,0,0,0.00392541272896652,0,0.00381899515745887,8.67361737988404e-19,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.142900430423672,0.00673620018914179,0,0,0,0,0,0,0.013141479397728,0.206111687446719,0,0,0,0.029442021843458,0,0,0.0039572432853654,0,0.0288661308724703
X2318.HK.EQUITY,0,0,0,0,0,0.0842082763551187,0,0,0,0,0.153383632772749,0.0173050881803073,0.304857551191712,0,0,0,0,0,0,0,0,0.159275630091653,0.0124181925148053,0,0,0.0244392584995343,0,-0.00550612871487288,-0.0041445411388847,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.196991081995775,0.163642988194247,0,0,0,0,0,0,0,0.194168948648033,0,0,0,0.0621320246630599,0,0.00876644295704445,0.00639548696767211,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0716069493877747,0.0292687656100488,0.0404993689851951,0,0,0.271447101567208,0,0,0,0,0.101753069408953,0,1.38777878078145e-17,0.0514567245101223,0,-0.0022430963959319,0.00900184475273796,0,0
X939.HK.EQUITY,0.603121175728727,0,0,0,0,0,0,0,0,0,0,0.0108195464632637,0.100738752825956,0,0,0,0,0,0,0,0,0.117015850484282,0,0,0,0,0.0216748764110797,-0.000134997467430975,0.00486753435501058,0,0
X601288.CH.EQUITY,0,0,0,0,0.302300177616539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165384183528098,0.0357662438462079,0.0780163714717026,0,0.0931924045827939,0.00653067007404505,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0957293916636354,0,0.0799322963418406,0,0,0.0620689349926501,0,0,0,0,0,0.340277466422201,0,-0.0232414247060916,0,0,0.0107239620569527,-0.0186806910781044,0.0365810490955211
X3988.HK.EQUITY,0.428570899380289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194010599872903,0,0.179308440520624,0,0,0,0,0,-0.00596562247806651,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102144026524194,0.0435992123505788,0,0,0,0.136577776262305,0,0,0,0.020751211354702,0.0539257653689885,0,0,0.00880203599302095,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184338931334239,0,0,0,0.031657490995736,0,0,0.449045054707911,0,0,0,0,0,0.00825464216537743,-0.005289859483478,0,0
X1299.HK.EQUITY,0.259957785134701,0,0,0,0,0,0,0,0,0,0,0,0.0742136138966701,0.0356247853844453,0,0,0,0,0,0,0.0611145650938342,0,0.164228652771938,0,0,0,0.0477253044356731,0,0.0230539879461247,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.00758793128824355,0,0,0,0,0,0,0,0.372539238491081,0,0,0,0.13152912612576,0,0,0.174543102772734,0.0296593002016995,0,0,0,0.0915471888266485,0,0,-0.0508211442029722,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.530926488032001,0,0,0,0,0.0708775369291712,0,0,0,0.247118964186261,0,-0.0450013633637744,-6.93889390390723e-18,0,0,0.0313275893589539,0.00667187614475002,0.0195775169602274,0.0511342188084997
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.150568351463472,-8.67361737988404e-19,0,0,0,0,0,0,0,0.23126396673121,0.160055563986513,0,0,0.0882666602900518,0,0.00690760367525504,0,0,0
X3328.HK.EQUITY,0.188216734474206,0,0,0,0,0.0583796979115728,0,0,0,0,0,0.222838561265803,0.11678502358949,0,0,0,0,0,0,0,0.0856266365332889,0.0595962845605361,0.0095509180680561,0,0,0,0,0.00831644829892022,-0.0010542978032675,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.18091883386457,0,0,0,0,0.274022612667711,0,0,0,0,0.0252648192346081,0,0,0.0421462144496338,0,0,0.00295969043779324,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125229310612502,0,0,0,0,0,0,0,0.31393034968561,0,0,0,0.211057118260919,0,0.0227551465940306,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.11295644837721,0,0,0,0,0.110326509102008,0,0,0,0,0.232270006018725,0,0,0.0198024115318576,0,0.00300464442071587,-0.0512812379281574,0,0
X388.HK.EQUITY,0,0,0,0,0,0.136204257518206,0,0,0,0,0,0.275658219752021,0.0567694715969395,0,0,0,0,0,0,0,0.151618167629075,0,0,0,0,0,0,0.0032414843255609,-0.0112527888222604,0.0300642506863639,-8.67361737988404e-19
X16.HK.EQUITY,0,0,0.0751194719996096,0,0,0,0,0,0,0,0,0,0.426164508656569,0,0,0,0,0,0,0,0,0,0,0.390429438173478,0,0,0,0,-0.00266357850642774,0.0351695918384361,0.0715674736732642
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68168630579275,0,0,0,0,0.248909028985184,0,0,0.00375387676488234,0,0.0188944863023469,0.00570707083572103,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.152787900454107,0,0,0.201572340087336,0,0.322737537035452,0,0,0,0,0.152065874183767,0,0,0.0632514173784143,0,0,0.124904053285978,0,0,0.0142891950786023,0.00447554224250873,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0217331383496667,0.135282539863747,0,0,0,0,0,0,0,0.200618409037762,0.0490155996549321,0.14481876040479,0,0,-0.0169499655119008,0,-0.0091098717417301,-0.00248527131224934,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.421862265334645,0,0,0,0,0,0,0.266575946175243,0,0.00360152534535019,0.00577548275978327,6.93889390390723e-18,-0.0984355683936308
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.388655275300114,0,0,0,0,0,0.187454021427419,0,0,0.410029616573642,0,0,0.0826121893227686,0,0,0.0267733383187775,-0.102029085331447,-0.621654979475766,-0.317568897355236
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.251230914835146,0,-0.210399119623678,0,0,0,0,0.0399047760753807,0,0,0,0,0,-0.282358567870764,0.0356021358282981,0,-0.19560577410334,0.000702026831194604,0,-0.285762559434739
VXFXI.INDEX,0,0,0,0,0,1.3193371247156,0,0,0,0,0,0.919165292619703,0,-0.915052049081534,0,0,0,0,0.0673249657867857,0,0,0,-0.439237740834673,0,-0.910641707847079,0.110846442011115,-4.93010368255048,0,0.0988216780440008,0,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68604805594948,0,0,0,0,0,0,0,0,0,0,0,-1.54603884620197,0,-0.107688885150633,0,0.0566729163543344,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789180595623639,0,0,0,0,0.309068586592171,0,0,0.080429884737385,0.0742001084858348,0,0,-0.719335335653122,0,0.0248304454973389,-0.0476740222594062,0,-0.583070116605342
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326524301953688,-0.227513225047098,0,0,0,0,0,-0.220913247242451,-0.319997141125489,-0.00993685412044316,0.0361328835089826,-0.00843088420465808,-0.377819014821451,0
