,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0424661313277667,0,0.0129783189312387,0,0.585602154412796,0,0,0,0.0260641153546296,-0.0524572153921774,0,0,0,0,0,0.0109739484148173,0,0,-0.0265785016715028,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.312215248971669,0,0,0,0,0,0,0,0,0,0,0,0.088840636301705,0,0,0,0,-0.00510918826236566,-0.00700221149025905,0,0
X2318.HK.EQUITY,0,0,0,0.105031718628799,0,0,0,0,0,0,0,0,0.142434636588666,0,0,0,0,0,0.0303880330461592,0,0,0,0,0.0683727383852801,0,0.0174607843060506,0,-0.0215439423915153,-0.0304398835450735,0,0
X601318.CH.EQUITY,0,0,0.393322614073211,0,0,0,0,0,0,0.0452685142359011,0,0,0,0.17037679340449,0,0.0391451962475978,0.106092863722949,0,0.0781669298811928,0,0,0,-6.93889390390723e-18,0,0.00138882808664494,0,0,-0.0226857633100126,-0.0436788133752704,0.0332890252733522,0
X939.HK.EQUITY,0.0566261370496072,0.123809225281874,0,0,0,0,0,0,0,0,0,0,0.037325667479844,0.0104139814034863,0.15031962819868,0,0.0123397463404527,0.0309425881957243,0,0,0,0,0,0.248447402640403,0,0,0,0.00506019014458347,-0.0192424352714589,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.484472782055851,0,0,0,0,0.120311815066651,0,0,0.324094968183426,0,0,0,0,0,0,0,0,0.0107836113530921,0,0.0135287039356046,0,-0.0262254715711143,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0797885874346693,0,0.0496520355938137,0,0,0.193372280962903,0,0,0.186470771836121,0,0,0,0,0,0.00621595320428974,0,-0.00672938478278107,0.00857586670939401,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0682128393570753,0,0,0.150307642455395,0.0142752168533179,0,0,0,0.108151237308786,0,0,0,0,8.67361737988404e-19,0.0274958590641062,0.0274095070275292,0,0,-0.0441404645745932,0,-0.0213521086133315,0,0
X601988.CH.EQUITY,0,0,0,0.125956135652144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205637949065509,0.0892272128042913,0,0,0,0,0,0,0,-0.0103990531482147,5.42101086242752e-20,0
X3988.HK.EQUITY,0,0,0.0911392726285477,0,0,0,0,0,0,0,0,0.183742130328546,0,0,0.0281190507458526,0,0,0,-0.0121008458936567,0,0,0,0,0,0,0,0,-0.00218752473963891,-0.0503885453858024,0.0369194450540085,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0944532989868105,0.328115391163993,0,0,0.0724403240267089,0.183507883987262,0,0.131585987800166,0.250007839356374,0,0,0,0,0,-0.021411179417987,-0.0580443131991839,0.0257014049908531,1.38777878078145e-17
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0322142184906335,0,0.0477048299404822,-0.0115295392414973,0,0,0,0.183855984080255,0,0,0,0,0,0,0,0.425842641169637,0,0.228384738727044,-3.46944695195361e-18,0,0,0.0181799331727929,0,-0.068372103712385,0
X2628.HK.EQUITY,0,0,0.545965757952081,0.074481498837057,0,0,0,0,0,0,0,0,0,0.181970193892858,0,0,0,0,0,0,0,0,0,0.0212566415698544,0,0.0203816267012931,0,0,-0.0191685659042013,0,0
X601628.CH.EQUITY,0,0,0,0.351025537078601,0,0,0.232248170289748,0,0,0,0,0,0.0866751660186536,0,0,0,0.00624671637831123,0,0.264124999801383,0,0,0,0.16898624455397,0,0,0,0,-0.0501749942489246,-0.0189530570444592,0.064607122279406,0
X3328.HK.EQUITY,1.20988954669053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115483947679752,0,0.00215057014509724,0.00396331608272368,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.320418598265024,0,0,0,0.0436438901995152,0,0,0,0.0860859453615893,-0.065977477858462,0,0.206969159130904,0,0,0,0.103698671209875,0,0,0.0303899853485208,-0.0412808797149927,0
X601166.CH.EQUITY,0,0.0143760855999147,0,0,0.00289601202828721,0,0.421643528662668,0,0,0,0,0,0,0.0184642598705333,0,0,0,0.396843479113585,0,0,0,0,0,-8.67361737988404e-19,0.0633408146147507,0,0,-0.0145782414993813,-0.0240091481422058,0.0485833991521419,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.083108985016254,0,0,0,0.0987688362962899,0,0.218096271004419,0,-0.183005473885163,0,0,0,0.210999317921385,-0.0592549693710959,0,-0.0114283648468912,0,-0.00974249651709803,-0.0140825490578487,0,0.0878904169945155
X601319.CH.EQUITY,0,0.0668972025349311,0,0,0,-0.0329249270128411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920234922989103,0,0,-0.203311881384186,0,-0.0272271256942433,-0.0899294575038448,-0.242809645802447,-0.511386190834479
X000002.CH.EQUITY,0,0,0,0.389284362324188,0,0,0,0,0,0,0,0,0,0.0617511193134011,0,0,0,0.159221347962487,-0.0257908823731579,0,0,0.322896935804586,0.186921379107884,0,0,0,-0.448728909688896,-0.0952920296224217,0.05094814466906,0.0688008565290883,-0.0834674780033749
X11.HK.EQUITY,0,0,0.0185998704202982,0,0,0.190453521519916,0,0,0,0,0.257801026693607,0,0,0,0,0,0,0,0.000685973296594139,0.153871111139039,0,0.136730590293023,0,0,0,0,0,0,-0.0158390519204604,-0.0333625393060675,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.515707682263487,0.0475304028564682,0,0,0,0.0610526742827659,0,-0.018966825659233,0.0662618487967093,0,0,0,0,0,0.0234842478542719,0,0.0265401190042921,0.0505493018830269,4.33680868994202e-19,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.461813002633079,0,0,0.380114409693462,-0.052592487675437,0,0,0,0,0.0452251152163088,0,0,0,0,0,0,0,-0.00566929004475723,0.0260381151580771,0.0314205237519455,0
X388.HK.EQUITY,0,0,0,0.0785893745489785,0.102193915783592,0,0,0,0,0,0,0.126004454939974,0,0,0,0,0,0,0,0,0,0,0.108016259048829,0,0.491659315979185,0.0552171849920064,0,-0.0169820794949617,-0.0120832809309827,0,0.0909400131929852
X2388.HK.EQUITY,0,0,0.736852303148532,0,0,0,0,0,0,0,0,0,0.0413807965836026,0,0,0,0,0,-0.102456432935475,0,0,0,0,0.0516901655370812,0,1.73472347597681e-18,0,0,-0.0484803642707666,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966982997063583,0,0.0345159738319441,0,-0.225282280928702,0,0,0,0,0,0.0599488524093316,0,0,0,0,-0.0128480013592318,-0.914247182481714,-0.353389588892095
FXI.US.EQUITY,0,0,0,-0.071623186224274,0,0,0,0,0,0,0,0,0,-0.0402535806738826,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180286905523998,0,-0.0226139014446273,0
VXFXI.INDEX,0,0,0,0,0,0.0632060924684451,0,0,0,0,-0.509874015155186,-0.0568366865109303,0.220168946016259,-1.20128127949944,0.121166972912015,0,0,0,0,0,0.447471124671918,0,0,0,0,0,-4.51147166971844,0,0.0851492491372863,0.240381342630679,-0.107777095697254
TED.SP,0,0.450326247211281,0,-2.62171276653182,0,0,0,0,0,0,0.518083606942311,0.445057070741738,0,0.0737374690834113,0,0.275818737173129,0,0,0,0,0,0.785205423349272,0,0,0,0.0599270013618373,0,-0.155664939686567,0,0.697273344200339,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.227909448041643,0,0,0.208543162858954,0,0,0,-0.295483203329821,-0.0877484280329121,0,0,0,0,0,0,-1.00865745655603,0,0.0251187240829341,-0.0258314552668837,0,-0.467989137915631
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235756161132875,-0.0982145736887273,-0.154520076916107,0,-0.11475999049623,0,0,0,-0.204543553910066,0,0.519370170257897,0,0,-0.777524204882526,-0.109978449607463,-0.0495584001000808,-0.0500544706480877,-0.703845739971176,0
