,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0.0750930048167818,0,0,0.224497812165447,0,0,0,0,0,0,0,0,0,0,0.0928620648701278,0,0.125340140498471,0,0,-0.0153144322233428,0,0,0,0,-0.0447878279068932,0,0.0176655532673991,0.00709156798814552,0.000389854641193191,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.0897891242393486,0,0,0.197158491870565,0.138627846625007,0.0491926566745715,0,0,0,0,0,0,0,0,0,0,0.0105796348566239,0,0,0,0,-0.0171861696482241,0
X601318.CH.EQUITY,0,0,0,0.221556082484422,0,0,0,0,0,0,0,0,0.106038987664131,0,0,0,0,0.135239572390185,0.123348162869158,0.0372844443878415,-0.0425158580022848,0,0.192124370520329,0,0,0,0,0.0247299856357323,-0.00427632343422773,0.0103655277602176,0
X2318.HK.EQUITY,-0.324111868351455,0,0.523659731034721,0,0,0,0,0.0127772266191649,0,0,0,0,0,0.0691932293947316,0,0,0,0,0,0,0,0,0,0,0.275921261712744,0,0,-0.000784350610002735,-0.0130708892384969,0,0.0220908117419383
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0579174962208241,0,0,0,0,0,0.122592931240383,0,0,0,0.0261657793167038,0,0.0422021249052951,0,0,0,0.00782665349173003,0,0.0283626391892699,0,-0.00833904404932158,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.100329434815495,0,0.0809035815395426,0,0,0,0,0.0264756634075588,0.15480172903182,0,0,0,0,0.0339407035256631,0,0,-0.00640538690564937,0.0222785539956584,0.0108105953820197,0
X601288.CH.EQUITY,0,-8.67361737988404e-19,0,0,0.0176021052305555,0,0,0.0314622058294855,0,0.220585024975141,0,0,0,0.0266871070260116,0,0,0,0,0.156735074781693,0,0,0,0,0,0,-0.00725961046630616,0,0.00433247590489451,0.00549682545217685,0.0126415498797375,0
X5.HK.EQUITY,0,0,-0.170840960515177,0,0,0,0,0,0,0,0.615209396385436,0,0,0,0,0,0,0,0,0,0,0.0679739317424015,0,0,0,0.102765137394607,-0.0556597247075879,-0.0244967683347145,0,0,0
X3988.HK.EQUITY,0,0.28711003326823,0,0,0,0.193412925563011,0,0,0,0,0,0,0,0,0,0,0,0,0.0538392895164611,0,0,0,0,0,0,0,0.0322686411503455,0,-0.00993112200178354,0.048054579069128,0
X601988.CH.EQUITY,0.0743689476383658,0,0,0,0,0.0203951038241328,0,0.0283333033924342,0,0,0,0,0,0.125206597190752,0.117234682261277,0,0,0,0.0423439062094583,0,0,0,0,0,0,0,0,-0.0106970116346942,0,-0.0022254315731667,0
X600036.CH.EQUITY,0,0,0.244900578414054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178766385574782,0,0.259919268560918,0.135421513659449,0,0,0.132306104889055,0,0,0,0,0.0224242064302059,0.0173533248810744,0
