,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.606072617396923,0,0.167282014475873,0,0,0,0.0148824263519582,0,0,-0.199209474185514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116432929177477,0.0345375273958657,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.0479787265605608,0,0,0.24910987624272,0,0.0464889766786778,0,0,-0.0948993015401167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877793545651701,0.00435929847965661,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.153596517101232,0.00780294175779244,0,0,0,0.115793868562539,0.0361861757636251,0,0,0,0,0,0,0,-0.0244054354517701,0,0,0,0.0142592742667162,0,0,0,0.0134657660048048,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.078522373899627,0,0.290416699149037,0,0,0,0,-0.0562544166497799,0,0,0.078585486689553,0,0,0,0.0112127282857827,0,6.93889390390723e-18,0,0,0,0,-0.00154917503593512,-4.33680868994202e-19,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.919708161494346,0,0.051671513424302,0,0,0,0,0,0,0,0.00687693065312757,0,0,0,0,0,0,0,0,0,0,0,-0.00494788389978706,0.0348318249423289,0
X939.HK.EQUITY,0.309328899282979,0,0,0,0,0,0,0,0.00192095577148702,0,0,0,0.116328090219548,0,0,0,0,0.134282770853369,0,0,0,0,0,0,0,-0.00306136867133924,0,0.00231837719098283,-0.00693983777869256,0,0
X601288.CH.EQUITY,0,0,0,0,0.742497894872643,0,0,0,0,0,0,0,0,0,0,0,0,0.00576998776731412,0,0,0,0,0,0.049351387392083,0,0,0,0,0.0107335076778462,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.243527041749096,0,0,0.19647170866606,0,0,0.216938986784083,0,0,0.0761939478836959,0,0,0,0,0,0.0483924539930479,0,0,0,0,0,0.0904558289609944,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.557640155294181,0,0,0,0,0,0,0.0402095237129802,0.416121727833405,0,0.104571428213347,0,0,0,0,0,0.196736088468701,0.191547708707187,0,0,-0.241922571742745,0.0246132297124325,0,0
X600036.CH.EQUITY,0,0,0,0,0.323907862620893,0,0.0578752384592298,4.33680868994202e-19,0,0,0,0,0.102361818805018,0,0,0,0,0.0388753048604792,0,0,0,0.156463417876885,0.0124587996424119,0,0,0,0,0,0.0123888035483563,0.0573495697354744,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513301467914015,0,0,0,0.132620019746733,0,0,0,0,0.0109277223342749,0,0.0797631566954402,0.0106937833934266,0.0435378008415657,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.0466308986172986,0,0,0,0,0,0.0507969349117004,0,0,0,0.0280194053078018,0,0,0,0,0,0.147638444258761,0,0,0,-2.16840434497101e-19,0.00341338669396006,0.0485992258732705,0
X1299.HK.EQUITY,0,-0.0547213645605519,0,0,0,0,0,0,0.203161943958861,0,0,0,0,0.503672435103588,0.131634306593099,0,0,0.0469826444410863,0,0,0,0,0,0,-0.100953936329469,0.0155457165040581,0,0.0320350108056121,2.16840434497101e-19,-0.0430314873079749,0
X5.HK.EQUITY,0.0593495837813993,0,0.189877556004871,0,0,0,0,-0.181466709657522,0,0,0,0.0371706772210253,0.252863835824305,0,0,0,0,0,0.0903456270974053,0,0,0.0525755367510048,0,0,0,0,0,-0.0664555506168255,0.0015497578534396,0.0885346725983771,0.0815197639594597
X388.HK.EQUITY,0,0,0,0,0,0,0,0.107927220894454,0.150355396483551,0,0,0,0.0424641427921732,0,0,0,0,6.93889390390723e-18,0,0,0,-0.196600259494644,0,-0.0607504506869012,0,0,0.479319565871485,-0.119028158946401,-0.0327451537533742,0.0423824554998971,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.106035940964819,0.239790701034945,0,0,0,0,0,0,0,0,0.467426341913198,0,0,0,0,0.22234920021234,0.0580982091689349,0,0.0509463603248453,0,0.0681443615054146,-0.00398407699147524,0,0
X601166.CH.EQUITY,0,0,0,0,0.00290063886820903,0,0,0,0.0484458983096485,0,0.748406441859423,0,0,0,0,0,0,0,0,0,0,0.258461473290782,0,0,0,0.0147926134114374,0,0,0.00456906315805075,0,8.67361737988404e-19
X601066.CH.EQUITY,0,0,0,0,0,0.176335696861849,0,0,0,0,0,0.173267017557506,0,0,0.0817616168705801,0.872084730450357,0,0,0,0,0,0,0,0,-0.0340493339603101,0,0,-0.0231026129347495,-0.0328720122454326,0.00648524834526007,0
X000002.CH.EQUITY,0,0,0,0,0.0418653819490133,0,0,0,-0.0139806443982146,0,0,0,0,0.148356928437096,0,0,0.020077757857657,0.177794306128967,0,0,0,0,0,0,0,0,0,0.0782098945023972,-0.0058568087752778,0.0849341108145836,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.120839213290655,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.153307988327828,0.134605811688354,0,0.00964656853900256,0,0.0356165250504713,0.00881630606837814,0,-0.0129480766893096
X3328.HK.EQUITY,0.11872364598972,0,0,0,0,0,0,0,0,0,0.0307113173168093,0.093289204821612,0,0,-0.121315861839265,0,0,0,0,0,0,0,0,0,0,0,0,-0.0862438886388584,0.0153520634773859,0.0167299217904285,-0.0906340765765546
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.113513977257065,0.0816019023640867,0,0,0,0,0,-1.73472347597681e-18,0.13397437546716,0.160730602983983,0,0,0,0,0.0847916985504435,0,0,0.026427804487128,0,-0.0564365228909532,-0.00288843210399487,0,-0.0391285992837229
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.0455908307181382,0,0,0,0,0,0,0,0.157215012462371,0.101713163410416,0,0,0,0.324804592247845,0,0.0710358299025536,0,-0.103093248055931,0,0,-0.0189715426230787,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.045727863010749,0.195304164400696,0,0,0,0,0,0,0,0,0,0.0734786281711489,0,0,0,0.0822493571067557,0,0,0.371042522926633,0,0,0.100462221000879,0,0.031183120942475,-0.0444402676864655
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.248372385357771,0.130866952899932,0,0,0,0,0,0,0,0,0.084582967370983,0,0,0,0,0,0.134055537506239,0,0,0,-0.0716133287383033,0.0473067044031095,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0.161842993347953,0,0,0,-0.237239683575983,0.167945115581323,0,0.0943833080004123,0,0,0,0,0,0,0,0,0,-0.0419436577545038,0.0243507833879968,-0.876934230227963,-0.497401085399104
FXI.US.EQUITY,0,0.0450536556051042,0,0,0,-0.0542608956046891,0,0,0,-0.062414834837339,0,0.0611349716279826,0,0,0.0748847492539502,0,0,0.111242442849524,0,0,0,0,0,0.0673759194228887,0,0,0,-0.0872229713961737,0,0.0449659091237164,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,-0.763394202358958,0,0,0.33412212611269,0,0,0.317337040883926,0,-0.102444475287443,0.178350287807038,0,0,0,0,0,0.486534613012594,0.100573368681044,-1.29145601083741,0,0.0759233455456229,0,-0.505173820475834
TED.SP,0,0,0,0,0,0,0,0,0.069183831214138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38849673372238,0.331990123151754,0,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.00838606690849304,0,0,0,-0.167889700373127,0,0,0.136518774143514,0,0,0,0,0,0,0,-0.917222245799619,0,-0.0325571097242483,0,0,-0.57407475238143
CREDIT.SP,0,0,0,0.186141683048833,0,0,0,0,0,0,0,0,0,0,-0.331697029317252,0,0,-0.0552332843725172,0.0578069105534734,0,0,0.180855087592181,0,0,0,-0.766113018034974,0,-0.0309154206133365,0.0256690220143938,-0.715372975785973,0
