,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601066.CH.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0189042807929876,0.126495162345919,0,0,0,0,0,0.00719186695279496,0,0,0,0,0,0.249587088108558,0,0,0.084397673792321,0,0,0.030141576222506,0.00541498329068537,0,-0.0155562444994805
X3328.HK.EQUITY,0,0,0,0,0,0,0,-0.026396037289542,0,0,0,0.0247824067751768,0.247058189957995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231483372382784,-0.0241902974627087,0.0264348491473768,-0.0266616662583031
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0954357026054385,-0.0409232694518322,0.311841116157363,0,0.048040783407213,-0.154610797658693,0,0,0,-0.0470810293956234,0,0,0.0727465445442793,0,0,0.429942331321478,0,0,-0.0165890720930504,0,-0.0253167578864348,-0.0137044712407735,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.138940713913548,0.129164851290668,0,0,0,0,0,0.0189772033012413,0,0.173723477832066,0,0,0,0.0893388193664521,0,0.0597979181508085,0,0,0,-0.025631675478882,-0.0181387237085714,0.00787732984205729,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.115487203047105,0.190397045804405,0,0,0,0,0,0,0,0.13275570954926,0,0,0,0,0,0.075263788561781,0,0.17574354236046,0,0,-0.0983192171768014,0.0346220035048443,0,0
X601319.CH.EQUITY,0,0,0,0,0.203813701288008,0,0.0136403235832028,0,0,0,0,0.132327592933248,0,0,0,0.0527177567927837,0,0,0,0,0,0,0,0.606292630002677,0,0,0,0.0733072000319476,-0.00717849435343567,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0.199290762348711,0,0,0,0,0.224995954347309,0.0690577630940875,0,0,0,0,0,0,0,0,0,0,0,0.00165359635687439,-0.800587698207703,-0.240881687978405
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.0715933133684704,0,0,0.135647209197516,0,0,0,0.0937249180660417,0,0,0,0,0,0,0,0,0,0,0,-0.0985911525263423,0,0.0302780592332321,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.171110792311857,0.655149625448758,-3.46944695195361e-18,0,0.0594899173845381,0.287816120734836,0.0125178682486303,0,0,0,0,0,0,0,0,-1.58688501329914,0,0.0348455308746832,-0.250423838259189,-0.0705974674446143
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,-2.66791838834922,2.20967875634587,0,0,0,0,-0.474131677222396,0,0,0,0,2.50821002636305,-0.477973121171972,-0.634328971247961,-1.01206218658417,0.280868058051088,0,0,0.410476612813448
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190668100453892,0.170144158569172,0,0,0,0,0,0,0,0,0,-0.973695775430664,0,-0.0275413485981708,0,0,-0.629629270340531
CREDIT.SP,0,0,0,0,0,0,0,0,0,0.172911564775044,0,0,0,0,-0.252543551392176,0,0,0,0,0,0,0,0,0,0,-0.637711704497207,0,-0.00629988318754558,0.0107620210638762,-0.599905705676125,0
