,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0.0290636347302798,0,0,0,0,0,0,0.151997721119829,0,0,0,0,0,0,0.0603715567338932,0.264203664693397,0,0,0,0,0,-0.00919950280862473,0.0030263532893382,0,0
X1398.HK.EQUITY,0,0,0,0.0407553646277032,0,0.604870166111617,0,0,0,0,0,0,0.0850340163269599,0,0,0,0,0.00285834381592047,0,0,0.0111646081442209,0.0223774437964146,0,0,0.0224881760999391,0.0158330709349585,0,0.00526608333488586,0.000669938959329253,0.0134422839429291,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.200618723662206,0.160340093929719,0,0,0,0,0,0,0,0.198565053400513,0,0,0,0.0608288967564777,0,0.00858371085593876,0.0071464041560616,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.21017695044369,0,0,0,0,0.0151049578346174,0.0444360942743105,0,0,0.24519986635713,0,0,0.138105506449047,0.0298714254040166,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561022657931772,0,0,0,0,0.198676502274644,0,0,0.315761077122177,0,0,0,0,0,-0.00707945975110865,-0.00226781800572157,0,0
X939.HK.EQUITY,0,0.379315212794362,0,0.0893859386627217,0,0,0,0,0,0,0,0,0.0323725852688481,0,0.0977849903727218,0,0,0,0,0,0,0.0807466194346789,0,0,0.162116628399553,0,0,-0.00114778818022313,0.00617988914570471,0,0
X601288.CH.EQUITY,0,0,0,0,0.117202238134559,0,0,0,0,0,0,0,0.0462436494419116,0,0,0,0,0,0,0,0.013965874675475,0.25156870878448,0,0,0,0.0106848469882347,0,0,0.000864927758799278,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.143395199334034,0,0,0,0,0,0,0,0.215098864799247,0,0.0458121815084153,0,0,0,0,0.00283205627635372,1.35525271560688e-20,0.0232963023102467,0
X3988.HK.EQUITY,0,0.543067432505568,0,0,0,0,0,0,0,0,0,0.0218660745958215,0,0,0,0,0,0,0,0,0.0168949365743677,0,0,0.0832242422203466,0,0,0,-4.33680868994202e-19,-0.0117279546014838,0,0
X601988.CH.EQUITY,0,0,0,0,0.113249812554871,0,0.0333707399698183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141380694691474,0.169176174712348,0,0,0.0361601917122777,0,0,8.67361737988404e-19,0.00135175740503563,0,0.0410158760491224
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273286641501615,0.0653675506888607,0,0,0,0.205531505622631,0,0.0232549960810117,0,0,0,0.00921302206834023,-0.000631173300580196,0,0
X1299.HK.EQUITY,0,0.230075511176417,0,0,0,0,0,0,0,0,0,0,0.0117453365320444,0,0,0,0,0,0,0.260696370854131,0.0124762570736999,0,0,0.149005281814823,0.0221664886892198,0,0.0350897640578832,0,0.0101907985430537,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297285311869942,0,0,0,0,0,0,0.0090492229498992,0,0,0,0.401802588913101,0.157739814568088,0,-0.000546009151285797,-0.0239385094566388,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.567520870541086,0,0,0,0,0,0.0656593394087019,0,0,0.204883270311538,-0.0476218275870653,0,0,-2.71050543121376e-20,0,0.033425980109839,0.00913175383317679,0.0163276384285842,0.0156869607954784
X3328.HK.EQUITY,0,0.0993412728679105,0,0,0,0.0982303219729938,0,0,0,0,0,0.205110982246347,0.158944619709782,0,0,0,0,0,0,0,0.0885880664556077,0.0354489013059114,0,0,0.0283223453035233,0,0,0.00845907195274248,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.12873092247584,0,0,0,0,0,0.227214208503425,0,0,0.122884718684927,0,0,0,0.0405389284990875,0,0.00134697308571406,0,0,0
