,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.102735309382137,0,0.0152333610277768,0.064042311926156,0.0504230490128183,0,0.0821512932054881,0,0,-0.036605059598299,-0.0301469976736273,0,0,0,0.0551310322157806,0.297426738688141,0,0,0,-0.0543565402278655,0,0,0,0,0,-0.00302667813742411,-0.00817470857887971,0.0113422371002453,0.0309450309767074
X1398.HK.EQUITY,0,0,0,0,0,0.27975709951794,0,0.0588542769212146,0.386765928216899,0,0,0,0.0261457649245259,0,0,0.0499586078867015,0,0,0,0,0.0261572293634133,0.13171701090079,0,0,0,0,0,0.00608703075466984,0,0,0
X601318.CH.EQUITY,0.0853520575697229,0.112328238505936,0,0.218639633493121,0,0,0,0,0,0,0,0,0.158319207984854,0,0.188228534856587,0,0,0.075171314188389,0,0.0142537021197094,0,0,-0.107595734452578,0,0,0,0,0.0182565109235972,-0.00614187685354837,-0.0353946694722208,0.052771212432113
X2318.HK.EQUITY,0,0,0.764388560485589,0,0,0,0,0,0,0,0,0,0.0634624277589421,0,0,0,0,0.196972918725102,-0.0225163852337709,0,0,0,0.0560449956679863,0,0,-0.0378477410575826,0,0.00371046347101628,0.00926513665859821,0,-0.0179328599454197
X601939.CH.EQUITY,0.119116326538061,-6.93889390390723e-18,0,0,0,0,0.377691835671832,0,0,0,0,0,0,0,0,0,0,0,0,0.0463836660408658,-8.67361737988404e-19,0,0.0701544612247834,0,0,0.0309942633619652,0,-0.0137678315656255,0,-0.0379682237115515,0
X939.HK.EQUITY,0,0.459565968203958,0,0,0,0,0,0,0,0,0,0,0.0274017324952841,0,0,0.0813138737068946,0,0.171684060528456,0,0.0250839444403348,0.0939765019221225,0,0,0,0,-0.0373834605891003,0,0.0107576219629267,8.67361737988404e-19,0,0.0624313588652427
X601288.CH.EQUITY,0.194531751487622,0,0,0,0.299934035079202,0,0,0.0459524840811611,0,0,0,0,0,0,0,0,0,0,0,0,0.0627926269575437,0,0,0,0,-0.0196283994127821,0,-0.000854410005519669,0.00218496786276851,0,0.0447350230550313
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0770491217232828,-0.214498261500735,0.0744209259974169,0,0,0,0,0.17428891244676,0,0,3.46944695195361e-18,-0.0229202545663347,0,-0.0193978605740905,0.623794868598133,0,0,0,0.00179922366581649,0,0.0438974065270794
X3988.HK.EQUITY,0,0.42830495251046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192843175265725,0.169911613084365,0,0,0,0,-0.00258378781262328,-0.0112397245751517,0.0197609417226537,-0.020647977764253
X601988.CH.EQUITY,0,0,0,0.00800765665257809,0.204635147727971,0,0,0,0,0,0,0,0.0743372645218574,0,0.0418755251459745,0,0,0.0294395064689352,0,0,0.0352360222588299,0,0,0,0,-0.00145300846554058,0,0,0,0,0.0456697860914786
