,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111713267182968,0,0.547285986562893,0,0,0,0,0,0,0.0681906208233151,0,0,0,0,0.00554452755531135,0,-0.00570707107911185,0.076401972235037
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603065054936562,0,0,0.0932748194326434,0,0,0,0,0,0,0,-0.00214813398456698,0.00198919620487253,0,0.00590112650025018
X2318.HK.EQUITY,0,0,0,0.184311339234488,0,0,0,0,0,0,0,0,0,0.171920602598195,0,0,0,0.00735732675750112,0,0,0,0,0,0.0662537385089952,0,0.0201881368247869,0,-0.0178784247288671,-0.0165590697318063,0,0
X601318.CH.EQUITY,0,0,0.329158284975379,0,0,0,0,0,0.0571841151332098,0,0,0,0.18360714378595,0,0.0302718749343865,0,0.0839692899862835,0.0972346371305656,0,0,0,0,0,0,0.0345049010396547,0,0,-0.0228255839322521,-0.039710613455232,0.0247039621582715,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.581354760480218,0,-0.00745533458813527,0.0947961502159391,0,0,0,0.280841559540057,0,0,0,0,0,0,0,0,0,0,0.00960564240857708,-0.00644854202896034,-0.0196028588489006,0
X939.HK.EQUITY,0,0.106856859987959,0,0,0,0,0,0,0,0,0,0,0.0241225960501562,0,0,0,0,0,0,0,0,0,0,0.354195706425768,0,0,0,0.00651487934041474,-0.0222280137500133,0.00132208952905511,0
X601288.CH.EQUITY,0,0,-0.0215609541497375,0,0,0,0,0,0,0,0,-0.0894766641408445,0.0565255915175875,0,0,0,0.205279118407292,0,0,0,0.195989695498733,0,0,0,0,0.00890759699919773,0,-0.00654682931730068,0.0135314350175556,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0682131837484623,0,0.150307431165033,0,0.0142792454822741,0,0,0.108147807438535,0,0,0.0274945639393333,0,0,0,0.0274055606847455,0,0,-0.0441365285574613,0,-0.021352276033263,0,0
X3988.HK.EQUITY,0,0,0,0.0502124771217728,0,0,0,0,0,0,0,0.294401843193205,0,0.0527628770086739,0,0,0,0,0,0,0,0,0,0,0.0022686886969101,-0.0457332326162946,0,-0.00459354970979347,-0.0352492287381126,-8.67361737988404e-19,0
X601988.CH.EQUITY,0,0,0,0.140210321123561,0,0,0,0,0,0,0,0,0.00295244567750532,0,0,0,0,0,0,0,0.18473729884795,0,0.102829698727513,0,0,0,0,0,-0.0138201262243489,0.00206046007365328,0
X600036.CH.EQUITY,0,0,0,0.225690409608522,0,0,0,0,0,0,0,-0.136545647909665,-0.00806425654989467,0,0,0.344046537011092,0,0,0,0,0,0.285576608747939,0,0,0,0,0,-0.00895765933518975,-0.0185545680625841,0.0231263470978501,0.040245881963282
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0357598251510005,0.0965234152874805,0,0,0.268595279920442,0,0,0,0,0,0,0,0,0.527506561940536,0,0.0643708170082078,6.93889390390723e-18,0,0,0.0175339630059634,-0.0214761055027494,-0.0626161029543611,0
X601628.CH.EQUITY,0,0,0,0.4985038384179,0,0,0.237791434302377,0,0,0,-0.172814363885246,0,0,0.114632050496801,0,0,0.114288738049206,0.229613471159241,0,0.0964265015486961,0,0,0,0,0,0,0,-0.0426903840454808,-0.00847591993700191,0.11262342744395,0
X2628.HK.EQUITY,0,0,0.470953719441208,0.0822962822220607,0,0,0,0,0,0,0,0.0594613814141409,0.238878165090796,0,0,0,0,0,0,0,0,0,0,0,0,0.0219783521405152,0,0.0061426062191679,-0.00684040508159338,0,0
X601328.CH.EQUITY,0.127492058132932,0,0,0,0,0,0,0,0,0,0.314125135092896,0,0,0,0,0.0119158106606674,0,0,0,0,0,0.074048662119638,0,0,0,0.00644296987809295,0,0.000487712103723462,0,-0.050745287584195,0
X3328.HK.EQUITY,1.20988864538198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115480507917912,0,0.00215149220246554,0.00396478907775758,0,0
X601166.CH.EQUITY,0,0.0165171565473765,0,0,0,0,0.422550981535127,0,0,0,0,0,0.0182028069631309,0,0,0,0,0,0.395497542406353,0,0,0,0,0.00127334623625824,0.0632244653998777,0,0,-0.0146337773511745,-0.0244271081778985,0.0492052963639719,0
X601319.CH.EQUITY,0,0.051276506445417,0,0,-0.154749267705544,0,0,0,0,0,0.155176774472034,0,0,0,0,0,0,0,0,0.780108114413152,0,0,0,0,0,-0.0465745284551497,0,-0.0286165821852729,-0.137796688890162,1.38777878078145e-17,-0.343905280466126
X600000.CH.EQUITY,0,0,0,0,0.0855869394067425,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.134121788588834,0.242121650067003,-0.233681765332337,0,0.296129008761655,0,0,0,-0.0779613840952683,0,-0.0592780945324624,0,-2.16840434497101e-19,-0.0105210070748003,-0.0587948153495533,0
X601601.CH.EQUITY,0,0,0,0.158581686180885,0,0,0,0,0,0,0,0,0.552778349857273,0,0,0,0,0.0315137541426327,0,0,0,0,0,0,0,0,0,-0.00389816555158114,0.0193621490612827,3.46944695195361e-18,0.0350877746785427
X000002.CH.EQUITY,0,0,0,0.0996681233778261,0,0,0,0,0,0,0,0,0.00121084253473987,0,0,0,0.439908661275497,0,0.0052168028960771,0.347341515463544,0,0.15589732130232,0,0,0,0,-0.457338250245709,-0.102297104445097,0.048575065206806,0.110717744686381,-0.0882303173143551
X16.HK.EQUITY,0,0,0,0,0,0,0.248276148369655,0,0,0,0,0.543560447607493,0,0.0675710660523907,0,0,0,-0.0378427187465762,0,0,0.0128719081681708,0,0.169314462345543,0,0,0.04961692823042,0,0.0388695346272881,0.0358767349241002,4.33680868994202e-19,0.00216901444394544
X11.HK.EQUITY,0,0,0.104583586602765,0,0.0900678724954834,0,0,0,0,0,0.114448737866381,0,0,0,0,0,0,0,0,0,0.21068794341389,0,0,8.67361737988404e-19,0.152035533423827,0,0,0,0,-0.00619644150962815,0
X388.HK.EQUITY,0,0,0.114317145542793,0,0,0,0,0,0,0,0,0.184002998130584,0,3.46944695195361e-18,0,0,0,0,0,0.0321601477905768,0,0,0,0,0.523313270898735,0.030104570047166,0,-0.0175590443096058,-0.021476603258789,0,0.0618575844047663
X2388.HK.EQUITY,0,0,0,0.426241707624291,0,0,0,0,0,0,0,0,0,0.283957803086059,0,0,0,-0.0911175436899039,0,0,0,0,0,0,0,0,0,0,-0.0480982283863373,-0.0275463758466358,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08693812231203,0,0,-0.074604677499144,-0.203413304229233,0.280416032101403,0,0,0,0.0383203974688021,0,0,0,0.0407324817613887,-0.0257164077545341,-0.904432639348821,-0.623880877429806
FXI.US.EQUITY,0,0,0,-0.00541780812609545,0,0,0,0,0,0,0,0,-0.0557996188569563,0,0,0,0,0,0,0,0,0,0,0,0,0.0416628522857242,0,-0.175033463128743,-0.0175462335655993,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.130212790168584,0,-1.04677415933833,0,0,0,0,0,0,0,0,0.268606015724254,0,0,0,0,-4.81691987492756,0,0.0194301010199648,0.0817770843675685,0
