,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0774770876901376,0,0,0.619721925418058,0,0,0,0.0571600186973343,0,0.0563586760163418,0,0,0.12474988304231,-0.0776470210838787,0,0,0,0,0,0,0,0,0,0,0.0106877404910914,0,0,0.0149381460188741,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.0260829089371789,0,0,0,0.282663137642886,0.0606518359309287,0,0,0,-0.0926622095361656,-0.00499704470000236,0,0,0,0,0,0,0,0,0,0,0,0.00181419580654542,0.00915194891011317,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0464579078660758,0.101963704277892,0,0,0,0.176390977887378,0.0280524756348045,0.00760576827355386,0,0,0,0,0,0,0,0,0,0,0,0,0.0158976069543653,-0.00174545025629092,0.0112168656720251,-0.00774174210582753
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.132221053590586,0.323824598212735,0,0,0,0,-0.0674310701702082,0,0.0731460268071936,0,0,0,0,0,0,0,0,0,0,0,-0.00567677936445382,0,0
X939.HK.EQUITY,0.0671029975523323,0,0,0,0,0,0,0,0,0,0,0,0.200917396291233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180552071744935,-0.00581769535267381,0.0147401195386119,-0.0661081504383631
X601939.CH.EQUITY,0,0,0,0,0,0,0.955000395802697,0.0320709976168875,0,0,0,0,0,0,0,0,0,0.0413581350753291,0,0,0,0,0.053392054953363,0,0,0,0,0,-0.00793784527008795,0.00849988944382867,0
X601288.CH.EQUITY,0,0,0,0,0,0.777616655799735,0,-0.0630089301502508,0,0,0,0,0,-0.00915505431079412,0,0,0.0150085830175574,0,0,0,0,0,0.119225252289986,0,0,0,0,-0.00242934690919897,-1.0842021724855e-19,-0.00547761794451789,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.573222373295252,0,0,0,0,-0.112103072069945,0,0.575981687952268,0.218748196298228,0,0,0,0,0,0.0813991164494213,0,0,0,0,-0.0355437775086476,-0.0138388347427222,-0.094823880181199,0.0284229602878231
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.204291313155413,0,0,0.176811011325215,0,0.0413857502217272,0.0346469882259716,0.124631575406024,0,0.0839342812675202,0,0,0,0,0,0,0,0,0,0,0,0,0.0838121026237362,-0.201345955282599
X600036.CH.EQUITY,0,0,0,0,0,0.481010065486004,0,0.0153437115809927,0,0,0,0,0.0726932193940056,0,0,0,0.0315224428301689,0,0,0,0.0488806332680734,0,0,0,0.0578270660883703,-0.0331519895489367,0,0,0.00587030798342958,0,0.0212430437166468
