,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0.073307071472109,0.578163614488004,0,0,0,0,0,0,0,0.0924624545923945,0,0,0.0373473773134488,0,0.0098758503939247,0,0,0.0122274016493711,0,0,0.010338617371356,0.00500100365695617,0.00457965280292692,0,0.0045295185558894,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.139051213938197,0,0,0,0,0,0,0,0.00941474108392411,0.229195756130673,0,0,0,0.0187335490839574,0,-0.00205280789973594,0,0,0.0277815848712218
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.200618723662206,0.16034009392972,0,0,0,0,0,0,0,0.19856505340051,0,0,0,0.0608288967564783,0,0.0085837108559388,0.00714640415606133,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.252405903011447,0,0,0,0,0.0376130589013307,0,0,0,0.19011155539018,0,0,0.104371778971841,0.0620270005440635,0,0.000327700649446676,-0.00105916993748259,0,0
X939.HK.EQUITY,0.375182702786868,0,0,0.0809264780943085,0,0,0,0,0,0,0,0,0.0192535863695699,0.00977272072005428,0,0.10013413598045,0,0,0,0,0,0.0815733238415663,0,0,0.172782771428752,0.000994564165325147,0,-0.00111828972607336,0.00601872014630208,0,0
X601939.CH.EQUITY,0,0.226444307322557,0,0,0,0,0,0,0,0,0,0,0,0.0811086139527434,0,0,0,0,0.362898237376824,0,0,0.0348526639695084,0,0,0,0,0,-0.00176723509003593,0,0.016599798375115,0
X601288.CH.EQUITY,0,0,0,0,0,0.111799213901086,0,0,0,0,0,0,0.0254010665030765,0.0272719333461629,0,0,0.00452392690009185,0,0,0,0.0440706601272283,0.225681474878336,0,0,0,0.00903866240464066,0,0,-0.000949946643572896,0,0
X5.HK.EQUITY,0.0762135831811894,0,0,0,0,0,0,0,0,0,0,0.0137843119753791,0.142436162920823,0,0,0,0,0,0,0,0.147079026806594,0,0.0626030652426287,0,0,0,0,0,0,0.0268202011320945,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00752466267785542,0.0339076382000182,0,0,0,0,0.0591169646830178,0,0.214290129235317,0.107931115549324,0,0,0,-2.16840434497101e-19,0,0,-0.00147738713561112,0,0
X3988.HK.EQUITY,0.444814748092183,0,0,0,0,0,0,0,0,0,0,0.0216856382161432,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.178474031312028,0,0,0,0,-0.00428432847640865,0,0
