,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.132133004367891,0,0,-0.0359380644107581,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.214988862256926,0,-0.107833630418155,-0.0801974047767984,0,0,0.149619949563088,0,0,0.00185349547895942,0.00573471166826885,0.0204676796594378,0
X1398.HK.EQUITY,0,0,0.0360687152994959,0,0.0714172287570688,0,0,0,0,0.64674618849534,0.289714794081546,0,0,0,0,0.333675324621634,0,0,-0.100062178566152,0,0,0,0,0,0,0,0,0.00328734315699948,-0.0222903060226463,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358640410892884,0,0,0,0,0.0344725408660248,0.336082190862615,0,0,0,0,0.073520740450719,0.0109853211843449,0,0.0125157711424381,0.00386990995780384,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.174765529997834,0,0.177130384391635,0,0,0,0,0,0,0.270064423701928,0,0.0684795801213803,0,0,0,0.0165302158539131,0,0,-0.0138788386895626,-2.16840434497101e-19,0
X939.HK.EQUITY,0.0876610742284853,0,0,0,0,0,0,0,0,0,0,0,0.146234599929176,0,0,0,0,0,0.0614605845034042,0,0,0.107176516825271,0,0,0.0849849199467951,0,0,0,0.0134286717145541,0.00865852416481569,0
X601939.CH.EQUITY,0.26260030004148,0,0,0,0,0,0,0,0,0,0,0,0.0663418116970054,0.104633634915918,0,0,0,0,0,0,0,0.0300054576844357,0,0,0,0,0,0.0107828852523222,-0.0120315558094479,-8.67361737988404e-19,-0.0447381580813686
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0910008967755746,0,0.0484510822301213,0,0,0,0.114032990740998,0,0,0.0196452334925053,0,0,0,0,0,0,0.00180836090333077,0.0160049131821757,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0615653211494432,0,0.160118908249202,0,0,0.141163071148053,0.0193914742281724,0,0,0.00565064141191611,0.0556407713825382,-0.0264569433468454,0.0152995969529585
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0293994960562609,0,0,0,0.0452359300148754,0,0.185221724104574,0,0,0.0322591853151014,0,0,0,-0.0310317852506867,0,-7.3946196689162e-05,0,0.00107164496942222,0
X3988.HK.EQUITY,0,0.121431329895903,0,0,0,0,0,0,0,0,0,0,0.158609558796944,0,0,0,0,0,0,0,0,0.1424411093865,0.0361164611094542,0,0,-0.00454850404558876,0,0.000999115656099511,0,0.0232980001715105,0
X600036.CH.EQUITY,0,0,0.534096441182816,0,0,0,0,0,0,0,0,0,0,0,0,0.293691778694229,0,6.93889390390723e-18,0,0,0,0.0738438991871067,0,0.0346435922317336,0,0,-0.130613483406419,0.0050259223542546,-0.017172745758127,0.0030725284264045,-0.0607565393373016
X1299.HK.EQUITY,0,0,0.0340022591975551,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.223625320951797,0.358463603594022,0,-0.0458089805158799,0,0,0,0.0310336316943636,0.0116399494554045,-0.186880249250322
X2628.HK.EQUITY,0,6.93889390390723e-18,0,0,0.0265319499712426,0,0,0,0,0,0,0,0,0,0,0.787617356790962,0,0,0.147464452496928,0,0,0.0177980795143858,0.0526257204017003,0,0,0,0,-0.00627883671573141,0.0191234942194564,0.0226577888646079,0
X601628.CH.EQUITY,0,0,0.104773740076858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387309481289305,0,0,0,0,0.0986773119935704,-4.33680868994202e-19,0,0.00812069524463532,0,0.0441525015431547,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672778743391918,0,0.0280242863738,0,0.12462574777693,0,0,0,0.234376085866993,0.159298118833482,0.106384212014498,0,-0.0229532609939933,-0.0344017835115319,0,0
X3328.HK.EQUITY,0,1.11121885889488,0,0,-0.226051416192946,0,0,0,0,0,0.191462377051419,0,0,0,0,0,0.0439463566398923,0,0,0.116017427421916,0,0,0,0,-0.0192411360079761,0.0697648553595999,0,-0.00983920265807233,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0658323317029961,0,0,0,0,0,0,0,0,0,0.00767769560920383,0,0,0,0.453321302948628,0,0,0,0,0,0,0,-0.00901821987927941,0.0129929265472089,-0.00830797213024013,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.154589464986322,0,0,0,0,0.0619942946589947,0.179279739412206,0,0,0.133955279873015,0,0.102195456869428,0,0,0,0,0,-0.00413667077005448,0,0.0163743151764888,0
X601319.CH.EQUITY,0.115788253204006,0,0,0,0,0,0,0,0,0,0,0,0.343414846085891,0.0920918279431288,0,0,0,0,0,0.467044598506701,0,0,-0.146914377703372,0.136254816561023,0.0515157050377876,-0.0274465434506338,0,-0.018963261364746,-0.0213317845517529,0,0.127085287262658
X601601.CH.EQUITY,0,0,0.0683515123898515,0,0,0,0,0,-0.248725927357223,0,0,0,0,0.14151140322605,0,0,0.0423297722868445,0,0.0227932197622872,0,0.280756842935686,0,0,-0.0742593455702483,0.333385785901903,0,0,-0.0172553447693525,0.0208905754685453,0.0292560646594015,0
X000002.CH.EQUITY,0,0,0,0,0,-0.150688303143458,0,0.205418785373927,0,0,0,0,0,0,-8.67361737988404e-19,-0.157752953633252,0,0,0,0.393767542268036,0,-0.351405046137953,-6.93889390390723e-18,0,0.250458997983397,0,0,-0.0245499774523103,-0.0173073525796999,0.0977900107825796,0
X16.HK.EQUITY,0,0,0,-0.0569781793192252,0,0,0,0,0,0,0,0.285586899489164,0,0,0,0,0,0,0,0,0.132557425526497,0,0.34658101859822,0.56046324336486,0,0.102914208218227,-0.463527047920388,-0.105290796149819,0.0534209853490114,0.015538936446817,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.294479946211896,0.00672992463796506,0,0,0,0,0,0,0,0.0485729345995998,0.0366630202212318,0,0,0,-0.00104947140927588,0,-0.0104847082087818,0.0424057080116536,0.0304129339649507,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.316378040678691,0,0.0567813132438153,0,0,0,0,0,0.0808746380491887,0,0,0.162217455443134,0.207184052838845,0,-0.154893087593861,0,0,0,-0.00674670976467581,0.00675080500743738,0
X000001.CH.EQUITY,0,0,0.519618292824429,0,0,0,0,0,0,0,0,0.0245546185233157,0.153705234154007,0,0,0,0.20822731779547,0,0,-0.0194539513780243,0,0.00385969810887461,0,0,0,0,0,0,-0.00131886368395867,-0.0035280883284068,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00527131454468635,-0.00900116160748391,-0.949800255375701,-0.826306511588826
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266100890715832,0,0,0,0,0,0.167614384959588,0,-0.134582727609491,0,0,-0.159146456333444
VXFXI.INDEX,0,0,0,0,2.50756246406207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06365412476192,0,0,0,0,0.622793489462393,-5.89640465901495,0,0.0936854991848541,0,-0.989589242080492
TED.SP,-1.75637428815081,0,0,-2.3289411359659,0.467056306154432,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01150808377558,0.772819652208503,0.0190722162228325,0.289424614676826,0,0,0,-1.01803099039229,-0.712414740878418,0.015044789946147,0,0,0
