,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0184214951482568,0.407397469517165,0,0,0,0,0,0,0,0,0,0,0,0.085937738802352,0,0,0,0,0,0.0932025711414529,0,0,0,0,-0.00457423204414038,0,-0.00272244023086173,0
X1398.HK.EQUITY,0,0,0,0,0.153439261681749,0.541067118199455,0,0,0,0,0,0,0,0,0,0.0633940510174497,1.73472347597681e-18,0.00809673573803663,0,0,0.00521234105806803,0,0.00822222426984491,0,0,0,0,0.00784602206340507,0,0,0
X2318.HK.EQUITY,0,0,0,0.544445210407757,0,0,0,0,0,0,0,0,0.0804827743387663,0.0323320715174503,0,0,0,0,0,0,0,0.00400227540473713,0,0,0,0.0467834256089609,0.0227357201387545,0,0,-0.0445917754701063,0
X601318.CH.EQUITY,0,0,0.0531648961432825,0,0,0,0,0,0,0,0.174721094116285,0,0.0752613921134863,0,0,0,0,0,0,0,0,0.255401892028119,0.259543584729307,0,0,0,0,-0.0399514128894461,0.0117888128572573,0,0
X601939.CH.EQUITY,0,0,0,0.0833502938723108,0,0,0,0,0,0,0,0,0,0.129989664977677,0,0.27594782040096,-1.73472347597681e-18,0.0119850963457924,0,0,0,0.0814145834523479,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.621193457749369,0,0,0,0,0,0,0,0,0,0,0,0,0.0918705842361498,0,0,-0.013746566052638,0,0,0,0,0,0.00752291333142409,0,0,0,0,0.0125052881481925,0.0137435194477255,0.0147911612727769
X601288.CH.EQUITY,0,0,0,-8.67361737988404e-19,0.402409375334721,0,0,0,0.0270195616121602,0,0,0,0,0,0,0.11303353127668,0.00543806651461212,-0.00416457606625121,0,0,0,0.0630277521326206,0,0,0,-0.0182143275080584,0,-0.0155381135838466,0.000724480239353079,0,0.0232781827876507
X5.HK.EQUITY,0,0,0,0,0.0401702338929051,0,0,0,0,0,0,0.206012319617511,0,-0.0449010183549974,0.178037880840567,0,0.0250884083929605,0,0,0,0,0,0,0,0.0650178190436238,0,0,0.0157145232538394,0,-0.0139375137726146,0
X601988.CH.EQUITY,0,0,0,0,0.0504321734880671,0,0,0,0,0,0,0,0,0.142902019434319,0,0,8.67361737988404e-19,0.0294093785685204,0,0,0.112369283092248,0.0477314694336185,0,0,0,0,0,0.00554262797262296,-0.00617884776231241,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.183965486650384,0,0,0,0,0,0,0,0.11277091780362,0,0,0.000273015109629134,0,0,0,0,0,0,0.0213793174435131,0,0,0,-0.0168983415910895,0,0.0912503002804524,0
X600036.CH.EQUITY,0,0,0,0,0.203849649119277,0,0,0,0.105466802938548,0,0,0,0,0.122645697507138,0,0.288626355877752,0,0,0,0,0.124038178485258,0,0,-0.041840823837126,0,0,0,0.0213651261706181,-0.0829596606028801,0.0987769639818847,0.129691120547937
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.108043349812681,0,0,0,0,0.00722062355713358,0.093530844339389,0,0,0,0,0.123810858790255,0.214046961880016,0.0445899465855437,0,0.0388594471104008,0.0660600295325703,-0.0117895317523208,0.125702757484433
X2628.HK.EQUITY,0,0,0,0.163644215466078,0,0,0,0,0,0,0,0,0,0.264496261904284,0,0,0,-0.0361008206672953,0,0,0,0,0,0,0,0,0,-0.0549517106833789,0,0.066387594180878,-0.0356910001761257
X601628.CH.EQUITY,0,0,0,0.389138425506823,0.135798343045621,0,0,0,0,0,0,0,0.0501881629692257,0,0,0,0.261139363673665,0.165163343797359,0,0,0,0,0.335822237259154,0,0,0,0,-0.00721718296969628,3.46944695195361e-18,0.0734448660835731,-0.024861209293362
X3328.HK.EQUITY,0,0,0,0,0,0.0975139076790165,0,0,0,0,0,0,0.244325021829511,0,0,0,0,0,0,0,0,0,0,0,0.141964516127372,0,0,-0.00141537289430097,-0.023944790168371,0.0175819571316642,0.0189582448800243
X601328.CH.EQUITY,0,0,0,0,0.425511873732868,0,0,0,0,0,0.0529010569669838,0,0,0.000947068922385816,0,0,0,-5.42101086242752e-20,0,0,0.251558070826137,0.0853130596291937,0,0,0,0,0,0,-0.0126197551362857,0,0.0739077487932538
X601166.CH.EQUITY,0,0,0,0,0.518218468034795,0,0,0,0,0,0.206692640496,0,0,0.0360876557436302,0,0.0145029565397345,0,-4.33680868994202e-19,0,0,0.289744824146425,0.0340108383503546,0,0,0,-4.33680868994202e-19,-0.00777828571636767,0,0.0278601180875108,0,0.00332478421011427
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194093431794641,0,0,0,0,0,0,0,0.370377110734323,0,0,0,0,0,0.030529677294501,-0.343076824775598,0,0
