,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0111386463421214,0.0985583122297809,0,0,0,0.140921894420889,0,0,0,-3.46944695195361e-18,0,0.106996357588086,0,0.0190783873560077,0,0.0124220456849778,-0.00111001095886462,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.057190823642246,0.375516303166703,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0608822772584152,0,-0.00307019195380152,0,0,-0.0026457038118711
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579853451001671,0.348150428833388,0,0,0.0275437440732976,0,0,0.0876491874925765,0,0.014199806535329,0,0.0176166491918109,0,0,0
X939.HK.EQUITY,0,0.288339955421872,0,0,0,0,0,0,0,0,0,0.0114319705511477,0.032452806141668,0,0,0,0,0,0,0,0.155192353352384,0,0,0.175423330160232,0,0.0365911407550888,0,-0.00313382336252097,0.00667388324302101,0,-0.0518351900102776
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.175819384964207,0.177401690853405,0,0,0,0,0,0,0,0.217686875396111,0,0.00277254439199796,0.0762070202684407,0,0,0.0141045709636474,0.00508053242508204,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.402307165779612,0,0,0,0,0,0,0,0.0571513347159273,0.0719853476305091,0,0.0421093844764646,0,0.0346575637621835,0,0,-0.000663971228202944,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646770519072664,0,0,0,0,0,0,0,0.111992650471038,0,0.159570097019737,0,0.0251287466836229,0,0.00258633334977458,-0.00408480020874923,0,0
X601988.CH.EQUITY,0,0,0.0420254437647771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157369016555233,0,0,0,0.10737602418988,0,0.0791806970184162,0,0.0928116771485997,0,0.00395136904098695,0.0111209771155509,0.0674162688505874,-0.0125198777911018
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0525299286401421,0,0.00139687809993201,0,0,0,0,0,0,0,0.273507004850209,0.136545439184065,0,0.0409244739611528,0,0.0183171985377346,0,0,0.0156374171969898,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.252233411626838,0,0.0753830896235339,0,0,0,0,0,0,0,0,0,0,0.306145674253011,0,0,0,0,0.0198341778037285,-0.0144940473072293,0
