,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.0216082202075989,0,0,0,0,0,0,0,0,0,0,0,0.537831274521722,0,0,0,0,0,0,0.588200521351834,-0.0280435404331892,0.0135290741639226,0,0,0,0.0116712119286372,-1.73472347597681e-18,-0.0271206823202909,0
X601398.CH.EQUITY,0,0,0,0,0,0.264705433323758,0,0,0,0,0,0,0,0,0,0,0,0,0.0530538949682615,0,0,0,0.0235126079952402,0,0.216421611650806,0.00948424100750176,0,0,0.00459623690091516,-3.46944695195361e-18,0.0947564979920779
X601318.CH.EQUITY,0,0,0,0.437916519332664,0,0,0,0,0.0843708017620382,0,0,0,0.18962269160085,0,0,0,0,0,0,0.019513979925143,0,0,0,0,0,1.73472347597681e-18,0,-0.00257599551682139,-0.00955414634450902,0.0282739844706085,0
X2318.HK.EQUITY,0,0,0.135210395450604,0,0,0,0,0,0,0,0,0,0,0.268024155879276,0,0,0,0,0.00752680270730734,0,0.138788077644641,0.126714851544566,0,0.110621768578122,6.93889390390723e-18,0.0303644924654571,0,-0.000595928243188196,-0.0245694649349182,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.129784743428327,0,0,0,0,0,0,0,0,0,0,0.0597051361516944,0,0,0.233386428960578,0,0,0.0106148145406283,0,0,0
X939.HK.EQUITY,0,0.0741280799665361,0,0,0,0,0,0,0,0,0,0,0,0.0887900263357164,0,0,0,0,0.0289671006528524,0,0,0,0.0552681555568597,0.084275900606961,0.120466447533663,-0.0109417572464187,0,-0.00388203178909067,0.0138145257499256,8.67361737988404e-19,0
X601288.CH.EQUITY,0,0,0,-0.10038175601291,0,0,0,0,0,0,0,0,0,0,0,0,0.326207287654398,0,0,0,0,0,0.0164693641552194,0,0,0.0137362391188463,0,0.0114719067283085,0.0317574996525143,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0842549364439282,0,0,0,0,0.0232174483861549,0,0,0,0.00598953966194266,0.0540191573367847,0,0.13659914673218,0.00810303440471905,0,0,0.0107808258116191,0.0274709374150708,0.0174708534475064,0
X3988.HK.EQUITY,0,0,0.0086907348998725,0,0,0,0,0,0,0,0,0.0420509400750467,0,0.220581620345111,0,0,0,0,-0.00272913472043655,0,0.16397233482623,0,0,0,0,0,0,-0.00492082288710921,-0.0177501946796901,0.0278714073305912,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.17930719228436,0,0,0,0.0611126120695284,0,0,0,0,0,0,0,-0.118473307599321,0,0,0,0,0.309963450874384,0,0,0.00881681157296408,0.0232010253147835,-0.0098845791590072,0
