,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X3328.HK.EQUITY,0,0.0652181240556768,0,0,0,0.360055887927723,-0.0162828413664472,0,0,0.224968440983005,0,0,0,0.117803292983318,-0.0627893825297978,0,0,0,-0.0324212205819029,0,0,0,0,0,0,-0.0169152747709338,0,-0.046458099070637,0.0325995843503115,0,0
X601601.CH.EQUITY,0,0,0.501655023520912,0,0,0,0.18481941415129,0,0,0.183622667986189,0,0,-0.0904960523946138,0,0,0,0,0.01839119963846,0.0105728560718343,0,0,0,0,0,0.163820704174316,0,0,4.33680868994202e-19,0.0165961590649295,0.0181304482382668,0
X600000.CH.EQUITY,0,-8.67361737988404e-19,0,0,0,0,0.0282926032518859,0,0,0,0,0,-0.0841726850618113,0,0,0,0,0.484112712784898,0,0,0,0,0,0,0.15201453172828,-0.0303177092922726,0,-0.0198894242663521,0,0.0174771009376844,-0.0600925202547698
X601319.CH.EQUITY,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.10495643472767,0.177123705540859,0.0114967770346839,0,0,0,0.170281676965787,0,0,0.0441361466546827,0,0.00774553370632625,0,-0.00816323910075259,-0.0243359852310141
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132198385123372,0,0.183465415643961,0,0,0,0,0,0,0,0.13078372094153,0,0,0.0300163341813057,0,-0.831581490814156,-0.224186566868861
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0807172826038279,0,0.276191460842739,0,0,0.0577544420226897,-0.0493855162368943,0,0,0,0,0,0,0,0,0,-0.144068522933533,0.0035880625997112,0.0425336312661736,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,-0.268257222172757,0,0,0,0,-0.377496517396391,1.4122690455753,0,0,0,0.150478175207191,0,0,0,0,0,0.165822554914715,-1.34380420922834,0,0.115943601863833,0,-0.462411454978991
TED.SP,0,0,-0.119556911467805,0,0,0,0,0,0,0,0,0,-0.288708221655925,0,-0.1691237954611,0,0,0,0,0,0,0,-0.310025854438272,0,0,-0.509326919988793,0,0,0,2.77555756156289e-17,0
CN3M10YSLOPE,0,0,0,0,0,0,0.0640131531582417,0,0,0,0,0,0,0,-0.201893214983868,0,0,0,0.124729034799826,0,0,0.106472041981305,0,0,0,-0.921295846084272,0,0,-0.0197243590347018,0,-0.590692864648731
CREDIT.SP,0,0,0,0,0,0,0.187595244405742,0,0,0,0,0,-0.0287267003477211,0.2653070287369,-0.295843976076851,0,-0.173614008165381,0,0,0,0,0,0.0856591097645912,0,0.187491085019167,-0.308278590237947,0,-0.0174359444866233,0,-0.281713188202227,0
