,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0.110934657707206,0,0,0,0,0,0,0,0.0928104112506185,0,0.168645799207675,0,0,0,0,0.0641114544382346,0,0.0459093541039405,0,0.00603504058363145,0,0.0742676607763327,0.0422730627330908,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.115947582778466,0,0,0,0,0,0,0,0.00702757060841033,0,0.213977661385131,0,0,0.036099570305779,0,0.00590539532406486,-0.0024367007546908,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00197725141622643,0.0230925144389669,0,0,0.0720451370459753,0.0858856764840098,0,0,0,0,0.25761271012749,0,0,0.0574780273410782,0,0.0119813154219415,-0.00570813462509865,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174538452767942,0,0,0,0,0.101255013891544,0,0.0392577399667886,0,0.154486895979913,0,0,0.0568757893972912,0,-0.00915289142890962,0,0,-0.0284749829323474
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0931246376206016,0.198885112952258,0,0,0,0,0,0,2.16840434497101e-19,0,0.216076611765278,0,0.0658753917416285,0.0550952139599691,0,0.00972756928827924,0.00993903414316533,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0313354475817469,-4.33680868994202e-19,0.387499975067993,0,0,0,0,0.0666105760226803,0,0.0951709612591324,0,0,0,0,0.0453552024075408,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0231549886387141,0,0,0,0,0.00829537468051314,0,0,0.0607024304466657,0,0.0704739270725248,0,0.134008733447287,0.0531702013438706,0,0,-0.0033970552418372,0,0
X601988.CH.EQUITY,0,0,0,0,0.0428151647416014,0,0,0,2.16840434497101e-19,0,0,0,0,0.0359980092701165,0,0,0,0,0.040117134278263,0,0.0520500644588544,0.0437943076074149,0.111450327342803,0,0.0241196959534848,0.0235036337294334,0,0.00161641849161657,-0.00446744098830962,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.377619050067503,0,0,0,0,0,0,0.023951217975099,0,0.106906423451499,0.0199243381067186,0,0,0,0.067441695898167,0,0.00485326388627839,0.00799232409282546,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.426626736309629,0,0,0,0,0,0,0.175990718302302,0,0,0.0499911136763457,0,0,0,0.0816118484104397,0,0,0.0188995521765167,0.115794266441219,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.221703120666312,0,0.173706843263456,0,0,0,0,0,0,0.0222111825835502,0,0.211938005659591,0,0,0,0.0344202184848276,0,0.0224293914230913,-0.0219116315226993,0
X1299.HK.EQUITY,0.120875131962145,0,0,0,0,0,0,0,0,0,0,0,0.0720246993657427,0.311119412222879,0.227289642667364,0,0,0,0,0,0,0.0389701170511277,0,0,0,0.0666116498652757,0,-0.0109524069319442,0.0238106257036855,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457558286721134,0,0,0,0,0,0,0.0939808876307696,0,0,0,0.239789884663071,0.00869402409802562,0,0.030067915525323,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.31740541154535,0,0,0,0,0,0,0.0237266225469964,0,0,0,0,0,0.142234995220536,0,0.313848395896042,0,0.221185274738908,0,0,0,0,-0.0159953422347369,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0855045833793932,0,0.0458735847767265,0,0,0,0,0.153550907410938,0,0.0703709944368841,0.0568418546685982,0.0865300928210965,0,0,0.0515360423772539,0,0,0.0127862523823978,0,-0.0376525654042332
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828895950206354,0,0,0,0.310442006556352,0,0,0.0935495514918241,0,0.032744457426196,0,0,0.0167016540276053,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.053782601244134,0.102656191984449,0.0845161772588982,0,0,0,0,0.092705528636563,0,0,0,0.307805820208337,0,0,0.0719825314001238,0,0,0.00358914772783336,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131535042667494,0,0,0,0,0,0,0.258257976148028,0.0873259681831456,0.134295941295997,0,0,0.115465700033929,0,0.0151769668859055,-0.0170247855249208,0,0
