,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0971036054369529,0.34809408768826,0,0,0,0.0845558040107633,0,0,0,0,0,0,0,0.00937407468064629,0,0,0,0,0,0,0.0939333866981351,0,0,0,0.000673891739366824,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.169978329342868,0.51856008967217,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0502925116010574,0,0,0,7.66752718725523e-05,0.0116865155111504,0,0,0.00719734035869446,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.536790427916332,0,0,0,0,0,0,0,0,0,0.0547901677590476,0,0,0,0,0,0,0,0.0259354992915479,0,0,0,0.0481322374451205,0,-0.00778470260833686,0,-0.0336126051131463,0
X601318.CH.EQUITY,0,0,0.0391488035784402,0,0,0,0,0,0,0,0.210471205300367,0,0,0,0,0,0,0,0,0,0,0.242166337975001,0,0.343272374587927,0,0,0,-0.0378462819844016,0.028958983408108,0,0
X601939.CH.EQUITY,0,0,0,0.0956202870020149,0,0,0,0,0,0,0,0,0,0.137431966586092,0,0.258920631717167,0,0,0,0,0.0521542006049691,0,0,0,0,0,0,0.00364561277090408,0.0357672434581677,0,0
X939.HK.EQUITY,0,0.407734710178776,0,0,0,0,0,0,0.272216311841829,0,0,0,0,0,0.0254830020862692,0,0,0,0,0,-0.00219842944024104,-0.0206819375126394,0.154030915617116,0,0,0,0,0.0021849479908415,0.0162353898865833,0.0277790911236322,0.00704733407214338
X601288.CH.EQUITY,0,0,0,0.00638697602031687,0.361974793088319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399574587084975,0,0,0.163985861234173,0,-0.00890754747143442,0,-0.00255169671413269,0,0,0.0316008493422266
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0694298784660213,-0.0201615409420896,0.122251726978452,0.260012171974524,-0.0165214632197751,0,0,0,0.0204356049287805,0,0,0.126065597962978
X3988.HK.EQUITY,0.00319993291649518,0.381640763915409,0,0,0,0.215603711554065,0,0,0,0,0,0,0.154175131024276,0,0,0,0,0,0,0,-0.0238633659554664,-0.0269408760659396,0,0.0543805636633449,0,-0.0424688939545453,0,-0.00456664775712178,0,0.0104787290532815,0
X601988.CH.EQUITY,0,0,0,0,0.0529345473016392,0,0,0,0,0,0,0,0,0.173615748570782,0,0,0.0489309984023628,0,0,0.060836690821777,0.0186387544462403,0,0,0,0,0,0,0.0103562973580824,-0.00408602219308787,0,0
X600036.CH.EQUITY,0,0,0,0,0.0488581186988411,0,0,0,0,0.102202602979897,0,0,0,0.0901028837492257,0,0.463072704784733,0,0,0,0,0.038384209123018,0,-0.0287417509944265,0.228089263823402,0,0,0,0.0181212386060053,-0.0769165314761215,0.0451022311245918,0.106311155220008
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0266771767206091,0,0,0,0.103904210956802,0,0.414650531557049,0.0619895000630629,0,0,0.115482274332383,0,0,0.0267508880735283,0,0.0316521911757472,0.027838149611414,0,0.125278163009261
X2628.HK.EQUITY,0,0,0,0.199611266976146,0,0,0,0,0,0,0,0,0,0.186122958507733,0,0,0,0,0,0,-0.0339547258974986,0,0,0.167420160279927,0,0,0,-0.0211473337145088,0,0,-0.0476264833483182
X601628.CH.EQUITY,0,0,0,0.403714092830101,0.211463514970736,-0.076645898973971,0,0.0885459587148296,0,0,0,0,0.0919016240776957,0,0,0,0.206144744061031,0,0,0,0.155138004434002,-6.93889390390723e-18,0,0.317516053123507,0,0,0,-0.00619315593353979,0.0126477606749768,0.0831379274832011,0
X3328.HK.EQUITY,0,0,0,0,0,0.0841303628008879,0,0,0,0,0,0,0.23375086228641,0,0,0,0.127632885281537,0,0,0,0,0,0.0694175337794283,0,0,0,0,0,0,0.0401602565977703,0.019757150426261
