,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.325604195132412,0.0560336908974453,0,0,0,0,0,0.137670505877935,0,-0.0334147221495687,0,0,0.141518903643907,0,0,-6.93889390390723e-18,0,0,0,0,0.0298722090876735,0.0243327630389941,0,0,0,0,-0.0240215142879803,0,0
X601398.CH.EQUITY,0,0,0,0.375743535930534,0,0.0417296989614421,0,0,0,0,0,0,0,0.0107198876913056,0,0,0,-1.73472347597681e-18,0,0,0,0.0357254938317682,0,0.097695188450931,0,0,0,0.00264580315968177,-0.00392090580444179,0.0311549571666939,0
X939.HK.EQUITY,0.698929064256939,0,0,0,0,0,0,0,0,0.150045112677366,0,0,0,-0.00436562183419063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730062082820386,0.0264629484623863,0
X601939.CH.EQUITY,0,0.345418067024131,0,0,0,0,0,0,0,0,0,0,0,0.0938709814696475,0.350621082694223,0,0,0.0060573270777922,0,0,0,0,0,0,0,0,0,0.00586312394173249,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.469945291130596,0,0,0,0,0,0,0.112869947658414,0,0,0,0,-0.00834973425154536,0,0,0,0.0468592148964964,0,0,0,0,0.0466899713622689,0,-0.0376478020540128,2.16840434497101e-19,0.0326819856162548
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.13245228394415,0,0,0,0.0662908161161908,0,0.378504663637921,0,0,0,0,0.0647769534548118,0,0.408779387981587,0,-0.018370336094323,0,0,0.00575729734069591,0,0
X601288.CH.EQUITY,0,0,0,0.148701791299619,0,0,0,0,0,0,0,-0.0112830935171067,0.0384533096698444,-1.73472347597681e-18,0.173287216049884,0,0,-4.33680868994202e-19,0,0,0,0,0,0.148087008966102,0,-0.00634071814811312,0,0,0,0.0323310067202001,0.0318201306127025
X5.HK.EQUITY,0,0,0,0,0,0,0.0362561907388306,0,0.15182569120699,0,0,0,0,-0.0352771259479067,0,0,0,-0.031517273263501,0,0,0,0.189827478037545,0.28832141297467,-0.0244714061203623,-0.0643496207538301,-0.0300164770420978,0,0.0133000709072202,0,-0.0412230430802481,0.0539584652274066
X601988.CH.EQUITY,0,0,0,0.0354464162055435,0,0,0,0,0,0,0,0,0,0.123637120829761,0.0306965419404869,0,0,0.038304619800868,0,0,0,0.0306920960061398,0,0.0557081744221467,0,0,0,0.0119573569323979,0,0.000378273416823417,0.0219521515854602
X3988.HK.EQUITY,0.268872340695101,0,0.236861819124371,0,0.0798355674436409,0,0,0,0,0,0,0,0.0378622228528094,0,0,0,0,-0.0168021999215566,0,0,0,-0.0240854392428831,0,0.0724418718309181,0.0501349072402842,0,0,0,0,0.0488318826058269,0
X600036.CH.EQUITY,0,0,0,0,0,0.28081401950825,0,0,0,0,0,0,0,0.0345186027356063,0,0,0.359419326706384,0,0.103671332333879,0.0137370656279776,0,0,0,0,0,0,0,0,0.0185454575559403,-0.0223159117410583,0
X1299.HK.EQUITY,0,0,0,0,0,0.15005435610113,0,0,0,0,0,0,0,0.0155169441459425,0,0.0535705095936033,0,0.0128821542641724,0,0,0,0,0,0,0,0.0904254863792927,0,-0.0186090015179276,0.0298150684830716,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.16577261338012,0,0,0,0,0,0,0,0.192307147051171,0,0,0,-0.0152019990312987,0,0,0,0,0,0.396978564216453,0.163753020762443,0.0108774832561155,0,-0.0118776202600493,0.0335195189325927,0,-0.0414459977643304
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.222036221331941,0,0.130498819677775,0,0,0,0.354691404876302,0.14855459522089,0,0,0,0.123386219584886,0,0.304334621370595,0,0,0,-4.33680868994202e-19,0,0.0130868964012668,0
X601328.CH.EQUITY,0,0,0,0.0955060803921323,0,0.0703816652848386,0,0,0,0,0,0,0,0.0128277308019938,0,0,0.25186277033042,0,0.0821079278505875,0,0,0.134899562936609,0,0.12979187509311,0,0,0,0.00112476355474362,0,0.0124759244737285,0.0287136209731671
