,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06945897075832,0,0,0,0.37343843218417,0,0,0,0.00945173368016957,0,0,0,0,0,-0.0017130733824113,4.33680868994202e-19,0,0.0230415516950269
X1398.HK.EQUITY,0,0,0,0,0.472382655737367,0,0,0.0356969301257574,0,0.150880957122359,0,0.051811764527758,0.0479156658839621,0,0,0,0.0600844320873445,0,0,0,0.104413763227343,0,0,0,0,0,0,0.0049601916751621,0.00952857059066494,0,0
X2318.HK.EQUITY,0,0.0930985464924799,0,0.176188347899754,0.103979093442558,0,0,0,0,0,0,0.0561651630496248,0,0.0658783578539964,0,0,0,0,0,0,0,0,0.0957690572101156,0,0,-0.0243770192008097,0,0.000404294509003391,-0.00146072723087439,0,0
X601318.CH.EQUITY,0,0.166028117330141,0.177085432253923,0,0,0,0,0,0,0,0,0,0.167972612503381,0,0.144486945706154,0,0,0.11138306140599,0,0.0722027361157172,0,0,-0.103912291534995,0,0,0,0,0,-0.00171228102172957,-0.0276772800563678,0.036929505084124
X939.HK.EQUITY,0,0.589499032102633,0,0,0,0,0,0,0,0,0,0.0511326693082402,0,8.67361737988404e-19,0,0,0,0.106630933827292,0,0.0686081245418032,0,0.032603683902405,0,0,0,0,0,0.00323477851776048,0,0,0.0181476998930107
X601939.CH.EQUITY,0.24708827644917,0.0161713721912336,0,0,0.0308990135742446,0,0,0,0,0,0,0.0535978080027434,0,0,0,0,0,0,0,0.0911820214367177,0,0,0,0,0,0,0,-0.00996336494712322,0.0282216694471432,-0.0426138319177935,0
X601288.CH.EQUITY,0.15235891490542,0.0875724959160506,0,0,0,0.325096537383187,0,0.00152292729284425,0,0,0,0,0,0,0,0,0,0,0.025790133863642,0,0,0,0,0,0,-5.42101086242752e-20,0,-0.00542449294393811,0.0141381740378804,0.0176248095443858,0.0133422878795187
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.133927588697118,0.00267169813535665,0,0,0,0,0.128334139257333,0,0,0,0.473736074039877,0,0,0,0,-0.04655991776171,0,0.0563106338531454,0,-4.33680868994202e-19
X601988.CH.EQUITY,0.0624231632170478,0,0,0,0,0.135151199912713,0,0,0,0,0,0,0.0744032479726208,0,0,0,0,0.067442373916758,0,0.0474598582225858,0,0.060884937399079,0,0,0,-0.00131599221884759,0,-0.0037951205493379,0.00890394925152022,0,0.0425907660150585
X3988.HK.EQUITY,0,0.36943818582215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197631956147275,0.178961576341061,0,0,0,0,0,-0.0120496429010537,0.0255290197133745,0
