,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.518465393397699,0,0.0796219774053344,0,0.0514134354788793,0,0,0,0.0757357983537123,0,0.160290399231359,0,0,0,0,0.0346450091637798,0,0,0,0,0,0,0.00384426852758654,0.0157974357366632,0,0
X601398.CH.EQUITY,0,0,0,0.0757013183339338,0,6.93889390390723e-18,0,0,0,0.00592757908617064,0,0,0.0222049681977686,-0.0065307969392151,0,0,0,0.370146208995654,0,0,0,0.0171467372403293,0,0,0,0,0,0,0,0,0.0279725288842396
X2318.HK.EQUITY,0.00694615604209276,0,0,0.238515422423392,0,0.182941004742444,0,0,0,0,0,0.0238457050128633,0.0813742610530935,0,0,0,0,0,0,0,0,0,0,0,0.113272458478018,-0.0351620405216157,0,0.00102469363752385,0,0,0
X601318.CH.EQUITY,0.177634374855509,0,0.193853117684911,0,0,0,0,0,0,0,0,0,0,0.098669825950348,0.0700404656510326,0,0,0.10637060516705,0,0.133209422353814,0,0,6.93889390390723e-18,0,-0.015036676467606,0,0,0.0172822674089187,-0.0127433067487531,-0.0356208743987437,0
X601939.CH.EQUITY,0,0.201236869219586,0,0,0,0.0332968625483294,0.163584552032325,0,0,0,0,0.0131148353204193,0,0,0,0,0,0,0,0.082507033270526,0,0.0135794776596888,0,0,0,0,0,-0.00882619796702054,0.0217169336556681,-0.0532174282669998,0
X939.HK.EQUITY,0.580798037440843,0,0,0,0,0,0,0,0,0.153977810534286,0,0,0,0,0,0,0,0,0,0.0555197192814143,0,0.0511080894118845,0,0,0,0,0,0.00673913291931482,0.0188418543709863,0,0.062053197962882
X601288.CH.EQUITY,0.0458364071481999,0.0550370795118666,0,0,0.291989650433092,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462028941404561,0,0,0,-0.0211431042123559,0,0,0.0286864051749784,0,0
X5.HK.EQUITY,0,0.109888146066567,0,0,0,0,0.304152736199253,0,0,0,0.134201857057169,-0.293976141908371,0,0.0610052411782456,0,0,0,0,0,0,0,0.489666210031861,0,0,-0.0178608134850681,0,6.93889390390723e-18,0.001842904389433,0.0228906151647216,0,0
X601988.CH.EQUITY,0,0,0,0,0.272012787834487,0.0391693044050277,0,0,0,0,0,0,0,0.0859003699102023,0.00564471871376106,0,0,0.0471909647205724,0,0.0130131991960447,0,0,0,0,0,0,0,0,0.00151148581598087,0,0.05156706193745
X3988.HK.EQUITY,0.45649627594129,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038746534331556,0,0,0,0.134035631460857,0,0,0.000144463436617028,-0.00508987217408798,0.0465780545691998,0
