,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0716307005484094,-0.00453453085395597,0,0.341596193829772,0,0,-0.0526196683674664,-0.0270115091324539,0,0,0,0,0,0,0,0,0,0.0125370364924394,0,0.00430550388811057,0.0112673039794157,0,0
X1398.HK.EQUITY,0.0756558746372772,0,0,0,0,0.603594893160833,0,0,-2.71050543121376e-20,0,0.124657423078467,0,0,0.0305314175042173,-0.0464037798907038,0,0,0,0.135852885976169,0,0,0,0,0,0,0.0224105046615797,0,0.000268564979485338,0.0118904615099126,0,-0.0155729568242304
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.128783662169508,-1.73472347597681e-18,0,0.0503940110890644,0,0,0,0,0,0,0,0.0438324118798916,0,0,0,0.223190795851945,0,0,0,0,0.0427229883643116,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0598768723648191,0.0876024999375927,0,0.163937787700977,0.0303576386223844,0,0,0,0,0,0,0.00840337971026706,0,0,0,0.0472917070708498,0,0,0.00807262707038047,-0.00291551699338204,0.0144628668528272,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.539247876774364,0,0,0.0149700305659432,0.0318673873250623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172979702480565,0
X939.HK.EQUITY,0,0.40369308308026,0,0,0,0,0,0,0,0,0,0,0.183496720054828,0,0,0,0,0,0,0,-0.000508116672205545,0,0,0,0,0,0,-0.019929006511064,1.0842021724855e-19,0.0112662279082342,-0.0200267046790446
X601288.CH.EQUITY,0,0,0,0,0.783187145934468,0,0,0,0,-0.0170962036960142,0,0,0,0,0,0,0,0,0,0,0,0,0.0363119716833837,0,0,0,0,7.74901349077265e-05,0.00160924016190917,0.0106327269346253,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0148054672187254,0,0.135592474956354,0,0,0,0,0.126001550261169,0,0,0,0.0913680194548666,0,0.0308736592040367,0,0,0,0,0,-0.0080796898391899,0.00156132129197131,8.67361737988404e-19
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0944706312594578,0.202258787679432,0,3.46944695195361e-18,0.0759544897206742,0,0,0,0,0.18013303286694,0,0,0.0766957502931662,0,0,0,0,0.00477791491758819,0,-0.011678466211469,0.00536501428380286,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.525142250827288,0.133457700146811,0,0,0,0,0,0,0,0.107080341343898,0,0.31670260332227,0,0,0,0,-8.67361737988404e-19,0.00462808075851833,-0.0417575249294773,0.101437479030607
