,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0.0968344331946187,0,0,0,0,0.31107690423358,0,0,0,0,0,0,0,0.0389712394755356,0,0,0,0.0214184722743488,0,0,0,0,-0.00622413896628824,0.00358807239987302,0,0.0900845410870943
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570128690830125,0,0,0,0,0,0.263677221621795,-0.00905172908876128,0,0,0,0.0226338974323633,0.0139569885782176,0.028762329188332,-0.021610637236208,0
X601318.CH.EQUITY,0,0,0,0.300872140305558,0,0,0,0,0,0.0701225939124915,0,0,0,0.26479339374255,0.0289554018383249,-0.0344088576976969,0,0,0,0,0,0,0,0,0.0422348076339503,0,0,-0.020789250972759,-0.0128674496986084,0.0243731797040472,-0.0326969616036257
X2318.HK.EQUITY,0,0,0.193634009021615,0,0,0,0,0,0,0,0,0,0.364257154714194,-0.180534753235915,0,0,0,0,0.150753134236967,0,0.269429907210711,0.0316057188155115,0,0.0339732035585997,0,0,0,0.00766886449643978,-0.0203954657326468,-0.0395268972717178,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.265074075823936,0,0.160592325786956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314584264211358,0,0,0
X939.HK.EQUITY,0.120606344501965,0,0,0,0,0,0,0,0,0,0,0,0.260664136149986,0,0,0,0,0,0.0174144088064536,0,0,0,0.0971591526066204,0,0,0,0,-0.00176486854456118,0.0135741797914711,0.00266391160930069,0
X601288.CH.EQUITY,0,0,0,-0.0900992205312238,0,0,0,0,0,0,0,-0.0165327649795673,0,0.0572154411303639,0,0,0.299476468501897,0,0,0,0,0,0,0,0,0.00578727674423214,0,0,0.0212220658648469,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.00634884935802178,0,0,0.00206670823486875,0,0,0,0,0,0,0,0,0,0,0,0.173028793748135,0,0,0,0.00682109064871442,0.0076117712913775,0.0291974715840161,-0.0222134619108497
X601988.CH.EQUITY,-0.155008959170944,0,0,0,0,0,0,0.403236755475942,0,0,0,0.0993744381361513,-1.73472347597681e-18,0.10025363733056,0,0,0,0,0,0,0.0404979128308783,0,0,0.121246696751686,0,0,0,0.0100283324338689,0.0113828048685398,0.0215216940078704,-0.062166959059831
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.02776178210747,0.150830711351767,0,0,0,0,0,0,0,0.192648557406995,0,0,0,0,-0.00288205796951601,0,-0.0059069447186683,-0.0107676710182849,0.0246867306052545,0
