,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.608285414153764,0,0,0,0,0,0,0,0.100053422657133,0,0,0.0195703490947239,0,0.00860050538126711,0,0,0.0107322054157324,0.0322597281056247,0,0,0.0160201953722478,0.00756253973033194,0,0.00468202657226881,0,0.0037295040750413,-0.00866226650500437
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.121502879882039,0.0038564063933708,0,0,0,0,0,0,0,0.288762063527142,0.00215380005199231,0,0,0,0,-0.00254463649100086,0,0,0.0376418290847544
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.251143841152304,0,0,0,0,0,0,0,0,0.254128123653082,0,0,0.139728454549888,0.0254587103467284,0.00257426830247928,0,-0.00427655718201677,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.200618723662206,0.16034009392972,0,0,0,0,0,0,0,0.19856505340051,0,0,0,0.0608288967564783,0,0.0085837108559388,0.00714640415606136,0,0
X939.HK.EQUITY,0.382621279042318,0,0.0930256491960453,0,0,0,0,0,0,0,0,0.0015175153666815,0.0364888543834035,0,0,0.0822345034907845,0,0,0,0,0,0.0825785524216466,0,0,0.157979941644747,0,0.00526605246303539,0,0.00594527944288257,0,0
X601939.CH.EQUITY,0,0.32151435605647,0,0,0,0,0,0,0,0,0,0,0,0.0648920382780504,0,0,0,0,0.368291496743889,0,0,0.00451170056819947,0,0,0,0,0,-0.00159930516961347,0,0.0170840659651747,0
X601288.CH.EQUITY,0,0,0,0,0,0.0744228166536471,0,0,0,0,0,0,0.040813099191672,0.0141898768322582,0.00701895089340669,0,0,0,0,0,0.0349232110284307,0.238883932958999,0,0,0,0.0149107138475946,0,0,0,0,0
X5.HK.EQUITY,0.0856209645424292,0,0,0,0,0,0,0,0,0,0,0,0.144513909130391,0,0,0,0,0,0,0,0.154924553574705,0,0,0.0472590476943661,0,0,0,0,0,0.0273554498392627,0
X3988.HK.EQUITY,0.44402197035252,0,0,0,0,0,0,0,0,0,0,0.0161697828278985,0,0.0542463793677976,0,0,0,0,0,0,0.0687062296062516,0,0.0530750548124951,0,8.67361737988404e-19,0,0,4.33680868994202e-19,-0.0106399192700936,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0858810114112141,0,0,0,0,0,0,0.0156952462469953,0.00040702954025916,0,0,0,0,0.0154973652517967,0,0.198347876683651,0.136880692786064,0,0,0,0,0,0,0,0,0
