,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.133058526136444,0,0,0,0,0,0,0,0.0418389267165477,0.297589982425217,0,0,0,0,0,-0.0113853197825727,0.00388761308046905,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.566564703084849,0,0,0,0,0,0,0,0.0887218084029793,0,0,0,0,0,0,0.0128490697124611,0.0442343236842588,0.0747130099407103,0,0,0.00385666637770636,0,0.00553797695472665,-1.0842021724855e-19,0,0
X601318.CH.EQUITY,0.258063051649233,0,0,0,0,0,0,0,0,0,0,0,0.176729060264528,0,0,0,0,0,0,0,0,0.291677136034913,0,0.184027689687987,0,0.0122812244911941,0,0.00565505488066738,0.00666399550994313,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221981527978707,0,0,0,0.0173948591713593,0,0,0,0.265648451551608,0.122744792925953,0,0,0.0413273107633909,0.00176640352894658,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0571830550476191,0,0,0,0,0,0.189030183067867,0,0,0.325036175820966,0,0,0,0,0,-0.00715153779190115,-0.0020050520003416,0,0
X939.HK.EQUITY,0,0.380973573352724,0,0.0929825578774198,0,0,0,0,0,0,0,0,0,0.0369023169444853,0,0.0845433177857059,0,0,0,0,0,0.0819440488305437,0.158848946022645,0,0,0,0.00532554580996529,0,0.00596839309333044,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582867265459516,0,0,0,0,0.0325888983857632,0,0.0213641650723537,0.262091197884006,0,0,0,0.0146138371939571,0,0,0.000638342796749517,0,0
X5.HK.EQUITY,0,0.130870314406639,0,0,0,0,0,0,0,0,0,0,0,0.142044486923199,0,0,0,0,0,0,0.0715178248006077,0,0,0.137602559446511,0,0,0,0,0.00636119148294689,0.0215415002041692,0
X601988.CH.EQUITY,0,0,0,0,0.105845027338395,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.150934821347293,0.176608085190998,0.0380551402332383,0,0,0,0,0,0.000894543445393519,0,0.0368969946746356
X3988.HK.EQUITY,0,0.256050499881345,0,0,0,0,0,0,0,0,0,0.0179208545427358,0.148585552495984,0,0,0,0,0,0,0,0.159464957493767,0,0,0,0,0,0,0.00456595736616209,-0.00769432747538359,0,0
