,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.38738314265276,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0547029903361809,0,0,0,0,0.129250633917393,0.0456915922984081,0,0,0.00531743963725348,0.000335303396449206,0.0101913647225701,0
X1398.HK.EQUITY,0,0,0.441108907576061,0,0,0,0,0,0,0,0,-0.0187460654486013,0.0669928444231951,0,0.161682108493421,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018871985277649,0,0
X939.HK.EQUITY,0,0.765765268337059,0,0,0,0,0,0,0.134627013659089,0,0,0,0,-0.00911789079657092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023745485172501,0
X601939.CH.EQUITY,0.288803915018912,0.0852434860287393,0.0115926754362977,0,0,0,0,0,0,0,0,0,0,0.0281545434564874,0.156288099356102,0,0.113966828545364,0,0.0175703470931869,0,0,0,0,0.154748070418555,0,0,0,0,-0.0245912424336968,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0824128125847362,0.179874190897067,0,0,0,-0.0305117718670777,0.165931662121796,0,0,0,0,0,0,0,0,0,-0.00323725066813751,0,0
X601318.CH.EQUITY,0,0,0,0,0.206890775282437,0,0,0,0,0,0.0161492258239854,0,0,0,0,0,0.265970729435485,0,0.166903222363182,0.170220457155867,0,0,0,0.143215108539813,0,0,0,-0.00696222879359716,0.0151986153645126,0,0
X601288.CH.EQUITY,0,0,0,0.0812408321760389,0,0,0,0,0,0,0,0,0,0,0.194889421721641,0,0,0.00302179757735069,0,0,0,0,0,0.228204344399354,0,-0.00331621584762936,0,0,-0.00897761961822232,0.00714126272970263,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912885482890766,0.00100801526305241,0.145869097148142,0,0,0,0.270622125266821,0,-0.111185978156314,-0.0296906252870364,-0.0801866176060577,0.00168848132797929,0.00855570143412873,-0.0310122705397109,0
X3988.HK.EQUITY,0,0.454182372901375,0.0769203577085082,0,0.0221314651368294,0,0,0,0,0,0,0,0.0319305925666217,0,0,0,0,-0.0101118961545252,0,0,0,0,0,0.0574038942032052,0.0409892076856714,0,0.0263673969133528,0,0.0130709357421978,0.0531856561419031,0
X601988.CH.EQUITY,0,0,0,0.139688759391872,0,0,0,0,0,0,0,0,0,0.0280959018363735,0,0,0,0.0495502483579492,0.0512822353906329,0.102651081860145,0,0,0,0.143461888734959,0,0,0,0.0139100196097416,-0.008754757375706,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.072638357199613,0,0,-0.0391143760225651,0,0,0.0517357422834287,0.112453073169971,0,0.326533692880143,0,0.24355042211076,0.0235562133557496,-0.0108221116932526,0,0,0,0,0.15388124368307,0,0,0,0,0,-0.032366737213727,0
X1299.HK.EQUITY,0,0,0,0,0,0.0215726583144452,0,0,0,0,0,0,0.00809000849521015,0,0,0,0.176788625360533,0.0152290012961126,0,0,0,0,0,0,0,0.0781855440279033,0,-0.00657313974801158,0.0531429413746851,0,0
X2628.HK.EQUITY,0,0,0,0,0.0979916940382382,0.0803839694954247,0,0,0,0,0,0,0,0.1013068418098,0,0,0,0,0,0,0,0,0,0.387258408287038,0.304539035976779,0.0226974743817746,0,-0.0118713833376313,0.00541992056710961,-8.67361737988404e-19,-0.0423444522169581
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.196847010647723,0,0.169460463928633,0,0,0,0.328660284966383,0.123767212419754,0.121723489002676,0.12921485948878,0,0,0.0642587156900976,0.253966885188442,0,-0.0528067042214323,0,0.0426559145778791,-0.0214188343529481,0,0
X601328.CH.EQUITY,0,0,0,0.096306027194229,0,0.0570126844567231,0,0,0,0,0,0,0,0.014635424715079,0,0,0.225127788698669,0,0.135921376856414,0.116432790671111,0,0,0,0.141543332725318,0,0,0,0.00118012706570756,0,0.0128079779971249,0.0247512909575553
X3328.HK.EQUITY,0,0,0.178576340561097,0,0,0,0,0,0,0,0,0.159969064518899,0,0,0.0912171751756435,0,0.0674025987131733,0,0.0730948973933728,0,0,0,0,0,0,-0.0122725796478389,0,0,-0.00117239764841095,0.024659728611466,0.0280413501316558
