,X2852.TT.EQUITY,X1398.HK.EQUITY,X2841.TT.EQUITY,X1463.TT.EQUITY,X2890.TT.EQUITY,X3040.TT.EQUITY,X2838.TT.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X2509.TT.EQUITY,X2891.TT.EQUITY,X2007.HK.EQUITY,X1299.HK.EQUITY,X2318.HK.EQUITY,X1997.HK.EQUITY,X2506.TT.EQUITY,X2816.TT.EQUITY,X2701.TT.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X2849.TT.EQUITY,X1903.TT.EQUITY,X2388.HK.EQUITY,X2880.TT.EQUITY,X2845.TT.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X2852.TT.EQUITY,0,0,0.0420179464590042,0.153501878862393,0,0,0,0,0.0697584394393887,0,0,0,0,0,0,0.960199576023681,0,0,0,0,0,0.0619442928391379,0,0,0,0.0361220924431595,0,-0.0275088876729036,-0.0586444242969388,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0.0789491743527168,0,0,0.00754327916031078,0,-2.16840434497101e-19,0,0.0155421513603258,0,0,0,0,0,-0.0216766897167795,0.064653514681237,0,0.052952597609363,0,0,0.167250389295579,-0.0754602369381645,0,0.0520162523965041,0
X2841.TT.EQUITY,0,0,0,0,0,0.327949552485204,0,0,0,0.400166352788887,0,0,0,0,0,0,0,0,0,-0.20669210082914,0,0.118039661878537,0,0,0,-0.0361485645023075,0,0.0190545230421592,0.00698860095750651,0,-0.170378738460168
X1463.TT.EQUITY,0.0433691642079588,0,0.177528529193841,0,0,0,0,0,0,0,0,-0.000756259660609826,-0.103255981295101,0,0.339108172106035,0,0,0,-0.0972433740212107,0,0,0,0,0,0,0,0,0,-0.0471047034186184,-0.0131783903422638,-0.165781809062032
X2890.TT.EQUITY,0,0,0.0167513755599562,0,0,0.0501508071553999,0,0.053503287469486,0,0,0,0,0,0,0,0,0,0,0,0.181650210988759,0,0,0,0,0,0.0121019638402507,0,0,0,0.0150855309366108,0
X3040.TT.EQUITY,0,-0.32361117595413,0.636339628217696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239881436066913,0,0,0,0,0.0591783338619967,0,0,0,-0.0155629936843336,0.0689594212248248,0.0431945572896305,-0.0274303583806043,0.0180855877070422,-0.0754025909785836
X2838.TT.EQUITY,0,0,0.059170936010488,0,0,0.0597835782920724,0,0,0,0,0,0,0,0,0.0368317125855522,0,0,0,0,0.0406031587709541,0,0.035936832826475,0,0,0,-0.0340439144837476,0,-0.0570072585867776,0,0.0100953688225125,0
X2881.TT.EQUITY,0,0,0.0526979338572121,0,0,0,0,0,0,0,0.116898870652602,0,0,0,0.0869375103725897,0,0,0,0,0.0228734168332079,0.0618392859046315,0.0694627456631864,0,0,0,0,0,-0.0696924030255283,0,0.0342116528626253,-0.0305766529553401
X17.HK.EQUITY,0.327649496627837,0,-0.00794951117225295,0,0,0,0,0,0,0,0,0,0.462974084978793,0,0,0,0,0,0,0.0606430635712726,-0.0640105587512947,-0.0451330914624606,0,0,0,0.0302273115165112,0.218155872232554,4.33680868994202e-19,0.0512400195659742,0,0
X2509.TT.EQUITY,0,0,0,0,0,0,0,0,-0.160773059923011,0,0,0,0,0.110964960090087,0,0,0,0,0.413977306744629,0.0228340303167325,0.0481970634839588,0.00560491248215289,0,0,0,0,0,0,-0.00396742551661446,0,-0.14409535378555
X2891.TT.EQUITY,0,0,0,0,0,0.0845124918927898,0,0,0.0131716683462324,0,0,0,0.0889312115607303,0,0.108573539410877,0,0,0,0,-4.33680868994202e-19,0,-0.0354352512968487,0,0,0,0.0387883007446358,0,-0.0482072568502537,0.0134328198112959,0,0
X2007.HK.EQUITY,0.203325220700908,0,0,0,0,0,-0.178333875953732,0,0,0.0758123270220445,0,0,0.245822209208166,0.663374213815954,0,0,0,0,0,0,-0.202634358085636,0,0,0,0,0.0256714930228031,0.144319545710732,-0.0623071011183539,0.0395621291827035,-0.0198529517238813,0.222087527090149
X1299.HK.EQUITY,0,0,0,0,0,-0.118784483534141,0,0,0.0900391298697581,0,0,0.0642843257299934,0,0,0.13632420155835,0,0,0,0,0,0,0.172150768576079,0,0,0,-0.025650215427988,0,0.0325544494565622,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0.0399155503610112,0,0,0.0323202176644156,0.0464394092778973,0,0.00123745471261188,0,0,0,0,0.101535495912523,0,0,0,0,0,0,0,-0.0219992078273755,0,0.0190433409103744,-0.0515327990826783
X1997.HK.EQUITY,0,0,0,0.120327458963809,0,0.458999799733112,0,0,0,0,0,0,0,0,0,0,0,0,-0.0678262164340805,0,0.177956921952776,-0.227819406430344,0.0827129244360481,0,0,0.000138728539114804,0,0.174459406741427,-0.00561750528764797,0,-0.192473389353844
X2506.TT.EQUITY,0.0109113242882886,0,0.00594741451345879,0.10477307822365,0,0,0,0,0.0107842069500398,0,0,0,0,0,0,0,0,0,0,0,0.297589188013937,0.0908257108018387,0,0,0,0,0,-0.0072669258566517,0.000576304310370083,-0.0290920715180972,0
X2816.TT.EQUITY,0,0,0,0,0,0.269657342124411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744426205702272,0.289203788050309,0,0,0,0,0,0,0,-0.0130989421890907,0,-0.0740473022274277
X2701.TT.EQUITY,0,0,0,0,0,0.0655107950338852,0,0,0.10194129436975,0,0,0,0.0401623356369605,0,0,0,0,0,0,0,0.0465317118333368,-0.0634105228277232,0,0,0.675578623713076,-0.0156542724842175,0,0.0163501216632903,-0.00358232730644064,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.185382555089227,0.247190818084942,0.130040437996801,0,0.185378437041489,0,0,0,0,0,0.12819644712921,0,-0.0377382912350141,0,0,0,-0.00835718269207049,0,0.127216247099486,0.00735542326970834,0.0216838148660064,0
X000001.CH.EQUITY,0,0,0,0,0,0.109285189349249,0,0,0,0,0,0.0111318951219816,0,0,0.114139991494793,0,0,0,0.239789778728234,0,0,0,0,0,0,0,0,-0.092561762058506,0.0262573003682714,0.0278859123421146,-0.0504783184434608
X2849.TT.EQUITY,0,0,0.0607842162997459,0,0,0,0,0,0,0,0,0,0,0,0,0.722457770420323,0,0,0,0,0,0.0384966770537578,0,0,0,0,0,-0.0392808784518722,-0.0601430971469514,0,0
X1903.TT.EQUITY,0,0,0.316192748510731,0,0,0.743185105685354,0,0,0,0,0,0.487791657364553,0,0,0,0.627632022204532,0,0,0,0,0,0,0,0,0,0,0,0.0226754306634497,-0.043699518651142,-0.116804484322016,0
X2388.HK.EQUITY,0,0.0724669767109105,-0.214548916757553,0.161432106926212,0,0,0,0,0,-0.0884515378892343,0,0,0,0,0.0193196517907597,0,0,0,0,0.0878363458883414,0.18806759282374,0,0,0,0,0.0393174886925269,0,0.0687009012891684,0.0329671501954275,0,0
