,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0.0341664047444904,0,0,0.279945095799789,0,0.0552013078392585,0,0,-0.0850434809893281,-0.0125752795143849,0,0,0,0,0,0,0,0,0,0,0,0.00664917123821893,0.00887163166875482,0,0
X1398.HK.EQUITY,0.0670070643655671,0,0,0,0,0.637221763879918,0,0,0.092120594171692,0,0,0.048089066451958,0,0.0983618020696648,-0.102848441697665,0,0,0,0,0,0,0,0,0,0,0.00566992797440495,0,0,0.0149831099151358,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0657017861723581,0.336883307457548,0,0,0,0,-0.00839534162006062,0,0,0,0,0.0772325467232961,0,0,0,0,0.205001881751636,0.0202705692463037,0,0,0.00669038757096539,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0464596053557093,0.101962070965104,0,0,0,0.176392477905022,0.0280518609254138,0.00760493327658786,0,0,0,0,0,0,0,0,0,0,0,0,0.0158976455863798,-0.00174563547270117,0.0112164020947479,-0.00774111482607366
X601939.CH.EQUITY,0,0,0,0,0,0,0.963745433143616,0.070488686588769,0,0.026597244264785,0,0,0,0,0,0,0.0424966974996433,0,0,0,0,0,0,0,0,0,0,0,-0.00448454000200266,0.00145358245888476,0
X939.HK.EQUITY,0,0.431303350754911,0,0,0,0,0,0,0,0,0,0,0.194717006434178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134647643417145,0.000592737155342796,0,-0.033876720428633
X601288.CH.EQUITY,0,0,0,0,0.783952205213983,0,0,-0.0368180005804066,0,0,0,0,0,0,-0.0200708101658781,0,0,0,0,0,0,0,0.0872624289987742,0,0,0,0,0,0.00548300908421301,-0.00455123509481883,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.00130124394887875,-6.93889390390723e-18,0,0,0,0,0,0.929855789980107,0,0,0,0.179984537144798,0,0,0,0,0.12175611283847,0,0.16911828869877,-0.0384735697719085,0.0298816607418829,-0.0836197961997224,0
X2628.HK.EQUITY,0,0,0,0,0.0568482686961336,0,0,0.35554868487089,0,0,0,0.317501363737395,0.313204046198562,0,0,0,0,0,0,1.38777878078145e-17,0,0,-1.38777878078145e-17,0,0,0,0,-0.00417815431610896,-0.0371453065003443,0.0790595620159964,0
X600036.CH.EQUITY,0,0,0,0,0.469528398282673,0,0,0,0,0,0,0,0.0765113162279415,0.0136571762844858,0,0,0,0,0,0,0.0626466407720166,0,0,0,0.141911249902111,-0.0265895976525551,0,0,0.0052322350271999,0,0.0283111288800931
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00372369115004866,0,0,0,0,0,0,0,0.869139165488373,0,0,0,0,0,-0.154769750768702,0,0,0.0202806686522498,0,0,0.00830144769497392,0.0116472646568427,-0.0188215880038534
X3988.HK.EQUITY,0,0,0,0,0,0,0,-0.0564043397741027,0.183530478883547,0,0,0,0,0.0702113582768136,0,0,0,0,0,0,0,0.0964532398713863,0.0474003899594169,0,0,-0.0254486459960338,0,-0.0130662195099607,-0.0133021379167563,0,0
X1299.HK.EQUITY,-0.278241642812528,0,0,0.551542074410194,0,0,0,0,0.140902301555082,0,0,0,0,0.361054780185209,0.13652464412908,0,0,0,0.175576194023955,0,0,0,0,0,0,0.0179991544957718,0,0,0.00949072840980339,0,0
X5.HK.EQUITY,0,0.074119948133981,0,0,0,0,0,0,-0.130540412552671,0.0802114997141227,0,0,0.379162714705438,0,0,0,0,0,0,0,0,0.098735059666534,0,0,0,0,0,-0.0780168451075259,0.00307959998291618,0.0784691474897679,0
X388.HK.EQUITY,-0.158080769194231,0,0,0,0,0,0,0.318070208444543,0.171507596452775,0,0,0,-1.73472347597681e-18,0.0278380812676573,0,-0.120862098356662,0,0,0,0,0,0,-0.129505741075562,-0.0555661688271261,0,0,0.177604639740288,-0.0546698791546687,-0.0394319229814115,-2.16840434497101e-19,-0.0547948001983329
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.127230093496174,0.183168309388012,0,0,0,0,0,0.0807987891234608,0,0,0,0,0.379272272925433,0,0,0.25559206090665,0.061553588836445,0,0.0350549587740155,0,0.0524681454540846,-0.0221731845484908,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0603318267681982,0,0,0.785282543898997,0,0,0,0,0,0,0,0,0,0.0295698924284651,0.0414797118953701,0,0.0995327212738567,0,0.00481906224687586,0,0,0.00578846212973764,-5.42101086242752e-20,-0.00803088396319527
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.202179003242807,0,0,0,0,0,0.038330197061736,0,0,0,0,0.193955118326881,0,0.0186413824342639,0,0,0.00300336105371523,0,0.0133930391616099,0.00364759312604475,0,-0.0175289895414373
X3328.HK.EQUITY,0,0,0,0,0,0,0,-0.0421987895331238,0,0,0,0.0186099006028341,0.255315936159938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159903230605852,-0.0229551137952545,0.033196439322703,-0.0224153855534201
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.00936501510100059,0,0,0.16447514873335,0,0,0,0.963221996279188,0,0,0,0,0,-0.121033607878167,0,0,0,0.0264124409587626,0.107059075576438,0,-0.0219610724162651,0.0326137518562106,-0.0478802787368293
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0743014137668472,0,0.264716957156073,0,0,-0.136297365142949,0,0,0,0.202198659801299,0.0738942182225338,0,0,0,0,-6.93889390390723e-18,0.246841957347762,0,0,0,-0.0265386588362694,-0.0173200921130904,0.0140599585754389,0
X000002.CH.EQUITY,0,0,0,0,0.05829198188149,0,0,0,0.106174931957737,0,0,0,0,0,0,0,0.027085634211721,0,0,0,0,0,0.155094152857624,0,0,0,0,0.0086193490989874,0.0013135070024036,0.0188583487396972,-0.0785134038309544
X601319.CH.EQUITY,0,0,0,0,0,0,0.101073687402239,0,0,0,0,0.0320027235637747,0,0,0,0,0,0,0,0.13184235703271,0,0,0,0,0.719058864430982,0,0,0.049886704746124,-0.00584951978864378,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.00536947765120358,0.129099826497284,0.176819998377438,0,0,0,0,0,0.0214428722829529,0.182447128816136,0,0,0,0.0913042626015468,0,0,0,0,0,0,-0.0341449401027332,-0.0158839757038372,0.0124369094813632,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.13394393619826,0.51563037650698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228528254776316,0,0,0,0,0,0.0322703133029048,0.0922479361998896,-0.0962075850253561
CGB3M,0,0,0,0,0,0,0,0,0,0,0.30760029697531,0,0.0117520373965325,0,0,0.0563388745358024,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0.0135737436110067,0.0198818036488989,-0.716620283540396,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.0719592738358585,0,0,0.136383905440996,0,0,0,0,0,0,0,0.0929807998474131,0,0,0,0,0,0,0,-0.0996987956459851,0,0.0309617249992822,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,-0.374063037819415,-0.811703772705152,0,0,0.101493958767927,0,0.419337419937928,-3.46944695195361e-18,0,0,0,1.38777878078145e-17,0,0,0,0,1.56502124447863,0,-2.47726641029452,0,0.0311928233174256,-0.0982892167307576,-0.273570135011292
TED.SP,-1.33256277547542,0,0,0,0,0,0,0,0,0,0,0,-1.65649699907047,1.6000847470928,0,0,0,0,-1.34890807371818,0,0,-0.925148153006998,-0.534431543595953,0,3.02046884527225,-0.572935171608025,-0.672212088293832,0.420697896718799,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,-0.130027706697977,0.289068930564463,0,0,0,0,0,-0.22985085157879,0,0,0,0,0.169622416575525,0,0,0,0,0,-0.97957015171752,0,-0.0379882798304999,-0.00779658432819638,0,-0.749157304604446
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299707866542038,0,0,0,0,0.0648322261752616,0,0,0,0,0,-0.76427977228882,0,1.38777878078145e-17,0.0220076638797095,-0.76950071055893,0
