,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0277058363612604,0,0,0,0,0,0,0,0,0,0,-0.00573724731105609,0,0,0,0.387725813707613,0,0,0,0.0133158435605198,0.026322251595654,0,0,0,0,-0.0027461251241736,-0.0137783697790861,0,0.0351570108976064
X1398.HK.EQUITY,0,0,0,0,0,0.194573494616883,0,0.020298066311696,0,0.463963710634253,0,0,0,0.0449519615943666,0,0.062241548603394,0,0,0,0,0.0368411254741227,0.0627433046258472,0,0,0,0,0,0.00733301454512463,0,0,0
X601318.CH.EQUITY,0,0.152907049747109,0,0.183100900235719,0,0,0,0,0,0,0,0,0,0.180018261915614,0.146541104040466,0,0,0.104009729912345,0,0.0517307141231528,0,0,-0.108021420881632,0,0,0,0,0,-0.00173850719130185,-0.0370540943317897,0.0379382272543743
X2318.HK.EQUITY,0,0,0.77032177963802,0,0,0,0,0,0,0,0,0,0.0718123295323027,0,0,0,0,0,0,0,0,0.00402144642693561,0.105751359699743,0,0,-0.0326377559681943,0,0.00210903346785252,0.00513561221296576,0,0
X601939.CH.EQUITY,0.122946039219633,0,0,0,0,0.0206696558077793,0.307416593797023,0,0,0,0,0,0,0,0,0,0,0,0,0.0657779326837063,0,-4.33680868994202e-19,0.0559754384416456,0,0,0,0,-0.0127227103453348,0.00540280326702844,-0.0598430563137763,0
X939.HK.EQUITY,0,0.358456241617593,0,0,0,0,0,0,0,0.236450310361067,0,0,0,0.0198255106800697,0,0,0,0,0,0.0625704934543124,0,0.118123091423262,0,0,0,-0.000667543696742784,0,0.0107128935868068,0.00530602065685958,0,0.0843010773779999
X601288.CH.EQUITY,0.13242872946087,0,0,0,0.323484103328758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759696565310663,0,0,0,-0.0231117073900014,0,8.53361404101965e-05,0.00379779569683929,0,0.0365763790002695
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0486924943188866,-0.191169442969121,0,0.0448091316683961,0,0,0,0.291998172813283,0,0,-0.00633630556398199,0,0,-0.0187878572420629,0.615269120384484,-0.014312269013931,0,0,0.00433619133984614,-1.73472347597681e-18,0
X601988.CH.EQUITY,0,0,0,0.00800738982418998,0.20463746204025,0,0,0,0,0,0,0,0,0.0743324822722378,0.0418821364712172,0,0,0.0294315503209747,0,0,0,0.0352353545628993,0,0,0,-0.00145463879186259,0,0,0,0,0.0456685805269846
X3988.HK.EQUITY,0,0.353439879165092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200449780239664,0.0191618905441545,0.188431863721364,0,0,0,0,-0.000265597330047217,-0.0136757444966087,0.0208843857361471,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.224986523499553,0,0,0,0.155948780600648,-0.120194749905542,0,0,0,0,0.083604604093707,0,0.212594115788542,0.393324611629336,0,0,0,0.0379273571857605,0.051632718935205,0,0,0.0129749164933756,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0504901656182685,0,0,0,0,0,0,0,0,0,0.168488190634569,0,0,0.296808097823979,0.413576238242674,0,0,0.00273742459213343,0.0109507408297864,0.00850135070458561,-0.0706118111989935
X2628.HK.EQUITY,0,0,0,0,0,0.0523042101308866,0,0,0,0,0,0.044281090034637,0,0.350933258661497,0,0,0,0,0,0,0,0.139920786715641,0.0684980032058518,0,0,0,0,0,-0.00876912895579745,0,0.03796562013227
X601628.CH.EQUITY,0,0,0.32250837374835,0,0,0,0,0,0,0,0,0,0.387385245494404,0,0.0370910555908168,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.161722724926161,0,0,-0.0281956539319674,0.0430222971937776,0
