,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.631519849657268,0,0,0,0.0918188486382205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116825339816239,0,0,-0.0135273537975822,0,0.0200517197498698,-0.023792486398371
X601398.CH.EQUITY,0,0,0,0.0526021114592382,0,0.0873853730928548,0,0.0333394842228585,0.00461525741089444,0,0,0,0,0,0,0,0,0,0,0,0,0.0164861060521882,0.0748161549230455,0,0,-0.0100000457645485,0,0,1.0842021724855e-19,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.197640566399901,-0.00935792355533628,0,0,0,0,0.0599251708319041,-0.221732966016675,0,0,0,0,0,0,0,0.2050743018145,0,0,0,0,-0.0325379398207936,-0.00863744040796003,0.0199497220230527,-0.0557454400639039
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0194191659340952,0,0,0,0.0785524378461412,1.73472347597681e-18,-0.099565428891208,0,0.0812048099303226,0,0,0.0901199893079604,0,0,0.275385994528749,0,0.219610714394778,0.0332511491597587,0,-0.0763690102518287,0.00425764236286609,0,0
X939.HK.EQUITY,0.624980513624462,0,0,0,0,0,0,0.000556738273396223,0,0,0,0,0,0,0,0,0.0784579685737346,0,0,0,0,0,0,0,0,-0.000301499197320322,0,0.0144599425843855,0.00156159025658714,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.098468939608517,0,0,0,0,0,0,0,0.0570783845693335,0.248500842963973,0,0.0587176936874992,0.0684816149505279,0,0,0.0129531266772933,0,-0.0236099036625203,0.0174233662839385,-0.0415942861215433,0.0426653512953048
X601288.CH.EQUITY,0,0,0,0.0280152593300164,0,0.0641321024211995,0,0.0113379777389986,0,0,0,0,0,0,0,0,0,0,0,0.00922309636447672,0,0,0.167681516521501,0,0,0,0,0.00679935348047835,-0.00121251039316665,-0.0103647589482148,0
X2628.HK.EQUITY,0,0,0.708172274874985,0,-0.117784380006813,0,0,0,0.0328253130195587,-0.174475372993765,0,0,0.354473329061064,0,0,0,0,0,0,0,0,-0.02080390748588,0.550732960081781,0,0,-0.0516735507470388,0,-0.049332146944575,0.0240452732239975,0,-0.0591754523040723
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.725319075264437,0,0,0,0,0,-0.395000598808491,0.239574898474254,0,0,0.0696334391209379,0,0,0,0.25052160306614,0.400531370978646,0,0,0,0,-0.137353209436446,0.0408051858949295,-0.0401898932897446,0.295085193344265
X600036.CH.EQUITY,0.023950399560332,0,0,0.214952663659654,0,0,0,0,0.15110383362547,0,0,0,0,0.0464831713412134,0,0,0.234363482692324,0,0.0206575745403684,0.0699383452248147,0,0,0.00441590317298804,0,0,0,0,0,0.013733742106696,0,0
