,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0.0968913451326003,0,-0.0260838759681479,0.281233575222178,0,0,0,0,0,0,0,0,0,0,0,0.104911160045971,0.111883746220619,0,0,-0.0106636971863255,0,0,0,-0.0101285919582074,-0.0482236152679792,0,0.0188837985023145,0.00235436354008158,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.32109789915765,0,0,0.170659663530308,0.0980644477303819,0,0,0,0,0,0,0,0,0,0,0,0.0273824156743476,0,0,0.0171232632861477,-0.0130777950406622,-0.000676231553898361,0
X601318.CH.EQUITY,0,0,0,0.221556082484423,0,0,0,0,0,0,0,0,0.106038987664129,0,0,0,0,0.135239572390185,0.12334816286916,0.0372844443878415,-0.0425158580022848,0,0.192124370520329,0,0,0,0,0.0247299856357322,-0.00427632343422752,0.0103655277602177,0
X2318.HK.EQUITY,-0.377992096670636,0,0.603826877080126,0,0,0,0,0.0301430347314078,0,0,0,0,0,0.0827518545526973,0,0,0,0,0,0,0,0,0,0,0.236570919407319,-1.73472347597681e-18,0,-0.00805224550864704,-0.00409485809499308,0,0
X601939.CH.EQUITY,0.251642602735107,0,0,0,0,0,0,0.0381859207132992,0,0,0,0,0,0,0,0,0,0,0.0196377161150503,0.128783425197575,0,0,0.0983391046728843,0,0,0.0234585076000206,0,-0.00119823071583609,0,0,0
X939.HK.EQUITY,0,0.131101131495113,0,0,0,0,0,0,0,0,0,0.144991419572586,0,0,0,0.210117878915557,0,0.0169557944950468,0.0611251964089034,0.105965199261953,0,0,0,0,0,-0.0363548751483396,0,4.33680868994202e-19,0.019696342880103,0,0
X601288.CH.EQUITY,-8.67361737988404e-19,0.0546828175798205,0,0,0.0626689728622758,0,0,0.0154149451882774,0,0.221714636506607,0,0,0,0.0229216230248235,0,0,0,0,0.147707903071045,-0.00934958195195558,0,0,0,0,0,-0.0347486430025422,0,0.00183536882326565,0.0011868866402384,0,0
X5.HK.EQUITY,0,0,-0.212636506467835,0,0,0,0,0,0,0,0.700999036069376,-0.00621659779170141,0,0,0,0,0,0,0,-0.0239508849092661,0,0.0647994672435167,0,0,0,0.0694265476358894,-0.105467020956487,-0.0235199234761907,0,0,-4.33680868994202e-19
X3988.HK.EQUITY,0,0.2825125260248,0,0,0,0.267447023309898,0,0,0,0,0,0,0,0.0299533742231231,0,0,0,0,0,0,0.0515684264939681,0.0379921197090788,0,0,0,0,0,-0.00603152659515105,-0.00238295068621211,0.0168718848716839,0
X601988.CH.EQUITY,0.0705084462990678,0,0,0,0,0,0,0.0234694600664142,0,0,0,0,0,0.139656654576493,0.109925982323133,0,0,0.00335447785942523,0.0401273321233784,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.011401567347143,0,-0.00223095222300357,0
