,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.0775362605164225,0.0584795941716952,0,0,0,0,0,0,0,0,0,0,0.0121370873550114,0.191012299418406,1.73472347597681e-18,0.0331280369872634,0,0,0,0,0,-0.0284764462710153,0,0.0202584882266259,0.00199729118110894,0.0132394037042279,0
X1398.HK.EQUITY,0,0,0,0,0,0.363563239946691,0,0,0.209337237874622,0,0,0.170402698241406,0.0629803569388365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00783099146453468,0.00526033855144179,-0.0226214279104769,0
X2318.HK.EQUITY,0,0,0,0.0744707150635569,0,0,0,0,0,0,0.0440751023106068,0,0,0,0,0,0,0,0,0,0,0.261807524397574,0,0,0.2971727976119,0,0,0,-0.0247506115096482,0,0
X601318.CH.EQUITY,0,0,0.196348739821165,0,0,0,0,0,0,0,0.0478560880402661,0,0,0.102844795851075,0,0,0.0213686015242591,0,0.0761846644373167,0.130317418493481,0,0.124654842248307,0,0,0,0,0,0.0246122649835651,0.00352082877855107,0,0
X601939.CH.EQUITY,0.14373284638932,0,0,0,0,0,0,0,0,0,0,0,0,0.13591798378944,0,0,0,0,0,0.104380155657572,0,0,0,0,0,0,0,0,-0.0208267246019177,-0.004711038349661,-0.0163785425672477
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0419738537595413,0.266828179142769,0,0,0,0,0,0,0.0525220123876719,0.00596656371840294,0,0.116780215302687,0,0,0,0,-0.000240667540821032,0.0158631842660171,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0603248153049965,0,0,0,0.064814259138009,0,0.124996733580006,0,0,0,0.0323066401131652,0,0,0,0,0.00204477656778537,0.00321036516618811,0.0202296949129167,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.452375200351531,0,0,0,0,0,0,0,0.0356056173627886,-0.0985616213596426,0,0,0,0,0,0.0342795523511725,0,0,0.0374640526907459,0,-0.0996818390793487
X3988.HK.EQUITY,0,0.276610779293874,0,0,0,0.266745090637658,0,0,0,0,0,0,0.0593926434673076,0,0,0,0,0,0,0,0.0379651010888272,0,0.0414492801146098,0,0,-0.0211871340307579,0,-0.00668504213868042,0,0,0
X601988.CH.EQUITY,0.178963931075073,0,0,0,0,0.0117924991087801,0,0,0,0,0,0,0.0184132808362811,0,0.0415693075948893,0,0,0,0.167610934137721,0,0,0,0.0415038027081394,0,0.0225830757082719,-0.0117638956557761,0,0,0,0,0
