,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.636649099733184,0,0,0,0,0,0,0,0,0,0,0.0699565741253087,0,0.0648430509777675,0,0,-0.0250569917489989,0,0,0,0,0,0.00413380561588429,-0.0158061293036461,0.0225718390408778,0
X601398.CH.EQUITY,0,0,0,3.46944695195361e-18,0.21456428457741,0,0,0,0,0,0.0338272507885205,0,0,-3.46944695195361e-18,0,0,0.0555122528571864,0,0,0,0,0.0276033494539891,0,0.0848196940006834,0,0.0218625641464909,-8.67361737988404e-19,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.481356033542183,0,0,0,0,0,0,0,0,0.098019725300584,0,0.0510684738661824,0,0,0,0,0,0,0.0861019015590168,8.67361737988404e-19,0,0,0.0412906666515348,0,-0.0102859593100974,-0.0275374285920088,-0.0480360775253124,0
X601318.CH.EQUITY,0,0,0.303025439981449,0,0,0,0,0,0,0,0,0,0,0.20996067118284,0,0,0.0730248262364664,0,0,0,0,0.165648205148023,0,0.149559619607649,0.0368826744162444,0,0,-0.0290916126628295,4.33680868994202e-19,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.656751240149977,0,0,0,0,0,0,0.0529852331977775,0,0,0.202867149736115,0,0.0359080293240717,0,0,0,0,0,0,0.0269349617108555,-0.00955597759022996,0,0.00380628566570459,0,0
X939.HK.EQUITY,0.663561419836175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0356658353003883,0,0,0,0.0579616996464447,0,0.0777713646765628,0,0,0,0.00332565217316082,0,0
X601288.CH.EQUITY,0,0,0,0,0.459198877878482,0,0,0,0,0,0,0,0,0.022156950631964,0,0,0.0108485518011759,0,-0.0190021798944556,0,0.0125340518928588,0.0174466789424767,0,0,0,0,-0.0351273758520656,-0.022542097367769,-0.00121122278364935,0,0.00935070947040115
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0194935430347967,0,0,0.118159120643515,0.128004673348181,0,0.144689012900383,0,0,0.0206260535211025,0,0,0,0,0.0176685645933707,0,0,0,0,0.00615684144056192,8.67361737988404e-19,0.0266318879755018,-0.0145878614509511
X601988.CH.EQUITY,0,0,0,0.0374851517550487,0,0,0,0,0,0,0,0.0768962976439708,0,0.0643599890247679,0,0,0.0482983891843754,0,0.0614466988972912,0,0,0.0555292484985283,0.166243414289958,0.00546846050555948,0,0,-0.0413664717616876,0,0,0,0
X3988.HK.EQUITY,0,0,0,0.151834697192869,0,0.177494800308971,0,0,0,0,0,0,0,0,0,0,0,0,-0.00375878369131786,0,0,0,0,0,0.0286419035116572,0,0,-0.0202393392617578,0,0.0510722592748756,0
