,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0361129127627961,0,0,0.616839086431509,0,0,0.0431507996011431,0,0,0.166902570059905,0,0,0.0127594249711888,-0.111680181952259,0,0,0,0,0,0,0,-0.0413482231173504,0,0,0,0,0.00983471552662021,0.0184399062101576,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0577116719554557,0,0.299593258205333,0,0,0,0,-0.0730499655167294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141553805207608,-0.00166585407416878,0
X2318.HK.EQUITY,0.00105101619710775,0,0,0,0,0,0,0,0,0,0.0957189441711834,0.0656314454286895,0.177706689456643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011643071812209,-0.000486117336706437,0.0163364078339767,-0.0197922433772531
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.361110903068661,6.93889390390723e-18,0,0,0,-0.00780506821721055,0,0,0,0,0.0847992579172395,0,0,0,0,0.191814339800134,0.014840482577907,0,0,-0.0158289899093764,0,0
X939.HK.EQUITY,0.43217978874749,0,0,0,0,0,0,0,0,0,0,0,0.193916868664341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159147251354757,0.00136231503355582,0.00160307594548791,-0.0293114020725534
X601939.CH.EQUITY,0,0,0,0,0,0,0.964133285443315,0,0,0.0275761621425286,0,0.0697497800935357,0,0,0,0,0,0,0.041967474717498,0,0,0,0,0,0,0,0,0,-0.00456303644087576,0.00129759112225999,0
X601288.CH.EQUITY,0,0,0,0,0,0.764005726689069,0,0,0,0,0,-0.0599539625496507,0,0,0,0,0,0,0,0,0,0,0.118245584835358,0,0,2.16840434497101e-19,0,0.00830080005038729,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.116376545246372,-0.0290036626677101,0,0.157530802765323,0,0,0.116243776510523,0,0,0.0220122327224189,0,0,0.016375048079152,0,0,0,0.0471123359547032,0,-0.0222947540622738,0.0113273225271543,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0585518220394877,0,0,0,0,0,0,0.700254021480297,0,0,0,0,0,0,0,0,0.0208608262993749,-0.0191262104000263,0.0174911621026981,-0.0340622800192671
X600036.CH.EQUITY,0,0,0,0,0,0.472371717356749,0,0,0,0,0,0,0.0844704780306413,0.0129052826570206,0,0,0,0,0,0,0.0737879650242067,0,0,0.0328701680269828,0.129505363934789,-0.0257552460148608,0,0,0.00694490014489483,0,0.0434679130921365
X2628.HK.EQUITY,0,0,0,0,0,0.0835655019993357,0,0.309337201076297,0,0,0,0.33464959240802,0.241722273322026,0.103039660519606,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.0385893967179795,0.0766797304896812,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107941838808032,0,0,0,0,0.843625180349607,0,0,0,0.238610942745684,0,0,0,0,0,0,0.092574055041743,0,0.0211554328006709,-0.0830287961580196,0
X1299.HK.EQUITY,0,-0.168767677069737,0.165015771806703,0.177257709690195,0.0518587086211296,0,0,0,0,0,0.0286251753295149,0,0,0.733444910789809,0.14255248817986,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551636070110496,0.0452597240727159,0.0464420134650446,0.0480869390735697
X5.HK.EQUITY,0,0,0,0,0.14826398931523,0,0,0,0,-3.46944695195361e-18,-0.0137094510964384,-0.131476616890413,0.441042004763331,0,0,0,0,0,0,0,0,0.346582571038739,0,0,0,0.114622809903496,0,-0.0800943599379564,0.0148473112389588,0.0927333293559642,0.174577209122181
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.139564299801002,0.303064425777669,0,0.0828621725719162,0,-0.105593472104813,0,0,0,0,0,0,-0.117070312594155,-0.100926591620796,0,-0.0176784097950774,0.17796507733818,-0.0703956872959875,-0.0452151647149142,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.141591713809205,0.129266450050904,0,0,0.0658292713449807,0,0,0,0,0.398747329043536,0,0,0.254241903452736,0,0,0.0264863587274873,0,0.0349400129027887,-0.0303797050742468,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0.0328604144763986,0,0,0,-0.0350698687547602,0.252378055829351,0,0,0,0,0,0.0343916155300997,0,0,0,0,0,0,0,0,-0.0319958929917223,-0.0211214436435738,0.0299674046567898,-0.00164904354009084
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.215920295890623,0.00201664448942609,0,0,0,0,0.0221081455053869,0,0,0,0,0.110059734068008,0,0.0236586941523536,0,0,0,0,0.0194091888667119,0,0,-0.0219661319564494
X601166.CH.EQUITY,0,0,0,0,0,0.0344689271092716,0,0,0.79287871616205,0,1.73472347597681e-18,0.0368779462789329,0,0,0,0,0,0,0,0,0.0199922944430262,0,0,0.100880166959645,0,0,0,0,0.00450154616301363,0.000474891892930384,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.170253148873218,0,0,0.0325082338672921,0,0,0,0.00678963204297716,0.92318001976035,0,0,0,0,0,-0.122209599359356,0,0,0,0,0.0681030691968921,0,-0.019949064258237,0.0232434649684499,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.264717372920357,0,0.0743020980465477,-0.136296547736449,0,0,0,0,0.073893886596614,0.202198169177393,0,0,0,0,0.246840430763414,0,0,0,-0.0265382651644427,-0.0173201411393521,0.0140599523092297,0
X000002.CH.EQUITY,0,0,0,0,0,0.0913444229707741,0,0,0,0,0.103772166872573,0,0,0,0,0,0,0,0.101559809291721,0,0,0,0.174598306147217,0,0,0.00517998038931046,0,0.000793113416209098,0.0091896054572005,0,-0.0155576713492144
X601319.CH.EQUITY,0,0,0,0,0,-2.77555756156289e-17,0.17281182283636,0.00918099049572685,0,0,0.180789653760613,0,0,0,0,0,0,0,0,0.102019687308998,0,0,0,0,0.50204648762419,0,0,0.0601740569240296,-0.0316328616794823,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.177721961469319,0.147317096382785,0.0148275548350541,0,0.00609399626784137,0,0,0,0,0.185847283023701,0,0.115289906758304,0,0,0,0,0,0,-0.0329492008635959,-0.0139192141458945,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.487451223501713,0.0804526051433116,0,0.0982510917942673,0,0,0,0,0,0,0,0,0.192192580309095,0,0,0,0,0,0.0386901909930151,0.0897594138801224,-0.0350571865810414
CGB3M,0,0,0,0,0,0,0,0,0.356412694335691,0,0.138169744679256,0,0,0.373264318639609,-0.285554472966219,0,0,0,0,0.194760736311429,0,0,0,0,0,0,0,-0.0391957552978174,0.0148152068784389,-0.810770920673822,-0.360655189886644
FXI.US.EQUITY,0,0,0,0,0,0,0,0.132595676861832,0,0,0.0822165986716647,0,0,0,0,0,0,0,0,0.0730932567403246,0,0,0.0357963764186415,0,0,0,0,-0.122158069728955,-8.67361737988404e-19,0.0309711741306517,0
VXFXI.INDEX,0,0,0,0,0,0,0,0.20962647351434,0.105096479513616,-0.757051268852635,0,0,0,0,0,0,-0.573848256746187,0,0,0,0,0.712943826143977,0,0,0.634818216665734,1.38777878078145e-17,-2.67286103462191,0,-0.0206388519278788,0,0
TED.SP,0,-1.07127367256801,-0.606048146025403,0,0,2.76451760161147,0,0,0,0,0,0,-2.70967217899414,2.81400580748425,0,0,0,0,0,0,0,-0.403284164505369,-0.547684465731866,0,1.86334937595103,-0.573981965975464,-2.08702403124475,0.0836667833135223,0,0,-5.55111512312578e-17
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190668100453893,0,0,0,0,0.170144158569171,0,0,0,0,0,-0.973695775430665,0,-0.0275413485981709,1.73472347597681e-18,0,-0.629629270340532
CREDIT.SP,0,0,0,0.12897290686483,0,0,0,0,0,0.156256219925456,0,0,0,0,-0.28456430513651,0,0,0,0,0.0211320510609401,0,0,0,0,0,-0.848140046411986,0,0,0,-0.829050202690639,0
