,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.171442570358394,0.0119373558200619,0,0,0,0,0,0,0.234072324851761,0,-6.93889390390723e-18,0,0.00261797868903844,0.00141169673546637,0,0.0024991040852833,0.00119168788024168,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.58818299117282,0,0,0,0,0,0,0,0.0995775792652563,0,0,0,0.0163245366005057,0,0,0.0520292025430642,0,0,0,-1.73472347597681e-18,0.0152982622948308,0,0.0046490294695448,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311845357087048,0,0,0,0.115151370188426,0,0,0,0,0,0,0.110892936951015,0.0723159467120082,0,-5.35795481674734e-05,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.189350118501027,0.055448038981214,0,0,0,0,0,0,0.34486127272872,0,0,0,0.0358030466514937,0.0396614598657921,0,0.00586567950163844,0.00930498855339747,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0582089246682805,0.0194683705464911,0,0,0,0,0,0,0.434944397030189,0,0,0,0,0.025940246835226,0,-0.00897585350167369,-0.0041389061724393,0,0
X939.HK.EQUITY,0,0.628946188941234,0,0,0,0,0,0,0,0,0,0,0,0.0599255167099574,0,0.205715624509688,0,0,0,0,0,0,0,0,0,0.0186221586555641,0,-0.00452066033967152,-0.000613367430692082,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0527047727134876,0,0,0,0,0,0,0,0,0,0,0,0.15037022755171,0.0842778622637013,0,0,-0.00718753316889337,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0441887918203876,0.00413785141648814,0,0,0,0,0.205720775488006,0,0,0,0.0982017241598618,0,0,0,0,0,0.0188753456248361,-0.00505016842354897,0,-0.0470003040906921
X3988.HK.EQUITY,0,0.156450711856871,0,0,0,0.243825298999361,0,0,0,0,0,0,0.149901599508505,0,0,0,0,0,0,0,0,0,0.00393208468240874,0.158621280128731,0,0,0,0.00243162364336266,-0.00767188363092798,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0781209824743182,0.041666601708023,0,0,0,0,0.0320291724455467,0,0,0,0,0.0428216965860635,0.0949998449834589,0.0389732633618573,0,0.00430647279123568,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219428183342256,0,0,0.037418340997219,0,0,0.224015494748123,0,0,0,0.0673435002709184,-5.42101086242752e-20,0,0.00773610944785373,0.00173572824904277,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0852728200658469,0,0,0,0,0,0,0,0.117165823044747,0,0,0,0,0,0,0,0,0,0.235340392287769,0,0.0217362094854102,0,-0.00715007622958173,0.0221175902155483,0,0
X601628.CH.EQUITY,0,0,-0.320985264544347,0.485430018403384,0,0,0,0,0,0,0,0,0,0.364796336176743,0.0104886668404149,0,0,0,0,0,0,0,0,0.297653758367357,0.0936772113994549,0,0,0.0216718985695717,0.00544783633451064,0.017872165800205,0
X2628.HK.EQUITY,0,0,0,0,0,0.16946278716215,0,0,0,0,0,0,0.371264326954557,0,0,0,0,0,0,0,0,0.236412069958031,0,0,0.230701772059191,0,0,-0.00354130451892796,-0.0387382848322759,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.089450188942827,0,0,0,0,0,0,0,0,0,0,0,0.126345781918481,0.215994508104188,0,0.0146277284736788,0,0,0
X3328.HK.EQUITY,0,0.178099682883717,0,0,0,0.160399610666143,0,0,0,0,0,0.185929488823956,0,0.0450338831951537,0,0,0,0,0,0,0.128157922220308,0,0,0.058138206099092,3.46944695195361e-18,0,0,0.00781625695367271,0.00148408344470293,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129215914277498,0,0,0,0,0,0,0.142374635834704,0,0,0,0.0996306973748329,0.0698686709343549,0,0.00719662330051466,-0.00683842088615905,0,0
X000002.CH.EQUITY,0,0,0.270300206111039,0,0,0,0,0,0,0,0,0,0,0.148687961674748,0,0,0,0,0,0,0,0,0,0.232657069846477,0,0,0,-0.00145174388050209,-0.0231597277551,0.00436340464452791,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171593843231385,0,0,0,0,0,0,0.112970572692607,0,0,0.114952263040343,0.179141770458611,0.141890878468403,0,0.0146273380106487,-0.00788736287622391,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.180614405554356,0,0,0,0,0,0,0,0,0,0,0.166915963998009,0,0.0291636798153662,0,0.00366919831333084,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.132917782079096,0.241816609999708,0.228013477603305,0,0,0,0,0,0,0,0.237126879002697,0,0.0343154787400967,0.0528664173254807,0,0,0,0,0
X16.HK.EQUITY,0,0,0.0966284190022074,0,0,0.102822004792431,0,0,0,0,0,0,0.0102329212392587,0.383246391122563,0,0,0,0.128537174796454,0,0,0,0,0,0,0.0796478281558217,0,-0.0234129791313133,0,0.0097660964592375,0.0434813914875591,0.107662164519841
X601319.CH.EQUITY,0,0,0,0,0,-0.171386139476381,0,0,0,0,0,0,0,0.0760856262278767,0,0,0,0,0,0,0,0,0,0,0.363790384846745,0.324094054046321,0,0.00899608279213067,0.0562247501277251,0.118648549401568,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.0548722166936962,0,0,0,0.250833603616029,0,0,0,0,0,0,0,0,0.322450613508232,0.280287825000877,0,0,0,0,0,-0.00219168860059218,0.0179519557709167,-0.0422159723993587
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483633131886778,0,0,0,0,0,0,0.0784104566438546,0.139123763135867,0.0622245793581414,0,0,0.138811489124971,0,0,-0.00979565809990301,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22242692648986,0,0,0,0,0.883543436372486,0,0,0,0.151163053016689,0,0,0,0,0,-0.0424655471046348,-0.734340336735535,-0.219971221345778
FXI.US.EQUITY,0,0,0,0,0,0.238853179568871,0,0,0,0,0,0,-0.0939820174806238,0,0,0,0,0,0,0,0,0,-0.207698266831309,0,0,0,0,-0.21090013504723,0.0206950692964383,0,-0.0511070143673277
VXFXI.INDEX,0,1.36415534483695,0,0,0,0.569890630736334,0,0,0,0,0,0,-0.570505618377843,0,0,0,0,0.191161445757535,0,0,0,0,-0.940167010549989,-0.51301681943993,-0.0864216431036439,0,-4.82506517041809,0,0.0936061013543743,0,-0.203640702594129
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675293406105486,0,0,-0.919953337041593,0,0,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.139709376847181,0,0,0,0,0.333132570048587,0,0,0.191774960223486,0,0.0100096573463623,0,0.203645931038129,-0.792123073966917,0,4.33680868994202e-19,-0.00150772380237189,0,-0.391988099349957
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343499222370013,0,0,0,0,0,0,-0.188093091015663,0.0654390332934855,-0.179524502426355,0,0,-0.464852295078074,0,0.00392103189238581,-0.0670141514304253,-0.542129273571232,0
