,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0200528689573036,0,0,0.611558304647968,0,0,0.0566766985247677,0,0,0.203024071158099,0,0,0,-0.0998015269806998,0,0,0,0,0,0,0,-0.0979522261537472,0,0,0,0,0.0201588588307099,0.0247722315273708,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0513072688078681,0,0.315227027066853,0,-0.0124069297780116,0,0,-0.040768919291007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119906458929915,-0.00376746142468087,0
X2318.HK.EQUITY,0.00468091966519658,0,0,0.0473022576457291,0,0,0,0,0,0,0.0801475480351169,0.0481763215239174,0.178615535797742,0.0268055565275947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101188017492925,-0.00531776352411472,0.0140671559949813,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.362333510944658,0,0,0,0,-0.00775641338539799,0,0,0,0,0,0,0.0847137200886763,0,0,0.191900889943115,0.0148220851006166,0,0,-0.0158304716668658,0,0
X939.HK.EQUITY,0.480814783006624,0,0,0,0,0,0,0,0,0,0,0,0.162809150577669,0,0.00894020868787164,0,0,0.0299339851697756,0,0,0,0,0,0,0,0,0,-0.0115606752623467,0.00285415658796112,0.00406737327900629,-0.037420612167642
X601939.CH.EQUITY,0,0,0,0,0,0,0.911217047139055,0,0,0.0565432988192315,0.0129368746449212,0.0713139092660419,0,0,0,0,0.0413972376646878,0,0,0,0,0,0,0,0,0,0,0,0,0.00444682208543454,0
X601288.CH.EQUITY,0,0,0,0,0,0.762919846389055,0,0,0,0,0,-0.064188376848584,0,0,0,0,0,0,0,0,0,0.00445933172722961,0.120998619968637,0,0,-2.16840434497101e-19,0,0.00719248128426584,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.115668794034352,-0.0347721101140215,0,0.160957984784486,0,0,0,0.119171147268647,0,0,0,0.0182970198644824,0.0297818180484343,0,0,-1.0842021724855e-19,0.0568088557650242,0,-0.022102634335564,0.0107805280146858,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.058553138553753,0,0,0,0,0.700256963640964,0,0,0,0,0,0,0,0,0,0,0.0208615625187016,-0.0191256468196556,0.0174914479221291,-0.0340618694799681
X600036.CH.EQUITY,0,0,0,0,0,0.466881437639863,0,0,0,0,0,-8.67361737988404e-19,0.0958704181869518,0.0033599686559433,0,0,0,0,0.017587962108179,0,0.0696091904989409,0,0,0.108430131914106,0.102759684017325,-0.0302391390582064,0,0,0.00832214057992991,0,0.0656169633644948
