,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.00839165004258496,0,0,0,0,0.297238556395468,0,0.060335309961507,0,0,-0.126882042887594,0,0.0155810374127513,0,0,0,0,0,0,0,0,0,0,0,0.00992821219390791,0,0
X1398.HK.EQUITY,0.0211137095605582,0,0,0,0,0.564581234679674,0.143653608160411,0,0,0,0,0.024304078355961,0,0.0160374663485526,-0.133361717878355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119555035646279,0.00125601363664778,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.095614316979581,0,0,0.284912662642354,0,0,0,0,-0.0404016227509594,0,0.100424113059546,0,0,0,0,0,0,0,0,0,0,0,-0.00665941929004619,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.079466253369759,0.0687494193794471,0,0,0,0,0.157713365179777,0.0717632360526044,0,0,0,0.0275993005802663,0,0,0,0,0,0,0,0,0,0.00290787419844766,-0.00410241649470495,0.0048164352060581,-0.00593396198101333
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0492880972813878,0.949175481002785,0,0,0,0,0,0,0,0,0.0418357353243203,0,0,0,0,0.0421029231543167,0,0,0,0,0.00416136078498481,-0.00652783961022526,0.00810862820968547,0
X939.HK.EQUITY,0,0.0853678638436947,0,0,0,0,0,0,0,0,0,0,0.233979996704433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173398750050087,-0.00446172156251535,0.00227159055877212,-0.0510584099469729
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.237263176380223,0,0,0,0.216567223904398,0.04240842523994,0.0601798696727682,0.109301822045817,0,0.0562009552154063,0,0,0,0,0,0,0,0.00379755506309476,0,0,0,-0.00599412853008305,0.0918659072198911,-0.176398704807146
X601628.CH.EQUITY,0,0,0,0,0,0,0.627709326973444,0,0,0,0,0,0,-0.0729300375875146,0,0.376518613017382,0.247456161544515,0,0,0,0,0,0.30529405449196,0,0,-0.0264478681413704,0,-0.08371783906936,0.0187578689282305,-0.0864134774814813,0.0430066402870373
X601288.CH.EQUITY,0,0,0,0,0.77368525463869,0,0,-0.0606374604132384,0,0,0,0,0,-0.00844357152729343,0,0,0.0108708346623836,0,0,0,0,0,0.121020947657343,0,0,0,0,0,0.000911492136381124,-0.00578127092114288,0
X600036.CH.EQUITY,0,0,0,0,0.428842669665193,0,0,0.0260641021709074,0,0,0,0,0.0353981121703217,0.00829022891711335,0,0,0,0,0,0,0,0,0,0.0866805851087798,0.0729276595286099,-0.0360193958710823,0,0,0.0101144999024432,0,0
