,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0.0479796993900823,0,0,0.249109986908097,0,0.0464867654266893,0,0,-0.0948941670218431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877853635040584,0.00435782930301412,0
X1398.HK.EQUITY,0,0,0,0,0,0.247135941855316,0,0.0991632111896185,0,0,0,0,0,0,0,0,0.0425594131163363,0,0,0,0,0,0,0,0,0,0,0,0.00317030017559932,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0800633577475197,0.300301465434941,0,0,0,0,-0.0484383186637356,0,0.0953173812530529,0,0,0,0,0,0,0,0,0,0,0,-0.0056095643690303,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0.147356374724004,0,0,0,0.10988381297132,0.0375746183039052,0,0,0,0,0,0,0,0,0,0,0,0.00171322515496421,0,0,-0.00180895542190668,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.949010272123466,0.0528136148491254,0,0,0,0,0,0,0,0,0,0.0408221203162044,0,0,0,0,0,0.0366018924144708,0,0,0,0.00441504827757458,-0.00637060019399533,0.00910371544195538,0
X939.HK.EQUITY,0,0.266897099752303,0,0,0,0,0,0,0,0,0,0,0.139690238429278,0,0,0,0.0653075818067868,0,0,0,0,0,0,0,-0.0282482003417899,0,0,-0.0179187211129709,0,0.00477505595388187,-0.00183241907289456
X601288.CH.EQUITY,0,0,0,0,0.770320681369066,0,0,-0.0258697551928384,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801654296192645,0,0,0,0,0.00591422744466101,-0.00263849377896397,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.569834004965338,0,0,0,0,0,0,0.514513784063642,0.0325753162965655,0,0,0,0,0,0,0,0.284132387360776,0,0,-0.20426713888749,0.0333839951391419,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.258449887577791,0,0,0,0.214196541866279,0,0,0.2053688638772,0,0.0929764221337026,0,0,0,0,0,0,0,0.0101366707402795,0,0,0,-0.00855615428581466,0.0978788680650137,-0.0400701796068009
X600036.CH.EQUITY,0,0,0,0,0.483132274314248,0,0,0,0.0313621057434633,0,0,0,0.0738342959905868,0,0,0,0,0,0,0,0,0.0644642406109146,0.0433557869928711,-2.71050543121376e-20,0,-0.0125695741284419,0,0,0.00663036034078891,0.0212896851277943,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0495109607683337,0,0,0,0,-0.0284961361696998,0,0,0,0.821005942546456,0,0,0,0,0,-0.151302638483563,0,0,0,0.0233192640968085,-0.00398909311579313,0.0147751422496423,-0.0648826487759577
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.0764608155636813,0,0,0,0,0.149876876995797,0,0,0,0,0,0,0,0,0,0.130536557901295,0,0,0,0,0,0.0134587690378945,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.24290439828113,0,0,0,0,0,0.462223586091237,0,0,0.0140101655824657,0,0,0,0,0,0,0,-0.111828678696783,0.0552091331695628,0,0,-0.00259336285200256,0,0
X5.HK.EQUITY,0,0.0653337593061986,0,0,0,0,0,0,-0.177564073235228,0.221308465975772,0,0,0.297582715384579,0,0,0,0.0463297275727509,0,0,0,0,0,0,0,0.067930078151559,-1.38777878078145e-17,0,-0.0402156584705229,-0.00353238672625426,0.0894281859237444,0.0593209066395082
X388.HK.EQUITY,0,0,0,0,0,0,0,0.184606837890458,0.0269042567432108,0,0,0,0.143162886749276,0.0664992574617368,0,0,0,0,0,0,0,-0.131579071116849,0,-0.0360193142397599,0,0,0.307315981230907,-0.139257460889317,-0.0395681125432513,0.046774580457051,0
X600030.CH.EQUITY,0,-0.0680172530715009,0,0,0,0,0,0.193253316408418,0.209878190814794,0,0,0,0,-0.041662122285399,0,0,0.475417233512017,0,0,0,0,0,0.192921462744134,0.073953108232454,0,0.0574063214154132,0,0.0657678514418115,-0.0152024395323897,0,-0.00571968246106468
X601066.CH.EQUITY,0,0,0,0,0,0.144190555194589,0,-0.0282550532454933,0.115445252658585,0,0,0.0753360784314903,0,0,0.0908855219240849,0.886000173216553,0,0,0,0,0,0,0,0,0,0,0,-0.0118889645559345,-0.0310502124354606,0.0072252225121604,0
X601166.CH.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0.0461267845187685,0,-1.0842021724855e-19,0.760813049107876,0,0,0,0,0,0,0,0,0,0,0,0.224074691055585,0,0,0.00752018206568563,0,-0.00503919277014001,0.00526237897268265,0,-0.00943009668955806
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0936973379826908,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.256304718684464,-3.46944695195361e-18,0.138604623234482,0,0.00680675776024746,0,0.0125035923396823,0.00856191417605634,0,-0.0208714689866368
X3328.HK.EQUITY,0,0,0,0,0,0,0,-0.0397700609244995,0,0,0.0868198206206414,0.0564143070337357,0.176964403853524,0,-0.0587169044752936,0,0.021250743376023,0,0,0,0,0,0,0.0336712976784496,0,0,0,-0.0825104612112231,0,0.00552347726923942,-0.0683966696675251
