,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0644051712119467,0,0,0,0,0,0,0,0,0,0.139749160603585,0,0,0,0,0.114760146018543,0,0,0,0,0,0.0912643242142295,0,0.0113779336027337,0,0.00887461721278798,-0.00062430705067874,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0588420397858101,0,0.375432105524705,0,0,0,0,0,0,0,0,0,0,0,0.0606691740658788,0,-0.00308945162712414,0,0,-0.00269814199523119
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679861187868009,0.354438960474388,0.0223345166174131,0,0,0,0,0.0884693368165309,0,0.00928805928297797,0,0.0172017526014099,0,0,0
X939.HK.EQUITY,0,0.109108140161405,0,0,0,0,0,0,0,0,0,0,0,0.163482264016125,0,0,0,0.127949006023802,0,0,0,0,0.106715230429726,0.0697474775847934,0,0.0400476832160609,0,-0.0090201771474663,0.0108966916117782,0,-0.0565650942800463
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.337599613164386,0.15056610696484,0,0,0,0,0,0,0,0.130658674016602,0,-1.38777878078145e-17,0,8.67361737988404e-19,0,0.0125240632627602,0.00373661509567955,0,-0.100242305522321
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329900618948045,0,0,0,0,0,0,0.113678578236777,0.0257896695354653,0.0547955613827316,0.156226714326446,0,0,0,0,-0.00223984416095058,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114991210247712,0,0.162913846163592,0,0.0512344474368789,0,0.00808149637008287,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579892342896943,0,0,0.117436697237799,0,0.105599727826566,0,0.080520430783536,0,0.00755323579074321,0.00968873306547367,0.0416333623008079,-0.0113149459159144
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.161440993189004,0,0,0,0,0,0,0,0,0,0,0.15795132133184,0.100488722650457,0.0430931467429754,0,0.0442519862882762,0,0,0.00962977448540317,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.185286777237875,0,0,0.173390021359356,0,0,0.249168320919818,0,0.057239670727248,0,0,0,0,0.0305092056726951,0,0,0.0625158992285813,-1.0842021724855e-19,0.0167174442905095,-0.00304977376451597,0
