,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.360963349553277,0,0,0,0,0.0236920827976305,0.208444775651089,0.0993223630004955,0.00570434133218965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00697950742797694,0,-0.0344000287225119,0
X601398.CH.EQUITY,0.0951180010974132,0,0,0,0.258199095718948,0,0,0,0,0,0,0,0,0,0.110773980077643,0,0,0.114875386301858,0,0,0,-0.0133462713874915,0,0,-0.0196349552251067,-0.0468570589901332,0,0.0185221828196681,0.00356766774671928,0,0
X601318.CH.EQUITY,0,0,0,0.220432905782457,0,0,0,0,0,0,0,0,0,0.0861946839531562,0,0,0,0.13478405920195,0.113835977850039,0.0378852434766528,0,-0.0341919577644157,0.229109138173807,0,-0.0102199599691606,0,0,0.0245666188011199,0,0.00796346490450256,0
X2318.HK.EQUITY,0,0,0.424335310136575,0,0,0,0,0.0198033522177961,0,0,0,0.0116841129871489,0,0,0,0.0764274618522136,0,0,0,0,0,0,0,0,0.266426202960975,-0.0333825065776031,0,-0.0070835551441502,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0571815552082817,0,0,0,0,0.180154919418629,0,0.10761315730825,0,0.011021005978667,0.0135061606008439,0,8.67361737988404e-19,0.0240846035689341,0,0,0,0,-0.0162208578644695
X939.HK.EQUITY,0.19759129717236,0,0,0.0333651996452606,0,0,0,0,0,0,0,0.105432565643609,0.112331581880547,0,0,0,0,0,0.0390207909920324,0.0826529897351005,0,0.0572318619286849,0,0,0,0,0,0.00101346780197778,0.0202478698995822,0.00813270905341448,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.083368491536475,0,0,0,0,0.0744933270463231,0.0720339637351095,0,0,0.0196579249834168,0,0,0,-0.0122365464165903,0,0.0010883289358016,0.00750269901547021,0.0120093375360109,0
X5.HK.EQUITY,0,0,-0.0604270807562656,0,0,0,0,0,0,0,0.637052623980213,-0.0837367807996442,0,0,0,0,0,0,0,-0.0621790907900521,0.102608520614856,0,0,0.0297316938917405,0,0.0991221415704683,0,-0.0162761903879405,0.00941200628841794,0,0
X3988.HK.EQUITY,0.272850983343885,0,0,0,0,0.272241016015459,0,0,0,0,0,0,0.0267042922026538,0,0,0,0,0,0,0,0.0459146139415636,0.0438729870084662,0,0,0,0,0,-0.00706898243914667,0,0.0159752930154272,0
X601988.CH.EQUITY,0,0.135107843562849,0,0,0,0.104110782159035,0,0.000818216854397728,0,0,0,0,0.0889605716807682,0,0,0,0.0962087079614086,0,0.0284693467297778,0,0,0,0,0,0,0,0,-0.00817725881903351,-0.00680644234066753,0,0
X600036.CH.EQUITY,0,0,0.396228806857722,0,0,0,0,0.0363031104152971,0,0,0,0,0,0.108238424812425,0,0,0,0.224446865735165,0,0,0,0.0767048213577201,0,0,0,0,0,0.0261190472506063,0.0317985031064602,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21004894345667,0,0,0,0,0,0.186738889835905,0,0.269806259924702,0,0,0,0.0355100326110095,0.00300305618613945,0.110077679321592,-0.0377227900574226
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163117416958415,0,0,0.428235259563274,0,0,0.00762574218730317,0,0.268289799532223,0.232993087747589,0,0,-0.00666411723887511,0.00233121520840781,0.0196895997083696,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.166997049522134,0,0,0,0.0115848877680797,0,0,0,0,0,0,0.0334388978616598,0,0,0,0.272963128406265,0,0,0,0,0.0286079797455323,0.0240972895927929,0.0225339538310563,0
X601328.CH.EQUITY,0,0,0,0,0,0.095478387526196,0,0.0882311532908973,0,0,0,0,0,0,0,0,0,0.138207044848484,0.155035262328915,0.0826633996066496,0,0,0,0,0.016020144283792,0,0,-0.00274564724300933,0,-4.33680868994202e-19,0
X3328.HK.EQUITY,0,0,0,0,0,0.0691680306221159,0,0,0,0,0,0,0.0395939453771957,0,0,0,0.0355292809796637,0,0.102537884845164,0,0,0,0.0823977505217074,0.18003779075694,0.0620542388661641,0.0944588381106975,0,0,-0.0210056685203122,0,0
X601166.CH.EQUITY,0,0,0.215240008500749,0,0,0,0,0,0,0,0,0,0,0.125511678325065,0,0,0,0,0,0.137228336669562,0,0,0.255888663148632,0,0,0,0,-0.0269754383935155,0.0295730055518826,-0.0634851174555693,0
X600000.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.244238063518159,0,0,0,0,0,0.440594500132544,0,0,0.0729025108933534,0,0,0.0971716781925977,0,0,0,0,0.00839799283412321,-0.0419534966011336,0,0.0286371607160657
X601319.CH.EQUITY,0,0,0.283735860790766,0,0,0,0,0,0,0,0,0.220867825111157,0.234235413863657,3.46944695195361e-18,0,0,0,0,0,-3.46944695195361e-18,0,0.0129747042516872,0,0,0,0,0,0.0224404560776753,-0.0373584710868032,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475596521689404,0,0.557974707520395,0,0.180273265284245,0,-0.111381330599684,0,0,0,0,-0.0499279784942838,0.0472140922860954,-0.233699983143698,-0.113141750973633
X000002.CH.EQUITY,0,0,-0.136997999418993,0,0,0,0,0.233958369086265,0,0,0,0,0,0,0,0,0,0,0,0.308369342953058,0,-0.342486412303026,0.462203584021524,0,0,0,0,-0.0289523355121512,-0.0249600611005749,0.065190730755127,0
X16.HK.EQUITY,0.0649494414747422,0,0,0,0,0,0.260753590609944,0,0,0,0,0.282955860816902,0,0,0,0,0,0.171529671882408,0,-0.0888268826173872,0,0,-0.0100124667651219,0.375192574407556,0,0.209315898244271,0,-0.0403323437089447,0.0258007556181888,0.174862560511373,0
X601601.CH.EQUITY,-2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.319400931038228,0,0,0,0.182367718080554,0,0.229794064904317,0,0,0,0.351814413179485,0.262674525177549,0,0,-0.0142171472063371,0.191763233290508,0,0,-0.00293533985549153,-0.0291028441406476,0.00513574044453678,0.117526809303659
X11.HK.EQUITY,0,0.311905398483136,0,0,0,0,0,0.44357457333046,0,0,0,0.430570250526199,0,0,0,0,0,0,0,0,0,0,-0.355213877752634,0,0,-0.0244158507124773,0,0,-0.0160172310576957,0,0
X388.HK.EQUITY,0,0,-0.0820475518260123,0,0,0,0,0,0,0,0,0.661155255989559,0,0,0,0.236171447794117,0,0.110774130270148,-0.103952583609099,0,-0.259939468752272,0,0.186703796292359,0,0,0,0,-0.0102853439383852,0,-0.0173189747857091,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11185223308697,-0.0364138222460259,0.096247348645608,0,0,0,0,0.0110657733514038,0,0,0.0158021229201542,0,-0.864168720972958,-0.866677108512447
FXI.US.EQUITY,0.0627877845084747,0,0,0,0,0,0,0,0,0,0,0,0.130487912195742,0,0,0,0.103399804343967,0,0,0,0.140692938787155,1.73472347597681e-18,0,0.0714446892470282,0,0,0,-0.112921183463617,0.0145928886651445,0,0
VXFXI.INDEX,0,0,0.163737227761624,0,0,0.0549240022762823,0,0,0,0,0,0,0.273074094070725,0,0,0,0,0,0,0.392530656283302,2.93810491473023,0,0,0,0,0,-6.65973177947397,0,0.361538410292009,-0.508375313659461,0
TED.SP,0,0,0,-3.04459990165014,0,0,0,0,0,0,0,0,0.487476547073609,0.964626386606979,0,0,0,0,-0.954735985622843,0,-0.283522918476444,0,0,0,0.913453979843871,-0.0526699492984671,0,0.065926118525847,0,0.589932802346235,0.162103946628219
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.070946919419154,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75142736765497,0,-0.065977579007551,0,0,-0.681252100822356
CREDIT.SP,0,-0.286629895660502,0,0,0,0,0,0,0,0,-0.126310730038027,0,0,0,0,0,0,0,0,0,-0.179045028857695,0,0.390317874388483,0,0,-0.686968341613945,0,-0.0373661379718006,0.0194272421323731,-0.780720544624976,0
