,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.264210899432028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126307811436276,0,0,0.029135633683324,0,0,-0.00635301525645297
X1398.HK.EQUITY,0,0,0.46392085839815,0,0,0,0,0,0,0,0,0.114724370893232,0,0.0334068647983493,0,0.198673931866888,0,0,0,0,0,0,0,0,0.0406102053140637,0.0125142086294831,0,-0.00177694199541681,0.00559726717653183,0,0
X939.HK.EQUITY,0,0.202604312173725,0,0,0,0,0,0,0,0,0.156994600273756,0,0,0,0,0.119963417603553,0,0,0,0,0,0,-0.0321073963316808,0,0.0739434783830255,0,0,0,-0.00619439152898352,0.0180460845828346,-0.0309088380057377
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.252710994873267,0,0,0,0,0,0,0,0.0510310560299061,0.216746846188439,0,0,0,0,0,-8.67361737988404e-19,-0.00554802183844838,0,0.0241051880969254,-0.00823771443624944,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.369537998592047,0.00590652312722216,0.0136702813671728,0.10912571108201,0,0,0,0,0,0,0.0642143525521273,0,0,0.0655586284516655,0,0,0,0,0,-0.00548687192455631,0.0376410352648307,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00773276234436999,0.298973741208287,0.110636558363005,0,0,-2.71050543121376e-20,0,0,0,0,0.0398820661675159,0,0,0,0,0.0228799109283302,0.0256502496616564,0,0.00742398206893263,-0.00716235170181567,-0.000562932380514265,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0872108357549038,0,0,0.0312300314806237,0.042000917070697,0.0346788682423281,0,0,0.180429545709789,0,0,0,0,-8.67361737988404e-19,0,0,0.00650652553817271,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.147587264710419,0,0,0.051868753982364,0,0,0,0,0,0,0,0,0,0,0.251142452289951,0.0187700259442542,0,0,-0.017280956563295,0.0104642054440569,-0.012217604570876
X601988.CH.EQUITY,0,0,0,0.18603971634339,0,0,0,0.118743739924843,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.158983352414138,0,0,0,0,0,0.0731664873126183,0,0.0140293933217706,0,-1.0842021724855e-19,-0.00749213870153882,0.0167414005635288,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.054383735992827,0.132695034628802,0.157692369087036,0,0,0,0,0.26228023973704,0,0,0,0,0,0,0,0.0491610733964166,0,0,0.013987227499945,-0.00757084260978916,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.304064108358474,0,0.403216171479013,0,0,0.0116934971042591,0,0,0,0,0.342039620149541,0,0.402607777080505,0,0,0,0,0,0.0282006501812117,-0.0174552525463684,0.0612297319638726,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.247822762491657,0,0,0,0,0.274187278786359,0,0,0,0.0696083099269116,0,0.00471952419275251,0,0,0.354828644065646,0.00950751975981755,0,-0.0351333529980374,-0.00827185322114445,0,-0.0187212718082867
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.177298655175717,0,0,0,0,0,0,0,0,0,0,0,0.303955222302839,0.0909225037957776,0,0,0,0,0,0.00233568717015137,-0.0760533726919609,0.0939087953136945
X5.HK.EQUITY,0,0.130484020811997,0,0,0,0,0,0,0,0,0.341686894725408,0,0,0,0,0,0,0,0,0,0,0,0.0939015402779174,0,0,0.0471887556349252,0,-0.0293971019777802,0.0142096171503417,0,-0.298089209746542
X388.HK.EQUITY,0,0,0,0,0.0883864820861219,0,0,0,0,0,0.107248998446976,0.0833341953122682,0,0,0,0,0,0,0,0,0,0,0,0,0.287740556745402,0,0,0.0249893400112444,0.0102959649988416,-0.0294451961176999,0
X3328.HK.EQUITY,0,0.0485133064277282,0,0,0,0,0,0,0,0,0.113402823006537,0,0,0,0.123181137408275,0,0,0.0301425323331418,0,0,0,0,0,0,0.229365429278029,0,0,0,-0.0172716260752317,0,-0.0995960033792642
X601328.CH.EQUITY,0,0,0,0.0890290732593189,0,0,0,0,0,0.109178594943585,0,0,0,0,0,0,0,0.0674918389574168,0,0.0914425657937882,0,0,0,0,0,0,0,0.0112873153878182,0,0.00301610914394412,-0.011320019587436
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.611760700108466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00327327398424134
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.143026194884517,0,0,0,0,0.0238791148631318,0,0,0.162314442932261,0,0,0,0,0.0375078522831297,0,0.0456300959152431,0.0167639523491632,0,0,-0.00184229773373975,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0950717221320652,0,0,0.347801663391218,0,0,0,0,0,0,0,0.0620971497861564,0,0.121143677035255,0,0,-0.0100150934325182,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.117676272976136,0.0169169079188497,0.0516163342387445,0,0,0,0,0,0,0,0.0139559868281667,0,0,0.308116306628786,0,0.0712890345715574,0,0,0.0201075648255729,0.00392594215315627,-0.0339695879205262,0
X16.HK.EQUITY,0,0.188910100717558,0,0,0,0,0,-0.134931094100016,0,0,0.546549554901204,0,0,0,0.0154171519513904,0,0,0,0,0,0,0,0,0,0,0.126616770989826,0,-0.0240992961092718,0.00308771251409574,0.0866822920888276,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.0157055420068503,0,0,0,0,0,0,0.402847235407382,0,0,0,0.376424266809693,0,0,0.0275639465936574,-0.0302557023417983,0.0783665403084165,8.67361737988404e-19
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0692624651406876,0,0,0,0,0,0,0,0,0,0.0629659322257189,0,0.099726235636897,0,0,0.00828932164087425,-0.00664244826241371,0.012213897362687,-0.0134130592826202
X688.HK.EQUITY,0,0.383265601828947,0,0,0,0,0,0.351318873549347,0,0,0,0.525466282730904,0,0,0,0,0,0,0,0.0789903699123239,0,0.0832822747605169,0,0,0,0,0,0,-0.00768946376586063,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777360389739266,0,0,0,0,0,0,0,0,0.235915385284553,0,0,0,0,0.0232597219119219,-0.000908965382655294,-1.00232015228328,-0.24645180783913
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0691640263693883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243367297474015,-0.00771588197756862,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516654669615033,-3.66885497040275,0,-0.0340927342369999,0,0
TED.SP,0,0,0,0,0,0,0,0,0,3.94907633341084,-1.88643011176538,0,0,2.32027892075578,-0.826266826904155,0,0,0,0,0,0,0,0,-2.91323594016628,0,-0.656308500301386,-5.55968270120156,-0.800252862459154,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,-0.203643252792041,0,0,0,0.162892667964221,0,0,0,0,0,0,0,0,0.175623351931892,0,0,-0.914264783198077,0,0.0530329514616532,0.0240986746528968,0,-0.691888462419344
CREDIT.SP,0,0,0,0,0,0,0,0,0,0.596603306361213,-0.200755455423387,-0.0778003181361956,0,-0.308788264945944,0,0,0,0,0,0,0,-0.323442871622926,0.193225221432228,0.255679935745361,0,-0.69602731852583,0,0.0220784349515914,0.0273329992278225,-0.73530191821236,0
