,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0.61468979716106,0,0,0,0,0,0,0,0,0.100218766510903,0,0,0,0,0,0,0,0.0593060937727811,0.0295042909479953,0,0,0,0,0,0.00406409680059904,0.00134740386358652,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0735798752735815,0.0515057664610043,0,0,0,0,0,0,0,0,0,0.125942811988056,0,0.0679952995215992,0,0.0046435869835395,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0183039517612507,0.0486576183081089,0,0,0,0,0,0,0.389015210963102,0,0,0.00308725011415475,0,0.0536345702076482,0,-0.0093697579940461,-0.00405273401521073,0,0
X939.HK.EQUITY,0.406493121724484,0,0,0,0,0,0,0,0,0,0,0,0.14347102501942,0,0,0,0,0.0216913845344465,0,0,0,0,0,0,0,0.0879999672083047,0,-0.00198281271874078,0.0114776749726412,0,-0.0171681312831254
X2318.HK.EQUITY,0,0,0,0.0118680131303365,0,0,0,0,0,0,0,0,0.265399813333688,0,0,0,0,0,0,0,0.321600062517012,0.0851985999030638,0,2.77555756156289e-17,0,0,0,-0.00334662644918328,0,0,-0.0287243810965617
X601318.CH.EQUITY,0,0,0,0.0971434914518414,0,0,0,0,0,0,0,0,0.0670608828149837,0.126168215766791,0,0,0,0,0,0,0.137523605959323,0,0,0.0596985349588477,0.157837832036303,0.044042959208724,0,0.00841633959393116,0.0120825860023394,0,-0.00612118308575736
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0229332018428408,0,0,0,0,0,0,0,0,0,0.109344214355393,0.0949923234540188,0.0776316467528283,0,0.00454805117328066,-0.00298092109618332,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243129770411273,0,0,0,0,0,0,0.0756983097135333,0,0,0,0.0200395874309824,0.0492622591298644,0,0.00595675826955677,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0298041770540319,0,0,0,0,0,0,0,0.0539464350300032,0,0,0.0760057039580034,0.106750189300644,0.0453211574018047,0,0.0066030312356316,-0.00158438733809039,0,0
X5.HK.EQUITY,0,0,0,-0.0823916434820381,0,0,0,0,0,0,0,0,0,0.132348233688972,0,0,0,0,0,0,0,0.0735995327750011,0,0.0676909848231664,0,0.0419546656453081,-0.0488973604828467,-0.00300054204517764,-0.0263895050745078,0.154054952229895,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29694984995593,0,0,0.0912515295031753,0.0472236877151649,0.0270304976768779,0,0.00996404511668969,0.00757621800985739,0,0
X1299.HK.EQUITY,0,0,0,0.167571566555355,0,0,0,0,0,0,0,0,0.151564425292779,0,0,0,0,0,0,0,0.0463890514624387,0.100562351157946,0,0,0,0.0198848289426767,0,-0.00691377162961838,0.015943293688783,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553809016993912,0,0,0,0.113364753429692,0,0,0,0.108558919588287,0,0.121843954719943,0,0.0205486678907191,0,0,-0.0456754477801761,0,0
X601628.CH.EQUITY,0,0,0,0,-0.102812078450938,0,0,0,0,0,0,0,0.490946174743355,0,0,0,0.0484401196664358,0.0466788491150986,0,0,0.19726616877814,0,0,0,0.133659347439982,3.46944695195361e-18,0,0.0341688745711903,0.00958093128941818,0,0
X3328.HK.EQUITY,0.244871762859423,0,0,0.156514706466533,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.022987891510706,0,0,0.187053073101459,0,0,0,0,0.0329750773397128,0,0.00720399275258445,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.11386551104409,0.00695276777111654,0,0,0,0,0.114994762485867,0,0.147915563404426,0,0,0.063159810055726,0,0.0456445244858372,0,0.00748245898237704,-2.16840434497101e-19,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0390524856934297,0,0,0,0,0,0,0,0.199398532745614,0,0,0.00499043563194963,0.321130432383255,0.0827655193360954,0,0.000590230801757044,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.312708718131068,0,0,0,0,0,0,0,0.294540319045865,0,0,0,0,0,0,0,0,0,0,0,0.0705069075240957,0,0,-0.00403846794723252,-0.00735886514339178,0.035171004013126,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0754592321799033,0.0479856872120542,0,0,0,0,0,0,0.23618167377784,0.0424711099784637,0,0.165113403842917,0,0.154839490761393,0,0.0149803050559417,-0.00099163490129584,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.133000005810419,0.256819927971079,0,0,0,0,0,0,0,0.0163445814288917,0.0287731591195419,0,0,0,0,0,0.0118347335533151,-0.0129914489170283,0.0586530195725071,-0.0243654447169072
