,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.39038831709174,0,0,0,0,0,0,0.142070310044114,0,0.12143861023306,0,0,0,0,0,0.0230338225171244,0,0,0.00394543635428179,0,0.0428674332742312,0.0330679315463349,0,0.00499671468607133,0.00414583083255196,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0408156661540408,0,0,0,0,0,0,0.138480201403596,0,0,0.118110488720623,0,0,0.0518634605855502,0,0,-0.00156838936008376,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0449949426853914,0.223749117732227,0,0,0,0,0,0.2975597175563,0,0,-1.73472347597681e-18,0,0,0.0492278189477827,0,0.00870115322454758,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.106349213069053,0,0,0,0,0,0,0,0,0.129654810613092,0,0,0,0,0,0.202256980870642,0,0.136772651633952,0,0,0.208438141538582,0,0,0,0.000885110976077782,0.0165664336732454,-0.00421528001719059
X939.HK.EQUITY,0.483012854546426,0,0,0,0,0,0,0,0,0,0,0,0,0.0655583515592626,0,0,0,0.0789395558504393,0,-3.46944695195361e-18,0,0,0.0326852449584239,0,0,0.0656115495772061,0,-0.000330354326469939,0.00789112782998009,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0445847811512771,0.0195681296009868,0,0,0,0,0,0.350086510765684,0,0,0.0268287820339838,0,0,0.0601061335609581,0,-0.00902250191574205,-0.00416879148970157,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0819246747200212,0,0,0,0,0,0,0.0627598268148059,0,0,0.0473496228196614,0.0836389185990514,0.020204033168424,0.0531400369962049,0,0.00289154482077344,-0.00357543429352446,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573523370715798,0,0,0,0,0,0.0106155205974534,0,0,0.0357707740866152,0.148310623850549,0.0343522055775217,0.0427340171665072,0,0.00607352527485692,-0.00011178039772347,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0472021963549474,0,0,0,0,0.0578915628504027,0,0,0,0,0,0,0.337636297747449,0.0187823926785609,0,0.0151114189660239,0.00013958010104874,0,0
X5.HK.EQUITY,0,0,0,0,-0.0543945578399929,0,0,0,0,0,0,0.172199031697019,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.132207387941623,0.0514391895846656,0.116230883492936,-0.0220750507406425,0,-0.0208791255896742,0.199999946390601,0
