,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0799228600684289,0.336477920215491,0,0,-0.0613621180113901,0,0,0,0,0,-0.0234526939962786,0,0,0,0,0.00947276819480953,0,0.00331156915499569,0.0103038753322018,-4.33680868994202e-19,0.00110693090786073
X1398.HK.EQUITY,0.0813710498003299,0,0,0,0,0.596094088011906,0,0,0.138279531027546,0,0.00489568193853491,0,0,0.0448439894643201,-0.047243951515715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128378663015041,-1.73472347597681e-18,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.419224834777658,0,0,-0.0305606490597148,0,0,0,0,0,0.0891049231232356,0,-3.46944695195361e-18,0,0.260833856400596,0.00185972685453057,0,0.0126546773601203,-0.00751820500557122,0,0
X2318.HK.EQUITY,0,0.0104701973586145,0,0,0,0,0,0.0636598758643062,0.0751744128372546,0,0,0,0.180204792145901,0.0220378230815208,0,0,0,0,0,0,0,0,0,0,0.033247459055422,0,0,0.00706614520758637,-0.00430746607661455,0.016459011094338,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.852238504303955,0.0385366343710903,0,0,0,0.0543922601325563,0,0,0,0,0,0.0427749316737562,0,0,0,0,0.0153708194059848,0,0,0,0,0,0,2.16840434497101e-19,-0.0273244109217443
X939.HK.EQUITY,0,0.463253015163433,0,0,0,0,0,0,0,0,0,0,0.169595546053909,0,0,0,0,0,0,0,0.00868687077038517,0,0,0,0,0,0,-0.0147546084503794,0.00169245906921297,0.00451126501896084,-0.0412928632003887
X601288.CH.EQUITY,0,0,0,0,0.771906931117648,0,0,-0.0578643388655177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106025055711364,0,0,-0.00187590828158311,0,0.00846678685445205,0,0,0
X601628.CH.EQUITY,0.0246593929046944,0,0,0,0,0,0,0,0.438162065912427,0,0,0,0,-0.12619844070576,0,0.790271208933129,0,0,0,0,0.190380996557623,0,0,0,0,0,0,-0.0544484078886945,0.045622811936744,-0.121437491623041,0.0357821892936836
X2628.HK.EQUITY,0,0,0,0,0.0818991648138239,0,0,0.311435392489799,0,0,0.281427840206514,0,0.149908141638924,0.0966170254510421,0,0,0,0,0,0,0,0,0,0,0.0594497555374922,0,0,0,-0.0423121986826237,0.0752038186237917,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-0.00904682847892285,-0.0870900959797369,0,0,0,0,0,0,0,0,0.805269455782943,0,0,0,0,0,0,0,0.0352105877153052,0,0.0211836396376653,-0.0123708432708664,0.0269157819780805,-0.00729771971734836
