,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.115566471561541,0,0,0,0,0,0,0.250199561020161,0,0,0,0.0609669148128471,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.00975515042318496,0,0.0214989760798143,0.00711420239307683,0,0
X1398.HK.EQUITY,0,0,0,0.469531607446322,0,0,0,0,0,0,0,0,0.114580071233442,0.0449128328787448,-0.0441047010403255,0,0.254121957093333,0,0,0,0,0,0,0.0328930048695474,0,0.0178607997556675,0,0,0.010824084580025,-0.00248824947293482,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.238286515550499,0,0,0,0,0,0,0,0.137566262588775,0.10123874289204,0,0,0,0,0,0,0,0,0.0257161414086316,-0.00746218752194874,0,0
X939.HK.EQUITY,0,0.202604512801995,0,0,0,0,0,0,0,0,0.156994495678947,0,0,0,0,0,0.119963542961663,0,0,0,0,0,-0.0321069622138857,0.0739427142030265,0,0,0,0,-0.00619439534352041,0.0180462115515665,-0.0309085270032346
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.189120362998131,0.144455340707574,0,0.0351350830085664,0,0,0,0,0,0,0,0,0.0470940502016315,0.0784039327464513,0.0164889236086038,0,0,0,-0.00357124682358972,-3.35015714517353e-05,0,0
X2318.HK.EQUITY,0,0,0,0,0.0788634215321366,0,0,0,0,0,0.182560879655386,0,0.210321914917483,0,0.0595145007031525,0,0,0,0,0,0,0,0.0150095723648599,0.0390131191922804,0,0.026449870085025,0,0,-0.00109233880849289,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.141241026146751,0,0,0,0.0356691135167631,0.0197033073054662,0,0,0.135040695167266,0,0,0,0,0,0.00831707832950426,0,0.013923295173095,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.214731118882661,0,0,0,0,0,0.113719605201113,0,0,0,0,0,0.014127227777768,0,0,0.112341699220576,0,0,0,0,0.0339449772464113,0,0,0.00855502515513121,0,0,-0.00953826370329046,0.0120674385750463,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.161744844059412,0,0,0.085134633985653,0.0325715420984893,0,0.038522512360759,0,0,0,0,0,0.00962378085158373,0.182604482671546,0,0.0110733241792734,0,-0.00517278230039989,-0.0154751881603313,0,-0.0473233705081233
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.156704513953697,0.0521331546797464,0.0950688934600804,0,0,0,0,0.363456731680943,0,0,0,0,0,0,0,0,0.0981875802138072,-0.019529070174549,0.00264509983265804,-0.0613485670000682,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.438876684906509,0,0,0.246973382809711,0,0,0,0,0,0,0.185989700475362,0,0.478370153768597,0,0,0,0.0458152435037686,0,0.0105856300022658,-0.0180650609129356,0.127778822499883,-4.33680868994202e-19
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.11893318045845,0,0,0.238132062930053,0,0,0,0,0,0,0,0,0.145338347409106,0.100682545410548,0,0,0,-0.103201264373584,0,-0.00239063104273749,-0.0602626235542512,0.0692524775684627
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.231125466895016,0.0999084280745761,0,0,0,0,0,0,0,0.0843326020913958,0,0.0633054395786007,0.0225755212642899,0.343490781047321,0,0,0,-0.0548030287822367,-0.0140723718177789,0,-0.0474430643949232
X5.HK.EQUITY,0,0.0422239452730688,0,0.286009861333447,0,0,0,0,0,0,0.0838676202281635,0.271012732548547,0,0,0,0,0,0,0,-0.179355140050859,0,0,0.122552084755601,0,0,0.0194880025373411,0,-0.0194656784730089,0.00604064951883804,0,-0.409032129341623
X388.HK.EQUITY,0,0,0,0,0.105916906292507,0,0,0,0,0,0.0343211093681732,0,0.201240937120263,0,0,0,0,0,0,0,0,0.0153345853856039,0,0.174316919524249,0,0,0.00691616682391073,0,-1.0842021724855e-19,-0.0326027545524037,0
