,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.342669239378144,0,0,0,0,0,0,0.216302465866196,0.0123418334895551,0.0990140197201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637545058549081,0.00128281568618008,-0.0337643739378218,0
X601398.CH.EQUITY,0,0,0,0,0.0461248781803366,0.146484520153659,0,0,0,0,0,0,0,0,0,0.0101457146175748,0,0.182281515031628,0,0.0259232913468259,0,0,0,0,0,-0.0486134274887947,0,0.0204658112002481,0.00186859684765186,0,0
X2318.HK.EQUITY,0,0,0,0.0455228095579676,0,0,0,0,0,0,0.137458611901049,0.0450872939831016,0,0,0,0,0,0,0,0.00972100362644573,0,0.267182332478011,0,0,0.233746376980484,-0.0184868325270686,0,0,-0.0176807095436893,0.0146977292574139,0.0081863874221171
X601318.CH.EQUITY,0,0,0.129876858825359,0,0,0,0,0,0,0,0.00394351322155635,0,0.105855043193185,0,0.0997884177580743,0,0,0.147732687176075,0.135700344658639,0.0847798210241615,0,0.0726285691689372,-0.0264346971253943,0,0,0,0,0.0357351468925804,-0.0053301614079367,0.0239404841962468,0
X939.HK.EQUITY,0.149808519985485,0,0,0,0,0,0,0,0,0,0,0.0877611334552742,0,0.149973528394226,0,0,0,0,0.0525193217378242,0.0853747874799382,0,0,0.0467421212931753,0,-8.67361737988404e-19,-0.0177177088240847,0,0.000696429203661088,0.0166738981915705,0,0
X601939.CH.EQUITY,0,0.15247005354688,0,0,0,0,0,0,0,0,0,0,0.0426951158768737,0.0547874717136508,0,0,0,0,0,0.116349980212145,0,-6.93889390390723e-18,0.0905909399883331,0,0,0.0637629645253802,0,-0.00251492725206654,0.00110790637961517,0,-0.0521508447144095
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00195654283881633,0.0830184197423272,0,0,0,0.018495723911243,0.112856655772038,0,0,0,0.0232246414735778,0,0,0,0,2.71050543121376e-20,0.00304726096066033,0.0207176006589068,0
X5.HK.EQUITY,0,0,0,-0.187230927070246,0,0,0,0,0,0,0.433670336779313,0,0,0,0,0,0,0,0.197747753664221,0,0,-0.072567251578324,0,0,0,0.0572056973811177,-0.0463785441304333,0,0.0335542896326529,0,-0.1630118395677
X601988.CH.EQUITY,0,0.210079680892486,0,0,0.0299386564193138,0,0,0,0,0,0,0,0,0.0173757335408476,0.0490523943254158,0,0.00869435432355101,0,0.137859479354115,3.46944695195361e-18,0,0,0.055839306348414,0,0.0191914945958969,0,0,-0.00203976329935266,-0.00266644569897588,0,0
X3988.HK.EQUITY,0.259228967867735,0,0,0,0.278940454750979,0,0,0,0,0,0,0,0,0.0392714317390536,0,0,0,0,0,0,0.0529815786738812,0,0,0,0,0,0,-0.0104343363518072,0.00752940960719502,0.0179517496937761,0
X600036.CH.EQUITY,0,0,0.109892249152895,0.693425635866337,0,0,0,0.0214197576561331,0,0,0,0,-0.226423478578286,0,0,0,0,0.134385474612861,-0.0814293634475461,0,0,0,0.110277975324782,0,0,0,0,0.0271492531247863,0.0180703347389042,0,-0.11412223012456
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100881623002159,0,0,0,0,0,0.294903351533861,0.291288999295443,0,0,0,0.0404494160632684,0.00588886158268101,0.033986624287978,-0.0873500878253036
X601628.CH.EQUITY,0,0,0,0.102609203829564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668735716660617,0,0.443937335434919,0,0,0,0,0,0.030614111522391,-0.0150491410357763,0.0224115180280299,0
