,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0715871660316854,0,0,0.574567003987552,0,0,0,0,0,0,0.0162014238623027,0.102139353246246,0,0,0,0,0.00534141656356718,0.00103722898249929,-0.00918059203839294,0
X601398.CH.EQUITY,0,0,0,0,0,0.117584228218263,0,0,0,0,0,0,0,0,0,0,0.0774339025214641,0,0.0538529585445406,0.0241695644832513,0,0.0101755331653976,0,0,0,0,0,0,0.00911978690208566,0,0.0504110811334159
X601318.CH.EQUITY,0,0,0,0.290538249456294,0,0,0,0,0,0,0,0,0.18191363868878,0,0,0,0,0,0.0808629457930957,0.104502151202057,0,0,0,0,0,0,0.0503949119170364,0.0149571039888357,-0.0112239877706001,0.00515190630369966,-0.022150406551628
X2318.HK.EQUITY,0,0,0.268835401493296,0,0,0,0,0,0,0,0,0.162343884589573,0,0.149658308098371,0,0.0425992685608754,0,0,0,0,0,0,0,0.112677178262567,0,0.00886461345985688,0,0.0137989585324687,0,0,-0.00471067480620743
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.31804998094077,0,0.072556832983388,0,0,0,0,0,0,0,0,0,0.0737276552869173,0,0.0150832565086823,0,0,0.0112923275216378,-1.78365745941069e-06,0,0
X939.HK.EQUITY,0,0.119768408229217,0,0.008523444097027,0,0,0,0,0,0,0,0.0397866161823671,0,0.190646455560399,0,-3.46944695195361e-18,0,0,0.0181723760074419,-8.67361737988404e-19,0,0.0193199859264197,0,0.138282263030558,0,0,0,-0.00153515671805906,0,0.0135734934167989,-0.0217637191223893
X601288.CH.EQUITY,0,0,0,-0.0681260984040269,0,0,0,0,0,0,0,0,0.0437457785826854,0,0,0,0.267638834483555,0,0,0,0,0,0,0,0,0,0,0.00282771221376551,0.00835370814099377,0,-0.00866039191522325
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277027301983472,0,0,0,0.00100865631385691,0.0541667709672855,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125868759829986,0.100280214431223,0.269471392001535,0,0,0,0.0122464827863543,0.00937084539831827,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.215754493442186,0,0,0,0,0,0.0610657196548104,0,0.105513689178097,0,0,0,0,0,-0.0145242030646102,0.0443082699691473,0.0644097914622156,0.0407166784820047,1.38777878078145e-17,0.0100463181814331,-0.029578256472434,0,-0.00236689194016175,-0.0112920207174401,0,0
X600036.CH.EQUITY,0,0,0.203209161553923,0,0,-0.0613013530633592,0.340875493091568,0,0,0,0,0,0,0,0.361763920193449,0,0,0,0,0.0172680992749797,0,0.0412994319703833,0,0,0,-0.0137531150403939,-0.110879436683194,0,-0.0431429167907302,0.00361595555613083,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.219104692857147,0,0,0,0,-0.042927988687154,0,0,0,0.301569582067346,0,0.090379729524827,0.171064774029326,0,0,-0.00900685526496858,-0.01320929022083,0,-0.0236070806732516
X601628.CH.EQUITY,0,0,0.212177937788353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133581856380788,0,0.338968927219688,0,0,0,0,0,0,-0.00922419209839873,0,0.00481986551127818,0.0050072169311471,0.0308738371808744,0
X2628.HK.EQUITY,0,0,0,0.336750811230168,0.230845025262854,0.255930837491431,0,0,0,0,0.132986170271576,0,0,0,0,0,0,0,0,0.189520577594329,0,0,0,0,0.158584582931823,0.00894780591891315,0,0.00523618012103414,0,0,0
X3328.HK.EQUITY,1.110307000901,0,0,0,0,0,0,0,0,0,0.0118580988624163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435697134834116,0,-0.0139847827467625,-0.032322423225286,0.0834320214816797,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109790271147088,0,0,0.41065261964826,0,0.0769445484507372,0,0.131536667190015,0,0,0,0.0973923685281387,-0.00703086647884815,-0.00586470875578691,0.0153748309298796,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.341768180432291,0,0,0,0,0,0,0,0.0791892351249519,0,0,0,0,-0.0156232592141668,0.0818307269116969,0,0,0,0,0,0,-0.0132752067204764,0.00733471913314637,0.0862868891364913,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.140510792353657,0,0,0,0.121995679726109,0,0.0358490528523659,0,0.12361703349221,-0.119802610919886,0,0.165842446706328,0,0,0,-0.00476220284349714,0,0,0.00505536932306007,0,0.0738672977674686
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.647989789009865,0,0,0,0,0,0,0.114394536545051,0,0,0,0,0,0,0,0,-0.0122774075031021,0,0
X601319.CH.EQUITY,0,0.0117993189448219,0.183692936759126,0,-0.074577997084514,0,0,0,0,0,0,0,0,0.326242898572489,0,0,0,0,0.617198574440771,0,0,-0.00277393989938052,0,0,0,0.0150159906664346,0,0,-0.0104129090491484,-2.16840434497101e-19,-0.0504467982845816
