,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.023975542826266,0.153751408219943,0,0,0,0,0,-0.0697767112700143,0,0,0,0,0,0.351623160367501,0.0109160258258462,0,0,0,0,0,0,0,0,0,0.0201549241196926,0,0
X1398.HK.EQUITY,0,0,0,0,0.352226521974776,0.124184103617872,0.035205404735092,0,0,0.341792666563814,0,0,0,0,0,0,0,0,0,0,0,0.111473607348413,0,0,0,0,0,0,0.00130278198449556,0,0
X601318.CH.EQUITY,0,0,0,0.230708295056164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101955776098277,0.0185870738493972,0.162556574436218,0,0.179148173087379,0,0,0,0.0383134760421623,0,0.0387033239341472,0.00166560303460663,0,-0.0330845917505525
X2318.HK.EQUITY,-0.187861393285166,0,0.570044480868974,0,0,0,0,0.0945220071371608,0,0,0.0733076007662355,0,0,0.0696074513559349,0,0,0,0,0,0,0,0,0,0,0.18345762035086,0,0,-0.021281195890732,0.0119106966589906,0,0
X939.HK.EQUITY,0,0.443420906745364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106742475823428,0.0535155966791954,0.00186885280570957,0,0,0.114994371440746,0,0,0,0,0.00774572040416446,-0.0064318120358232,0,0.0573803903997808
X601939.CH.EQUITY,0.33446761729901,0,0,0,0.131350604101263,0,0.0493997209621501,0,0,0,0,0.119229852314893,0,1.73472347597681e-18,0,0,0,0,0.102568752675174,0,0,0,0,0,0,0,0,-0.00287005377944228,-0.0109613559847217,-0.033819190756004,0
X601288.CH.EQUITY,0.130550607459849,0.00732924366399021,0,0,0,0.293109254506815,0,0.0339411445736881,0,0,0,0,0,0,0,0,0,0,0,0.206988003783637,0,0,0.00802632354791441,0,0,-0.0258951817018034,0,-0.00848122822855014,0.000523873809702656,0,0
X5.HK.EQUITY,0,0,-0.25162384003622,0,0,0,0,0,0,0,0.664830614526284,0,0,-0.0954119738541221,0,0,0,0,-0.0933994093741069,0,0.210429424488726,0,0,0.191596321219662,-0.00781352008673572,0.0865306515173209,-0.0734094817859729,0,2.71050543121376e-20,0,0
X601988.CH.EQUITY,0.11726983305651,0,0,0,0.135138268913341,0.222312552401393,0,0,0,0,0,0,0,0,0.077731453995038,0,0,0,0,0,0,0,0,0,0,0,0,0.00228941919210058,-0.00371665866330612,0,0
X3988.HK.EQUITY,0,0.0998742438360145,0,0,0,0,0,0,0,0,0,0,0.0185865782585558,0.0363411625502411,0,0.0324144474583903,0,0,0,0,0,0,0.110526744691671,0.0667559463272675,0,0,0,0.00733050240939388,-0.0341347426802887,0,0
