,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.104148945520441,0,0,0,0,0,0,0,0,0,0.110208430336194,0,0,0,0.353366210058034,0,-0.186075100381319,0.0778773714168502,0,0,0.00313564146596951,-0.0648438488682101,0,0,0,0.0118091932159968,-0.0735807083807707,0.119743584554442,0
X1299.HK.EQUITY,0,0,0.107886924745717,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.243125143665108,0,0,0,0,0.0877631464504416,0.205313213489515,0,0,0.0302591437405079,0.0448853364409104,-0.0535068297839293,0.109552127091646
X601628.CH.EQUITY,0,0,0.390361663860463,0,0.0660416134487059,0,0,0,0,0,0,0,0,0.12743953589332,0,0,0.307771854766029,0,0,0.153598723471043,0,0,0.298560558873257,0,0,0.00252917697165026,-0.0381053540835036,-0.0140984422311867,0,0.0920259963438372,0
X2628.HK.EQUITY,0,0,0.242137072809016,0,0,0,0,0,0,0,0,0,0.274126534068371,0,0,0,0,0,0,-0.0294754651687098,0,0,0,0,0.0249053666813472,0,0,-0.049868025870521,0,0,-0.0385488374145163
X3328.HK.EQUITY,0,0,0,0,0,0.140459650837675,0,0,0,0,0,0.0633788083910624,0.0172380382792723,0.231822244520328,0,0,0,0,0,0,0,0,0,0,0.0817442548631631,0,0,0,0,0.0148114637334326,0.0151116569259149
X601328.CH.EQUITY,0,0,0,0,0.283733762134718,0.127351991436799,0,0,0,0,0,0,0.0565162095609085,0,0,0,0.126597547983936,0,0,0,0,0.109778560183287,0,0,0,0.0111083911279018,0,0,-0.0418403137263339,0,0.0352537123180412
X601166.CH.EQUITY,0,0,0,0,0.499640123537707,0,0,0,0,0,0.22846415599516,0,0.0225771720568708,0,0,0.0109907814836828,0,0.277054915709683,0,0,0,0.057185442153332,0,0,0,0,-0.0038111830900988,0,0.0190759369233868,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0966163819299436,0,0.0393409162423259,0,0,0,0.528741655282139,0,0,0,0,0,0,0.10972342141556,0,-0.0347261810151599,0,0,-0.0159745958089186,0,0
X11.HK.EQUITY,0,0,0,0.334444271547803,0,0,0,0,0,0,0,0,0,0,0.0539103998685584,0,0,0,0,0.0443014994469738,0.0357739620036392,0.0915112558689239,0.00507984440862808,0,0,0,0,-0.00507231502449456,0.00269792145094741,0,0
X601319.CH.EQUITY,0,0,0,0.461989462857551,-0.121319533780645,0,0,0,0,0,0,-0.187304735857301,0.131900008622748,0,0,0,0,0,0,0,0,0.331346399667332,0.132476179538653,0,0,0.282402956344153,0,0.0534347835156091,-0.257428597880417,0,-0.16037540905717
X16.HK.EQUITY,0,0,0,0,0,0,0.0717217339138013,0,0,0,0,0.128856501615791,0,0,0,0,0,0,0,0.0293096640050568,0,0.203626956434749,0.0234601827093607,0,0,0.0702910971137874,0,0.0233706174489049,0.0986009569328173,0,0
X000002.CH.EQUITY,0,0,0.382428011920682,0,0,0,0,0,0,0,0,0,0,0.212740516332357,0,0,0,0,0,0.0929708316556395,0,0,-0.0798477282325055,0,0,0.0372883961041217,-0.191566738370939,0,0,0,-0.0996612411240733
X601601.CH.EQUITY,0,0,0.152759709829316,0,0,0,0,0,0,0,0.0937374085625407,0,0.228531777489176,0,0,0,0.152957525542021,0,0,0.0168665185190685,0,0,0,0,0,0.0275126305447036,0,-0.00156721344740816,0,0,0
X2388.HK.EQUITY,0,0,0,0.189658705319825,0,0,0,0,0,-0.130290979341949,0,0,0,0.0997735798095575,0,0,0,0,0,0,0,0,0,0,0.510194400263707,0,0,-0.0115100389595896,-0.00460702341824095,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.38581444797958,0,0.188062702178013,0,0,0,0,0,0,0,0,0,0.28741687684591,0,0,0,-0.0205723082977611,-0.0252481999287545,-0.0196185559200725,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192086685575117,0,0,0.0547690024952845,0,0,0.0692382907699969,0,0,0,0,0,0,0.0047732125924291,0,-0.0209154046771092,-0.76994792050543,-0.247010937605823
FXI.US.EQUITY,0,0,-0.161033921773883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26381221548929,0.013712533020043,0.0906540526282353,0
VXFXI.INDEX,0,0,-0.394667239942726,0,0,0,0,0,0,0,-0.529829954175611,-0.414215902302302,0,0,0.772142803813395,0,0,0,0,-0.0224548557064235,0,0,0,0,0,0,-3.76627860005134,0,0.0999608580125975,0.444944350198698,0.174735074657764
TED.SP,0,0,0,0,0,0,0,0,0,0.679773612098136,0,0,-0.243225638695363,0,-1.69010946292476,0,0,-1.76083993784224,0.388213676352195,-2.77555756156289e-17,0.981440680581452,-0.455702954909906,0,0,0,0.523603717678151,0,0.0320267548782603,0,0.857340427567689,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.140575433405755,0.11606950732502,0,0,0,0,0,0,0,0,0,0,0,-1.16379661287643,0,0.0175860562638211,0.0109719861046294,0,-0.146685722490938
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0.0345778831389175,0,0,0,0,-0.148044704182506,0,0.0741649191913833,0.117059068673624,0,0.215888594862421,0,0,-0.391430686356527,-0.115036792466588,-0.0807912645878448,-0.107084221420557,-0.448865497524555,0
