,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.379955671099114,0,0.0763671274228475,0,0,0,0,0,0,0,0,0,0,0,0.0510085555206762,0,0,0,8.67361737988404e-19,-1.73472347597681e-18,0,0,0.0742571314333967,0,0,1.56660866847348e-05,2.16840434497101e-19,0,0
X1398.HK.EQUITY,0,0,0,0.379723781028989,0,0,0,0,0,0,0,0,0,0.0412590078379325,0.143415553488407,0,0,0,0,0,0,0,0.0335208774403481,0,-3.46944695195361e-18,0,0,0,-0.019067451047369,0.0120420042692518,0
X601939.CH.EQUITY,0,0,0,0,0.176661967519515,0,0,0,0,0,0,0,0,0.0853276518333758,0.241136493180378,0,0,0,0,0,0.0589319924799111,0,0,0,0,0,0,0.00747211500265904,0,0,0
X939.HK.EQUITY,0,0.657148924927787,0,0,0,0,0,0,0,0.160147216841545,0,0,0,0,0,0,0,0,0,0,-0.0060846619811943,0,0.0828287688246157,0,0,0,0,-0.00284495025109765,0.00495774841398511,0.0305971681164521,0.0148814673669905
X601318.CH.EQUITY,0,0,0.3074095519089,0,0,0.0567780036102119,0,0,0,0,0,0.00474957279271743,0,0,0,0,0.235080706924163,0,0,0,0,0.0821984321522404,0,0,0.415675514027097,0,0,0,0.0253779258176659,0,0
X2318.HK.EQUITY,0,0,0,0,0.450710167546711,0,0,0,0,0,0,0,0.135016323659101,0,0,0,0,0,0,0,0,0.0190062250048961,0,0,0,0,0.0385192563273334,0,-0.0352469542063448,0,0.0295971543685058
X601288.CH.EQUITY,0,0,0.214947256811009,0,0.0033694225108462,0,0,0,0,0,-0.0439817431737179,0,0,0.0175744428352403,0.151921648124179,0,0,0,0,0,0,0.0396483729887849,0,0,0.136722735544242,-0.0207573948201251,0,-0.00659617971417703,0,0,0
X5.HK.EQUITY,0,0,0.0194350669870528,0,0,0,0,0,0,0.028055998911015,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.036811195339229,-0.0263748217532688,0.12468544412365,0.306142005766463,0,-0.0170886733678722,0,0,0.0203997116002381,0,0,0.130149911306939
X601988.CH.EQUITY,0,0,0.257690065895975,0,0,0,0,0,0,0,0,0,0,0.150619152882454,0.0858813931659896,0,0,0,0,0,0,0,0,0,0,0,0,0.00762481616791176,-0.0428526836836425,0,0.034555842604111
X3988.HK.EQUITY,0,0.328562231415466,0,0.243161741552372,0,0,0,0,0,0,0,0,0.143813841818609,0,0,0,0,0,0,0,-0.0143177022242888,-0.0393299834753692,0,0,0.0714997194534737,-0.0334603144441212,0.00392657395337403,-0.00264317710360329,0.00587971383130452,0.0147697176451214,-4.33680868994202e-19
X1299.HK.EQUITY,0,0,0,0,0.176369036471181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456994008649815,0.339322766930749,0,0,0,0,0.0151758664472428,0.0115283977809649,0,0
X600036.CH.EQUITY,0,0,0,0,0.209513105299865,0,0,0,0,0,0.121419259118733,0,0,0.124798391891468,0,0,0.00409775451975541,0,0,0.252497616457255,0.0190783216053246,0,0,0,0.0671224151629284,0,0,0.0164229842615454,-0.0778972321560171,0.0985890609376704,0.146607317600287
