,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.310252109333686,0,0,0,0.0119326554393012,-0.10778360356504,-0.178282296629992,0,0,0,0,0,0.0955326661240147,0,0,0,0.0363316719372964,0.170186491678878,0.0560978894142198,0.00933140617895644,0.00249311067223759,0
X1398.HK.EQUITY,0.0536681372236872,0,0,0,0,0.613319673536236,0,0,0,0,0,0.119059440032129,0,0.0520323254250348,-0.0758704851627161,0,0,0,0.151971438323227,0,0,0,0,0,0,0.0258585493693071,0,0.00990219728345943,0.0145971762903615,0,-0.0145262885207741
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.299830963789015,0,0.0280405741782816,0,0,0,0,0,0,0,0,0,0,0,0.325249755240158,0,0,0.000764256108727471,0,0.0340307551256918,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0695972604121424,0.0898800111954852,0.166216312695102,0.0266734069050502,0,0,0,0,0,0,0,0,0,0,0.031759710554629,0,0,0.00727122049058863,-0.00366944145238468,0.0172446783826515,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.151893512955129,0,0,0,0,0,0,0.388225023422997,0,0,0,0,0,0,0,0,-0.00928133076509009,0,0.0171057747564499,-0.00877685915017536,0,0.0167232852575301
X939.HK.EQUITY,0,0.416195553537694,0,0,0,0,0,0,0,0,0,0.0290313568776616,0.158834547856634,0,0,0,0,0,0.0342768647617963,0,0,0,0,0,0,0,0,0,0,0.0240188999441921,-0.00707512815744757
X601288.CH.EQUITY,0,0,0,0,0.343165079815767,0,0,0.0824496228653071,0.0472112885969927,0.071117514495573,0,0,0,0,0,0,0.00824933433646785,0,0,0,-8.67361737988404e-19,0,0,0,0,0.00770305405990551,0,0,0.00202010745034745,-0.00188326810964181,0
X601988.CH.EQUITY,0,0,0,0,0.262042142272247,0,0,0,0.0142899441802821,0,0,-0.0121250669853174,0,0,0,0,0.189456715604795,0,0,0.0337563423025344,0,0.0303465793481118,0.0288538707937508,0,0,0,0,0,-0.0124717294291407,0.0108903225122473,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.148402869258034,0.288112483337055,0,0.0434524735467233,0,0,0,0,0,0.00940125646191764,0,0.0735021716739089,0,0,0,-0.0132966503674331,0,0,-0.00888128259737508,0.00664770446743192,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0603122427537801,0,0.0372661560933994,0.237422054451745,-1.73472347597681e-18,0,0.316006325036548,0,0,0,0,0,0,0,0,-0.00648442330854615,0,0,0.00574764709529992,0,0.0688754118951519
